method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,0.018,-0.029,0.089,-0.177,-0.157,0.316,0.316
adv-konstantinov-fair_resample-all,0.710,0.721,0.710,0.660,0.761,0.586,0.000
adv-konstantinov-fair_resample-group-0,0.703,0.749,0.742,0.617,0.716,0.667,0.640
adv-konstantinov-fair_resample-group-1,0.722,0.781,0.653,0.736,0.851,0.480,0.360
adv-konstantinov-fair_resample-delta,-0.019,-0.032,0.089,-0.119,-0.135,0.187,0.187
adv-selected-all,0.720,0.747,0.710,0.700,0.796,0.534,0.333
adv-selected-group-0,0.750,0.746,0.742,0.711,0.811,0.576,0.640
adv-selected-group-1,0.667,0.746,0.653,0.681,0.766,0.480,0.360
adv-selected-delta,0.083,0.001,0.089,0.030,0.045,0.096,0.096
adv-selected-fair_reg-all,0.660,0.741,0.710,0.520,0.627,0.741,0.333
adv-selected-fair_reg-group-0,0.625,0.744,0.742,0.508,0.589,0.727,0.640
adv-selected-fair_reg-group-1,0.722,0.745,0.653,0.542,0.702,0.760,0.360
adv-selected-fair_reg-delta,-0.097,-0.001,0.089,-0.034,-0.113,-0.033,0.113
adv-selected-fair_pp-all,0.705,0.734,0.710,0.655,0.754,0.586,0.333
adv-selected-fair_pp-group-0,0.719,0.746,0.742,0.633,0.737,0.667,0.640
adv-selected-fair_pp-group-1,0.681,0.746,0.653,0.694,0.787,0.480,0.360
adv-selected-fair_pp-delta,0.038,0.001,0.089,-0.062,-0.050,0.187,0.187
adv-selected-fair_adv-all,0.730,0.745,0.710,0.730,0.824,0.500,0.333
adv-selected-fair_adv-group-0,0.750,0.747,0.742,0.711,0.811,0.576,0.640
adv-selected-fair_adv-group-1,0.694,0.745,0.653,0.764,0.851,0.400,0.360
adv-selected-fair_adv-delta,0.056,0.002,0.089,-0.053,-0.041,0.176,0.176
adv-selected-fair_resample-all,0.725,0.757,0.710,0.725,0.817,0.500,0.000
adv-selected-fair_resample-group-0,0.727,0.752,0.742,0.719,0.800,0.515,0.640
adv-selected-fair_resample-group-1,0.722,0.780,0.653,0.736,0.851,0.480,0.360
adv-selected-fair_resample-delta,0.004,-0.027,0.089,-0.017,-0.051,0.035,0.051
adv-voting-all,0.735,0.759,0.710,0.715,0.817,0.534,0.255
adv-voting-group-0,0.758,0.773,0.742,0.703,0.811,0.606,0.640
adv-voting-group-1,0.694,0.764,0.653,0.736,0.830,0.440,0.360
adv-voting-delta,0.063,0.009,0.089,-0.033,-0.019,0.166,0.166
adv-voting-fair_reg-all,0.660,0.744,0.710,0.530,0.634,0.724,0.210
adv-voting-fair_reg-group-0,0.633,0.766,0.742,0.469,0.568,0.818,0.640
adv-voting-fair_reg-group-1,0.708,0.757,0.653,0.639,0.766,0.600,0.360
adv-voting-fair_reg-delta,-0.076,0.010,0.089,-0.170,-0.198,0.218,0.218
adv-voting-fair_pp-all,0.740,0.741,0.710,0.800,0.880,0.397,0.185
adv-voting-fair_pp-group-0,0.758,0.769,0.742,0.719,0.821,0.576,0.640
adv-voting-fair_pp-group-1,0.708,0.779,0.653,0.944,1.000,0.160,0.360
adv-voting-fair_pp-delta,0.049,-0.009,0.089,-0.226,-0.179,0.416,0.416
adv-voting-fair_adv-all,0.735,0.753,0.710,0.725,0.824,0.517,0.230
adv-voting-fair_adv-group-0,0.750,0.776,0.742,0.680,0.789,0.636,0.640
adv-voting-fair_adv-group-1,0.708,0.766,0.653,0.806,0.894,0.360,0.360
adv-voting-fair_adv-delta,0.042,0.010,0.089,-0.126,-0.104,0.276,0.276
adv-voting-fair_resample-all,0.730,0.737,0.710,0.750,0.838,0.466,0.245
adv-voting-fair_resample-group-0,0.750,0.760,0.742,0.695,0.800,0.606,0.640
adv-voting-fair_resample-group-1,0.694,0.753,0.653,0.847,0.915,0.280,0.360
adv-voting-fair_resample-delta,0.056,0.007,0.089,-0.152,-0.115,0.326,0.326
adv-TERM-all,0.660,0.679,0.710,0.540,0.641,0.707,0.000
adv-TERM-group-0,0.648,0.684,0.742,0.516,0.611,0.758,0.640
adv-TERM-group-1,0.681,0.685,0.653,0.583,0.702,0.640,0.360
adv-TERM-delta,-0.032,-0.001,0.089,-0.068,-0.092,0.118,0.118
adv-TERM-fair_pp-all,0.665,0.679,0.710,0.535,0.641,0.724,0.000
adv-TERM-fair_pp-group-0,0.648,0.684,0.742,0.516,0.611,0.758,0.640
adv-TERM-fair_pp-group-1,0.694,0.685,0.653,0.569,0.702,0.680,0.360
adv-TERM-fair_pp-delta,-0.046,-0.001,0.089,-0.054,-0.092,0.078,0.092
adv-TERM-fair_resample-all,0.675,0.629,0.710,0.655,0.732,0.534,0.000
adv-TERM-fair_resample-group-0,0.648,0.600,0.742,0.641,0.695,0.515,0.640
adv-TERM-fair_resample-group-1,0.722,0.680,0.653,0.681,0.809,0.560,0.360
adv-TERM-fair_resample-delta,-0.074,-0.080,0.089,-0.040,-0.114,-0.045,0.114
adv-DRO-fair_reg-all,0.685,0.540,0.710,0.865,0.887,0.190,0.000
adv-DRO-fair_reg-group-0,0.688,0.559,0.742,0.820,0.842,0.242,0.640
adv-DRO-fair_reg-group-1,0.681,0.564,0.653,0.944,0.979,0.120,0.360
adv-DRO-fair_reg-delta,0.007,-0.005,0.089,-0.124,-0.137,0.122,0.137
