method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.053,-0.008,0.155,0.118,0.037,-0.043,0.043
adv-konstantinov-fair_resample-all,0.785,0.855,0.353,0.301,0.621,0.874,0.000
adv-konstantinov-fair_resample-group-0,0.758,0.851,0.427,0.338,0.613,0.866,0.522
adv-konstantinov-fair_resample-group-1,0.814,0.860,0.272,0.259,0.635,0.881,0.478
adv-konstantinov-fair_resample-delta,-0.056,-0.009,0.155,0.079,-0.022,-0.015,0.022
adv-selected-all,0.791,0.862,0.353,0.304,0.634,0.876,0.000
adv-selected-group-0,0.765,0.852,0.427,0.402,0.696,0.817,0.522
adv-selected-group-1,0.819,0.860,0.272,0.196,0.527,0.928,0.478
adv-selected-delta,-0.054,-0.008,0.155,0.206,0.168,-0.111,0.168
adv-selected-fair_reg-all,0.756,0.845,0.353,0.433,0.768,0.750,0.000
adv-selected-fair_reg-group-0,0.766,0.852,0.427,0.432,0.731,0.791,0.522
adv-selected-fair_reg-group-1,0.746,0.860,0.272,0.435,0.831,0.714,0.478
adv-selected-fair_reg-delta,0.020,-0.008,0.155,-0.003,-0.100,0.078,0.100
adv-selected-fair_pp-all,0.776,0.845,0.353,0.293,0.597,0.873,0.000
adv-selected-fair_pp-group-0,0.748,0.852,0.427,0.292,0.546,0.898,0.522
adv-selected-fair_pp-group-1,0.806,0.860,0.272,0.294,0.684,0.852,0.478
adv-selected-fair_pp-delta,-0.058,-0.008,0.155,-0.002,-0.137,0.046,0.137
adv-selected-fair_adv-all,0.788,0.859,0.353,0.300,0.626,0.877,0.000
adv-selected-fair_adv-group-0,0.763,0.852,0.427,0.361,0.645,0.851,0.522
adv-selected-fair_adv-group-1,0.816,0.859,0.272,0.234,0.593,0.899,0.478
adv-selected-fair_adv-delta,-0.053,-0.007,0.155,0.126,0.052,-0.049,0.052
adv-selected-fair_resample-all,0.785,0.854,0.353,0.300,0.621,0.874,0.000
adv-selected-fair_resample-group-0,0.759,0.851,0.427,0.334,0.608,0.871,0.522
adv-selected-fair_resample-group-1,0.814,0.859,0.272,0.264,0.643,0.877,0.478
adv-selected-fair_resample-delta,-0.055,-0.008,0.155,0.070,-0.034,-0.007,0.034
adv-voting-all,0.792,0.861,0.353,0.303,0.634,0.878,0.056
adv-voting-group-0,0.767,0.851,0.427,0.399,0.694,0.821,0.522
adv-voting-group-1,0.820,0.859,0.272,0.198,0.533,0.927,0.478
adv-voting-delta,-0.053,-0.007,0.155,0.201,0.161,-0.106,0.161
