method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.062,-0.010,0.127,0.158,0.117,-0.126,0.126
adv-konstantinov-fair_resample-all,0.650,0.713,0.467,0.399,0.553,0.736,0.000
adv-konstantinov-fair_resample-group-0,0.642,0.711,0.492,0.415,0.558,0.723,0.805
adv-konstantinov-fair_resample-group-1,0.685,0.718,0.365,0.332,0.523,0.778,0.195
adv-konstantinov-fair_resample-delta,-0.043,-0.007,0.127,0.084,0.036,-0.055,0.055
adv-selected-all,0.646,0.718,0.467,0.371,0.518,0.758,0.667
adv-selected-group-0,0.640,0.710,0.492,0.420,0.560,0.717,0.805
adv-selected-group-1,0.672,0.719,0.365,0.170,0.284,0.895,0.195
adv-selected-delta,-0.032,-0.009,0.127,0.249,0.276,-0.179,0.276
adv-selected-fair_reg-all,0.665,0.715,0.467,0.461,0.634,0.691,0.000
adv-selected-fair_reg-group-0,0.660,0.711,0.492,0.484,0.646,0.673,0.805
adv-selected-fair_reg-group-1,0.685,0.720,0.365,0.365,0.568,0.752,0.195
adv-selected-fair_reg-delta,-0.025,-0.010,0.127,0.119,0.078,-0.078,0.078
adv-selected-fair_pp-all,0.647,0.715,0.467,0.360,0.508,0.769,0.333
adv-selected-fair_pp-group-0,0.639,0.710,0.492,0.380,0.519,0.754,0.805
adv-selected-fair_pp-group-1,0.680,0.719,0.365,0.278,0.443,0.817,0.195
adv-selected-fair_pp-delta,-0.042,-0.009,0.127,0.102,0.076,-0.063,0.076
adv-selected-fair_adv-all,0.649,0.717,0.467,0.374,0.525,0.758,0.667
adv-selected-fair_adv-group-0,0.640,0.710,0.492,0.411,0.552,0.725,0.805
adv-selected-fair_adv-group-1,0.689,0.719,0.365,0.220,0.375,0.869,0.195
adv-selected-fair_adv-delta,-0.049,-0.009,0.127,0.192,0.177,-0.145,0.177
adv-selected-fair_resample-all,0.653,0.711,0.467,0.380,0.536,0.757,0.000
adv-selected-fair_resample-group-0,0.646,0.704,0.492,0.403,0.550,0.739,0.805
adv-selected-fair_resample-group-1,0.685,0.717,0.365,0.282,0.455,0.817,0.195
adv-selected-fair_resample-delta,-0.039,-0.013,0.127,0.121,0.096,-0.078,0.096
adv-voting-all,0.649,0.720,0.467,0.375,0.525,0.757,0.338
adv-voting-group-0,0.641,0.712,0.492,0.425,0.566,0.713,0.805
adv-voting-group-1,0.680,0.723,0.365,0.170,0.295,0.902,0.195
adv-voting-delta,-0.040,-0.012,0.127,0.254,0.271,-0.189,0.271
adv-voting-fair_reg-all,0.663,0.716,0.467,0.462,0.634,0.688,0.271
adv-voting-fair_reg-group-0,0.656,0.714,0.492,0.480,0.638,0.673,0.805
adv-voting-fair_reg-group-1,0.693,0.723,0.365,0.390,0.614,0.739,0.195
adv-voting-fair_reg-delta,-0.037,-0.009,0.127,0.090,0.024,-0.065,0.065
adv-voting-fair_pp-all,0.653,0.716,0.467,0.406,0.563,0.731,0.335
adv-voting-fair_pp-group-0,0.643,0.714,0.492,0.419,0.562,0.721,0.805
adv-voting-fair_pp-group-1,0.693,0.726,0.365,0.357,0.568,0.765,0.195
adv-voting-fair_pp-delta,-0.050,-0.012,0.127,0.062,-0.006,-0.044,0.044
adv-voting-fair_adv-all,0.650,0.720,0.467,0.359,0.510,0.774,0.261
adv-voting-fair_adv-group-0,0.639,0.714,0.492,0.388,0.528,0.747,0.805
adv-voting-fair_adv-group-1,0.697,0.718,0.365,0.237,0.409,0.863,0.195
adv-voting-fair_adv-delta,-0.058,-0.004,0.127,0.152,0.119,-0.116,0.119
adv-voting-fair_resample-all,0.650,0.716,0.467,0.355,0.506,0.777,0.371
adv-voting-fair_resample-group-0,0.643,0.712,0.492,0.370,0.513,0.768,0.805
adv-voting-fair_resample-group-1,0.680,0.726,0.365,0.295,0.466,0.804,0.195
adv-voting-fair_resample-delta,-0.038,-0.015,0.127,0.076,0.047,-0.036,0.047
adv-TERM-all,0.642,0.708,0.467,0.257,0.392,0.862,0.000
adv-TERM-group-0,0.636,0.703,0.492,0.283,0.417,0.848,0.805
adv-TERM-group-1,0.668,0.701,0.365,0.149,0.250,0.908,0.195
adv-TERM-delta,-0.032,0.002,0.127,0.133,0.167,-0.061,0.167
adv-TERM-fair_pp-all,0.654,0.715,0.467,0.437,0.598,0.704,0.000
adv-TERM-fair_pp-group-0,0.651,0.712,0.492,0.455,0.607,0.693,0.805
adv-TERM-fair_pp-group-1,0.668,0.715,0.365,0.365,0.545,0.739,0.195
adv-TERM-fair_pp-delta,-0.017,-0.003,0.127,0.090,0.062,-0.045,0.062
adv-TERM-fair_resample-all,0.645,0.647,0.467,0.251,0.388,0.869,0.000
adv-TERM-fair_resample-group-0,0.634,0.646,0.492,0.269,0.401,0.859,0.805
adv-TERM-fair_resample-group-1,0.689,0.646,0.365,0.178,0.318,0.902,0.195
adv-TERM-fair_resample-delta,-0.055,-0.000,0.127,0.090,0.083,-0.043,0.083
adv-DRO-fair_reg-all,0.547,0.668,0.467,0.021,0.038,0.994,0.000
adv-DRO-fair_reg-group-0,0.520,0.666,0.492,0.016,0.029,0.996,0.805
adv-DRO-fair_reg-group-1,0.660,0.698,0.365,0.041,0.091,0.987,0.195
adv-DRO-fair_reg-delta,-0.140,-0.032,0.127,-0.025,-0.062,0.009,0.062
