method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.087,0.017,0.193,0.039,-0.024,0.021,0.024
adv-konstantinov-fair_resample-all,0.794,0.808,0.236,0.157,0.397,0.917,0.000
adv-konstantinov-fair_resample-group-0,0.765,0.813,0.300,0.173,0.396,0.923,0.671
adv-konstantinov-fair_resample-group-1,0.852,0.797,0.107,0.126,0.398,0.907,0.329
adv-konstantinov-fair_resample-delta,-0.087,0.016,0.193,0.047,-0.002,0.017,0.017
adv-selected-all,0.807,0.831,0.236,0.155,0.419,0.927,0.000
adv-selected-group-0,0.766,0.814,0.300,0.218,0.475,0.892,0.671
adv-selected-group-1,0.890,0.788,0.107,0.026,0.105,0.984,0.329
adv-selected-delta,-0.123,0.026,0.193,0.193,0.370,-0.092,0.370
adv-selected-fair_reg-all,0.704,0.793,0.236,0.410,0.740,0.692,0.000
adv-selected-fair_reg-group-0,0.735,0.814,0.300,0.404,0.732,0.736,0.671
adv-selected-fair_reg-group-1,0.639,0.789,0.107,0.422,0.785,0.622,0.329
adv-selected-fair_reg-delta,0.096,0.026,0.193,-0.018,-0.052,0.115,0.115
adv-selected-fair_pp-all,0.791,0.791,0.236,0.120,0.310,0.939,0.333
adv-selected-fair_pp-group-0,0.757,0.814,0.300,0.121,0.296,0.954,0.671
adv-selected-fair_pp-group-1,0.859,0.788,0.107,0.118,0.392,0.915,0.329
adv-selected-fair_pp-delta,-0.102,0.026,0.193,0.003,-0.096,0.040,0.096
adv-selected-fair_adv-all,0.805,0.825,0.236,0.141,0.387,0.935,0.333
adv-selected-fair_adv-group-0,0.766,0.814,0.300,0.179,0.409,0.919,0.671
adv-selected-fair_adv-group-1,0.885,0.789,0.107,0.063,0.259,0.960,0.329
adv-selected-fair_adv-delta,-0.119,0.025,0.193,0.116,0.151,-0.041,0.151
adv-selected-fair_resample-all,0.797,0.808,0.236,0.127,0.340,0.938,0.000
adv-selected-fair_resample-group-0,0.761,0.814,0.300,0.141,0.337,0.943,0.671
adv-selected-fair_resample-group-1,0.869,0.791,0.107,0.100,0.358,0.931,0.329
adv-selected-fair_resample-delta,-0.108,0.023,0.193,0.040,-0.021,0.013,0.021
adv-voting-all,0.807,0.831,0.236,0.152,0.413,0.929,0.006
adv-voting-group-0,0.767,0.814,0.300,0.210,0.462,0.898,0.671
adv-voting-group-1,0.889,0.791,0.107,0.033,0.137,0.979,0.329
adv-voting-delta,-0.122,0.024,0.193,0.177,0.325,-0.081,0.325
adv-voting-fair_reg-all,0.699,0.787,0.236,0.408,0.728,0.691,0.017
adv-voting-fair_reg-group-0,0.739,0.814,0.300,0.391,0.716,0.748,0.671
adv-voting-fair_reg-group-1,0.619,0.790,0.107,0.444,0.797,0.598,0.329
adv-voting-fair_reg-delta,0.119,0.025,0.193,-0.053,-0.081,0.150,0.150
