method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_pp-all,0.782,0.793,0.236,0.045,0.132,0.982,0.000
adv-konstantinov-fair_pp-group-0,0.730,0.816,0.299,0.042,0.119,0.991,0.664
adv-konstantinov-fair_pp-group-1,0.884,0.809,0.111,0.050,0.201,0.969,0.336
adv-konstantinov-fair_pp-delta,-0.154,0.007,0.189,-0.008,-0.082,0.022,0.082
adv-konstantinov-fair_adv-all,0.781,0.766,0.236,0.095,0.236,0.949,0.000
adv-konstantinov-fair_adv-group-0,0.745,0.819,0.299,0.071,0.194,0.981,0.664
adv-konstantinov-fair_adv-group-1,0.851,0.809,0.111,0.141,0.463,0.899,0.336
adv-konstantinov-fair_adv-delta,-0.106,0.010,0.189,-0.069,-0.269,0.081,0.269
adv-konstantinov-fair_resample-all,0.789,0.793,0.236,0.090,0.244,0.958,0.000
adv-konstantinov-fair_resample-group-0,0.750,0.819,0.299,0.084,0.222,0.975,0.664
adv-konstantinov-fair_resample-group-1,0.868,0.807,0.111,0.101,0.361,0.931,0.336
adv-konstantinov-fair_resample-delta,-0.118,0.011,0.189,-0.018,-0.139,0.044,0.139
adv-selected-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-selected-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-selected-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-selected-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-selected-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-selected-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-selected-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-selected-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
adv-selected-fair_pp-all,0.793,0.804,0.236,0.147,0.372,0.923,0.333
adv-selected-fair_pp-group-0,0.768,0.823,0.299,0.144,0.353,0.946,0.664
adv-selected-fair_pp-group-1,0.841,0.806,0.111,0.153,0.474,0.886,0.336
adv-selected-fair_pp-delta,-0.072,0.017,0.189,-0.010,-0.121,0.059,0.121
adv-selected-fair_adv-all,0.812,0.834,0.236,0.143,0.405,0.938,0.667
adv-selected-fair_adv-group-0,0.776,0.823,0.299,0.187,0.439,0.921,0.664
adv-selected-fair_adv-group-1,0.882,0.807,0.111,0.056,0.220,0.964,0.336
adv-selected-fair_adv-delta,-0.105,0.015,0.189,0.131,0.219,-0.044,0.219
adv-selected-fair_resample-all,0.804,0.818,0.236,0.146,0.395,0.931,0.000
adv-selected-fair_resample-group-0,0.774,0.822,0.299,0.165,0.397,0.935,0.664
adv-selected-fair_resample-group-1,0.864,0.809,0.111,0.110,0.380,0.924,0.336
adv-selected-fair_resample-delta,-0.090,0.012,0.189,0.055,0.017,0.011,0.017
adv-voting-all,0.814,0.838,0.236,0.142,0.406,0.940,0.002
adv-voting-group-0,0.777,0.823,0.299,0.197,0.457,0.914,0.664
adv-voting-group-1,0.887,0.805,0.111,0.033,0.138,0.980,0.336
adv-voting-delta,-0.110,0.018,0.189,0.164,0.319,-0.067,0.319
adv-voting-fair_reg-all,0.703,0.790,0.236,0.402,0.722,0.697,0.001
adv-voting-fair_reg-group-0,0.749,0.823,0.299,0.369,0.697,0.771,0.664
adv-voting-fair_reg-group-1,0.613,0.806,0.111,0.465,0.854,0.583,0.336
adv-voting-fair_reg-delta,0.136,0.017,0.189,-0.096,-0.157,0.187,0.187
adv-voting-fair_pp-all,0.795,0.802,0.236,0.120,0.319,0.942,0.042
adv-voting-fair_pp-group-0,0.764,0.823,0.299,0.115,0.298,0.963,0.664
adv-voting-fair_pp-group-1,0.856,0.807,0.111,0.129,0.430,0.909,0.336
adv-voting-fair_pp-delta,-0.092,0.016,0.189,-0.013,-0.132,0.054,0.132
adv-voting-fair_adv-all,0.808,0.828,0.236,0.131,0.370,0.943,0.004
adv-voting-fair_adv-group-0,0.772,0.822,0.299,0.161,0.389,0.936,0.664
adv-voting-fair_adv-group-1,0.878,0.807,0.111,0.070,0.267,0.954,0.336
adv-voting-fair_adv-delta,-0.106,0.015,0.189,0.091,0.122,-0.018,0.122
