method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.009,0.014,0.011,-0.045,-0.043,0.058,0.058
adv-konstantinov-fair_resample-all,0.670,0.687,0.675,0.575,0.681,0.646,0.000
adv-konstantinov-fair_resample-group-0,0.678,0.690,0.678,0.597,0.703,0.625,0.745
adv-konstantinov-fair_resample-group-1,0.647,0.696,0.667,0.510,0.618,0.706,0.255
adv-konstantinov-fair_resample-delta,0.031,-0.005,0.011,0.088,0.085,-0.081,0.085
adv-selected-all,0.680,0.691,0.675,0.755,0.822,0.385,0.000
adv-selected-group-0,0.691,0.697,0.678,0.839,0.891,0.271,0.745
adv-selected-group-1,0.647,0.685,0.667,0.510,0.618,0.706,0.255
adv-selected-delta,0.044,0.012,0.011,0.329,0.273,-0.435,0.435
adv-selected-fair_reg-all,0.650,0.694,0.675,0.555,0.652,0.646,0.000
adv-selected-fair_reg-group-0,0.651,0.697,0.678,0.570,0.663,0.625,0.745
adv-selected-fair_reg-group-1,0.647,0.683,0.667,0.510,0.618,0.706,0.255
adv-selected-fair_reg-delta,0.004,0.013,0.011,0.061,0.046,-0.081,0.081
adv-selected-fair_pp-all,0.710,0.695,0.675,0.795,0.874,0.369,0.000
adv-selected-fair_pp-group-0,0.705,0.697,0.678,0.785,0.861,0.375,0.745
adv-selected-fair_pp-group-1,0.725,0.685,0.667,0.824,0.912,0.353,0.255
adv-selected-fair_pp-delta,-0.021,0.012,0.011,-0.038,-0.050,0.022,0.050
adv-selected-fair_adv-all,0.705,0.697,0.675,0.790,0.867,0.369,0.333
adv-selected-fair_adv-group-0,0.711,0.699,0.678,0.792,0.871,0.375,0.745
adv-selected-fair_adv-group-1,0.686,0.687,0.667,0.784,0.853,0.353,0.255
adv-selected-fair_adv-delta,0.025,0.012,0.011,0.008,0.018,0.022,0.022
adv-selected-fair_resample-all,0.690,0.702,0.675,0.785,0.852,0.354,0.000
adv-selected-fair_resample-group-0,0.698,0.703,0.678,0.805,0.871,0.333,0.745
adv-selected-fair_resample-group-1,0.667,0.708,0.667,0.725,0.794,0.412,0.255
adv-selected-fair_resample-delta,0.031,-0.005,0.011,0.080,0.077,-0.078,0.078
adv-voting-all,0.660,0.677,0.675,0.705,0.770,0.431,0.015
adv-voting-group-0,0.644,0.662,0.678,0.698,0.752,0.417,0.745
adv-voting-group-1,0.706,0.718,0.667,0.725,0.824,0.471,0.255
adv-voting-delta,-0.062,-0.056,0.011,-0.028,-0.071,-0.054,0.071
adv-voting-fair_reg-all,0.605,0.668,0.675,0.510,0.585,0.646,0.035
adv-voting-fair_reg-group-0,0.584,0.668,0.678,0.477,0.545,0.667,0.745
adv-voting-fair_reg-group-1,0.667,0.675,0.667,0.608,0.706,0.588,0.255
adv-voting-fair_reg-delta,-0.083,-0.007,0.011,-0.131,-0.161,0.078,0.161
adv-voting-fair_pp-all,0.670,0.675,0.675,0.705,0.778,0.446,0.040
adv-voting-fair_pp-group-0,0.658,0.680,0.678,0.671,0.743,0.479,0.745
adv-voting-fair_pp-group-1,0.706,0.671,0.667,0.804,0.882,0.353,0.255
adv-voting-fair_pp-delta,-0.048,0.009,0.011,-0.133,-0.140,0.126,0.140
adv-voting-fair_adv-all,0.685,0.690,0.675,0.720,0.800,0.446,0.055
adv-voting-fair_adv-group-0,0.658,0.678,0.678,0.685,0.752,0.458,0.745
adv-voting-fair_adv-group-1,0.765,0.732,0.667,0.824,0.941,0.412,0.255
adv-voting-fair_adv-delta,-0.107,-0.054,0.011,-0.139,-0.189,0.047,0.189
adv-voting-fair_resample-all,0.635,0.635,0.675,0.630,0.696,0.508,0.050
adv-voting-fair_resample-group-0,0.624,0.655,0.678,0.570,0.644,0.583,0.745
adv-voting-fair_resample-group-1,0.667,0.619,0.667,0.804,0.853,0.294,0.255
adv-voting-fair_resample-delta,-0.043,0.036,0.011,-0.233,-0.209,0.289,0.289
adv-TERM-all,0.525,0.588,0.675,0.340,0.400,0.785,0.000
adv-TERM-group-0,0.510,0.600,0.678,0.282,0.347,0.854,0.745
adv-TERM-group-1,0.569,0.561,0.667,0.510,0.559,0.588,0.255
adv-TERM-delta,-0.059,0.040,0.011,-0.228,-0.212,0.266,0.266
adv-TERM-fair_pp-all,0.525,0.595,0.675,0.340,0.400,0.785,0.000
adv-TERM-fair_pp-group-0,0.510,0.605,0.678,0.282,0.347,0.854,0.745
adv-TERM-fair_pp-group-1,0.569,0.574,0.667,0.510,0.559,0.588,0.255
adv-TERM-fair_pp-delta,-0.059,0.031,0.011,-0.228,-0.212,0.266,0.266
adv-TERM-fair_resample-all,0.490,0.553,0.675,0.335,0.370,0.738,0.000
adv-TERM-fair_resample-group-0,0.483,0.562,0.678,0.295,0.337,0.792,0.745
adv-TERM-fair_resample-group-1,0.510,0.529,0.667,0.451,0.471,0.588,0.255
adv-TERM-fair_resample-delta,-0.027,0.033,0.011,-0.156,-0.134,0.203,0.203
adv-DRO-fair_reg-all,0.685,0.580,0.675,0.950,0.970,0.092,0.000
adv-DRO-fair_reg-group-0,0.685,0.615,0.678,0.940,0.960,0.104,0.745
adv-DRO-fair_reg-group-1,0.686,0.522,0.667,0.980,1.000,0.059,0.255
adv-DRO-fair_reg-delta,-0.002,0.093,0.011,-0.041,-0.040,0.045,0.045
