method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_reg-group-0,0.580,0.620,0.523,0.517,0.593,0.566,0.462
adv-voting-fair_reg-group-1,0.655,0.721,0.394,0.404,0.575,0.707,0.538
adv-voting-fair_reg-delta,-0.075,-0.101,0.129,0.113,0.018,-0.141,0.141
adv-voting-fair_pp-all,0.642,0.679,0.454,0.366,0.509,0.752,0.255
adv-voting-fair_pp-group-0,0.632,0.646,0.523,0.397,0.527,0.747,0.462
adv-voting-fair_pp-group-1,0.650,0.710,0.394,0.340,0.487,0.756,0.538
adv-voting-fair_pp-delta,-0.018,-0.064,0.129,0.057,0.040,-0.009,0.040
adv-voting-fair_adv-all,0.650,0.685,0.454,0.374,0.526,0.752,0.387
adv-voting-fair_adv-group-0,0.603,0.631,0.523,0.460,0.560,0.651,0.462
adv-voting-fair_adv-group-1,0.690,0.718,0.394,0.300,0.487,0.821,0.538
adv-voting-fair_adv-delta,-0.086,-0.088,0.129,0.159,0.073,-0.171,0.171
adv-voting-fair_resample-all,0.626,0.681,0.454,0.382,0.509,0.723,0.292
adv-voting-fair_resample-group-0,0.598,0.647,0.523,0.443,0.538,0.663,0.462
adv-voting-fair_resample-group-1,0.650,0.709,0.394,0.330,0.475,0.764,0.538
adv-voting-fair_resample-delta,-0.053,-0.062,0.129,0.112,0.063,-0.102,0.102
adv-TERM-all,0.642,0.635,0.454,0.255,0.386,0.854,0.000
adv-TERM-group-0,0.598,0.617,0.523,0.339,0.440,0.771,0.462
adv-TERM-group-1,0.680,0.636,0.394,0.182,0.325,0.911,0.538
adv-TERM-delta,-0.082,-0.018,0.129,0.157,0.115,-0.139,0.139
adv-TERM-fair_pp-all,0.653,0.630,0.454,0.260,0.404,0.859,0.000
adv-TERM-fair_pp-group-0,0.603,0.608,0.523,0.333,0.440,0.783,0.462
adv-TERM-fair_pp-group-1,0.695,0.638,0.394,0.197,0.362,0.911,0.538
adv-TERM-fair_pp-delta,-0.091,-0.030,0.129,0.136,0.077,-0.127,0.127
adv-TERM-fair_resample-all,0.639,0.610,0.454,0.167,0.287,0.932,0.000
adv-TERM-fair_resample-group-0,0.592,0.607,0.523,0.218,0.319,0.892,0.462
adv-TERM-fair_resample-group-1,0.680,0.605,0.394,0.123,0.250,0.959,0.538
adv-TERM-fair_resample-delta,-0.088,0.002,0.129,0.095,0.069,-0.068,0.069
adv-DRO-fair_reg-all,0.631,0.702,0.454,0.196,0.310,0.898,0.000
adv-DRO-fair_reg-group-0,0.575,0.637,0.523,0.236,0.319,0.855,0.462
adv-DRO-fair_reg-group-1,0.680,0.744,0.394,0.163,0.300,0.927,0.538
adv-DRO-fair_reg-delta,-0.105,-0.106,0.129,0.073,0.019,-0.071,0.071
