method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.055,-0.105,0.003,-0.042,-0.073,-0.021,0.073
adv-konstantinov-fair_resample-all,0.690,0.702,0.680,0.750,0.824,0.406,0.000
adv-konstantinov-fair_resample-group-0,0.667,0.672,0.681,0.745,0.802,0.378,0.705
adv-konstantinov-fair_resample-group-1,0.746,0.775,0.678,0.763,0.875,0.474,0.295
adv-konstantinov-fair_resample-delta,-0.079,-0.103,0.003,-0.018,-0.073,-0.096,0.096
adv-selected-all,0.680,0.685,0.680,0.750,0.816,0.391,0.333
adv-selected-group-0,0.667,0.647,0.681,0.787,0.833,0.311,0.705
adv-selected-group-1,0.712,0.799,0.678,0.661,0.775,0.579,0.295
adv-selected-delta,-0.045,-0.152,0.003,0.126,0.058,-0.268,0.268
adv-selected-fair_reg-all,0.650,0.689,0.680,0.530,0.632,0.688,0.000
adv-selected-fair_reg-group-0,0.638,0.648,0.681,0.546,0.635,0.644,0.705
adv-selected-fair_reg-group-1,0.678,0.793,0.678,0.492,0.625,0.789,0.295
adv-selected-fair_reg-delta,-0.040,-0.145,0.003,0.055,0.010,-0.145,0.145
adv-selected-fair_pp-all,0.700,0.689,0.680,0.750,0.831,0.422,0.667
adv-selected-fair_pp-group-0,0.674,0.647,0.681,0.738,0.802,0.400,0.705
adv-selected-fair_pp-group-1,0.763,0.799,0.678,0.780,0.900,0.474,0.295
adv-selected-fair_pp-delta,-0.089,-0.152,0.003,-0.042,-0.098,-0.074,0.098
adv-selected-fair_adv-all,0.695,0.692,0.680,0.745,0.824,0.422,0.333
adv-selected-fair_adv-group-0,0.667,0.649,0.681,0.730,0.792,0.400,0.705
adv-selected-fair_adv-group-1,0.763,0.799,0.678,0.780,0.900,0.474,0.295
adv-selected-fair_adv-delta,-0.096,-0.149,0.003,-0.049,-0.108,-0.074,0.108
adv-selected-fair_resample-all,0.690,0.657,0.680,0.760,0.831,0.391,0.000
adv-selected-fair_resample-group-0,0.674,0.606,0.681,0.766,0.823,0.356,0.705
adv-selected-fair_resample-group-1,0.729,0.779,0.678,0.746,0.850,0.474,0.295
adv-selected-fair_resample-delta,-0.055,-0.173,0.003,0.020,-0.027,-0.118,0.118
adv-voting-all,0.705,0.688,0.680,0.755,0.838,0.422,0.370
adv-voting-group-0,0.688,0.636,0.681,0.780,0.844,0.356,0.705
adv-voting-group-1,0.746,0.811,0.678,0.695,0.825,0.579,0.295
adv-voting-delta,-0.058,-0.174,0.003,0.085,0.019,-0.223,0.223
adv-voting-fair_reg-all,0.640,0.692,0.680,0.540,0.632,0.656,0.450
adv-voting-fair_reg-group-0,0.617,0.642,0.681,0.553,0.625,0.600,0.705
adv-voting-fair_reg-group-1,0.695,0.807,0.678,0.508,0.650,0.789,0.295
adv-voting-fair_reg-delta,-0.078,-0.164,0.003,0.045,-0.025,-0.189,0.189
adv-voting-fair_pp-all,0.700,0.699,0.680,0.710,0.801,0.484,0.460
adv-voting-fair_pp-group-0,0.667,0.651,0.681,0.688,0.760,0.467,0.705
adv-voting-fair_pp-group-1,0.780,0.817,0.678,0.763,0.900,0.526,0.295
adv-voting-fair_pp-delta,-0.113,-0.166,0.003,-0.075,-0.140,-0.060,0.140
adv-voting-fair_adv-all,0.685,0.710,0.680,0.735,0.809,0.422,0.380
adv-voting-fair_adv-group-0,0.660,0.671,0.681,0.723,0.781,0.400,0.705
adv-voting-fair_adv-group-1,0.746,0.814,0.678,0.763,0.875,0.474,0.295
adv-voting-fair_adv-delta,-0.086,-0.143,0.003,-0.039,-0.094,-0.074,0.094
adv-voting-fair_resample-all,0.700,0.689,0.680,0.770,0.846,0.391,0.380
adv-voting-fair_resample-group-0,0.688,0.658,0.681,0.766,0.833,0.378,0.705
adv-voting-fair_resample-group-1,0.729,0.758,0.678,0.780,0.875,0.421,0.295
adv-voting-fair_resample-delta,-0.041,-0.100,0.003,-0.014,-0.042,-0.043,0.043
adv-TERM-all,0.665,0.667,0.680,0.585,0.684,0.625,0.000
adv-TERM-group-0,0.667,0.650,0.681,0.645,0.729,0.533,0.705
adv-TERM-group-1,0.661,0.709,0.678,0.441,0.575,0.842,0.295
adv-TERM-delta,0.006,-0.058,0.003,0.205,0.154,-0.309,0.309
adv-TERM-fair_pp-all,0.670,0.659,0.680,0.590,0.691,0.625,0.000
adv-TERM-fair_pp-group-0,0.674,0.637,0.681,0.652,0.740,0.533,0.705
adv-TERM-fair_pp-group-1,0.661,0.709,0.678,0.441,0.575,0.842,0.295
adv-TERM-fair_pp-delta,0.013,-0.072,0.003,0.212,0.165,-0.309,0.309
adv-TERM-fair_resample-all,0.670,0.652,0.680,0.600,0.699,0.609,0.000
adv-TERM-fair_resample-group-0,0.674,0.642,0.681,0.638,0.729,0.556,0.705
adv-TERM-fair_resample-group-1,0.661,0.671,0.678,0.508,0.625,0.737,0.295
adv-TERM-fair_resample-delta,0.013,-0.029,0.003,0.130,0.104,-0.181,0.181
adv-DRO-fair_reg-all,0.690,0.607,0.680,0.980,0.993,0.047,0.000
adv-DRO-fair_reg-group-0,0.695,0.655,0.681,0.972,0.990,0.067,0.705
adv-DRO-fair_reg-group-1,0.678,0.482,0.678,1.000,1.000,0.000,0.295
adv-DRO-fair_reg-delta,0.017,0.173,0.003,-0.028,-0.010,0.067,0.067
