method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.117,0.014,0.194,0.125,0.191,-0.045,0.191
adv-konstantinov-fair_resample-all,0.791,0.808,0.240,0.139,0.355,0.929,0.000
adv-konstantinov-fair_resample-group-0,0.756,0.812,0.306,0.158,0.360,0.930,0.664
adv-konstantinov-fair_resample-group-1,0.860,0.803,0.112,0.102,0.330,0.927,0.336
adv-konstantinov-fair_resample-delta,-0.104,0.010,0.194,0.056,0.030,0.004,0.030
adv-selected-all,0.805,0.833,0.240,0.158,0.423,0.926,0.000
adv-selected-group-0,0.764,0.815,0.306,0.228,0.486,0.886,0.664
adv-selected-group-1,0.886,0.798,0.112,0.019,0.079,0.988,0.336
adv-selected-delta,-0.123,0.016,0.194,0.208,0.407,-0.102,0.407
adv-selected-fair_reg-all,0.704,0.796,0.240,0.421,0.759,0.686,0.000
adv-selected-fair_reg-group-0,0.733,0.815,0.306,0.419,0.749,0.726,0.664
adv-selected-fair_reg-group-1,0.646,0.800,0.112,0.424,0.815,0.625,0.336
adv-selected-fair_reg-delta,0.087,0.015,0.194,-0.005,-0.065,0.101,0.101
adv-selected-fair_pp-all,0.783,0.795,0.240,0.129,0.317,0.930,0.333
adv-selected-fair_pp-group-0,0.749,0.815,0.306,0.131,0.304,0.945,0.664
adv-selected-fair_pp-group-1,0.849,0.798,0.112,0.125,0.384,0.907,0.336
adv-selected-fair_pp-delta,-0.100,0.016,0.194,0.006,-0.080,0.038,0.080
adv-selected-fair_adv-all,0.802,0.827,0.240,0.141,0.382,0.935,0.333
adv-selected-fair_adv-group-0,0.763,0.814,0.306,0.183,0.412,0.917,0.664
adv-selected-fair_adv-group-1,0.879,0.800,0.112,0.058,0.221,0.962,0.336
adv-selected-fair_adv-delta,-0.117,0.014,0.194,0.125,0.191,-0.045,0.191
adv-selected-fair_resample-all,0.792,0.812,0.240,0.139,0.357,0.930,0.000
adv-selected-fair_resample-group-0,0.757,0.811,0.306,0.161,0.366,0.929,0.664
adv-selected-fair_resample-group-1,0.863,0.803,0.112,0.094,0.308,0.932,0.336
adv-selected-fair_resample-delta,-0.106,0.008,0.194,0.067,0.058,-0.004,0.058
adv-voting-all,0.806,0.832,0.240,0.162,0.432,0.924,0.023
adv-voting-group-0,0.765,0.814,0.306,0.233,0.495,0.883,0.664
adv-voting-group-1,0.886,0.799,0.112,0.022,0.090,0.987,0.336
adv-voting-delta,-0.122,0.015,0.194,0.211,0.406,-0.104,0.406
adv-voting-fair_reg-all,0.707,0.795,0.240,0.412,0.746,0.694,0.027
adv-voting-fair_reg-group-0,0.738,0.815,0.306,0.405,0.734,0.740,0.664
adv-voting-fair_reg-group-1,0.645,0.800,0.112,0.424,0.809,0.625,0.336
adv-voting-fair_reg-delta,0.093,0.014,0.194,-0.019,-0.075,0.115,0.115
adv-voting-fair_pp-all,0.782,0.791,0.240,0.126,0.309,0.932,0.032
adv-voting-fair_pp-group-0,0.748,0.813,0.306,0.127,0.295,0.948,0.664
adv-voting-fair_pp-group-1,0.850,0.798,0.112,0.124,0.381,0.909,0.336
adv-voting-fair_pp-delta,-0.102,0.016,0.194,0.003,-0.086,0.039,0.086
adv-voting-fair_adv-all,0.801,0.826,0.240,0.141,0.379,0.935,0.016
adv-voting-fair_adv-group-0,0.761,0.813,0.306,0.183,0.409,0.917,0.664
adv-voting-fair_adv-group-1,0.880,0.799,0.112,0.058,0.221,0.963,0.336
adv-voting-fair_adv-delta,-0.119,0.014,0.194,0.125,0.188,-0.046,0.188
adv-voting-fair_resample-all,0.790,0.808,0.240,0.152,0.380,0.920,0.027
adv-voting-fair_resample-group-0,0.757,0.809,0.306,0.176,0.390,0.918,0.664
adv-voting-fair_resample-group-1,0.856,0.801,0.112,0.105,0.327,0.923,0.336
adv-voting-fair_resample-delta,-0.099,0.007,0.194,0.070,0.063,-0.004,0.063
adv-TERM-all,0.760,0.574,0.240,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.694,0.529,0.306,0.000,0.000,1.000,0.664
adv-TERM-group-1,0.888,0.517,0.112,0.000,0.000,1.000,0.336
adv-TERM-delta,-0.194,0.012,0.194,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.760,0.517,0.240,0.000,0.000,1.000,0.000
adv-TERM-fair_pp-group-0,0.694,0.529,0.306,0.000,0.000,1.000,0.664
adv-TERM-fair_pp-group-1,0.888,0.517,0.112,0.000,0.000,1.000,0.336
adv-TERM-fair_pp-delta,-0.194,0.012,0.194,0.000,0.000,0.000,0.000
adv-TERM-fair_resample-all,0.760,0.564,0.240,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.694,0.535,0.306,0.000,0.000,1.000,0.664
adv-TERM-fair_resample-group-1,0.888,0.519,0.112,0.000,0.000,1.000,0.336
adv-TERM-fair_resample-delta,-0.194,0.016,0.194,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.784,0.773,0.240,0.061,0.178,0.976,0.000
adv-DRO-fair_reg-group-0,0.732,0.742,0.306,0.092,0.211,0.961,0.664
adv-DRO-fair_reg-group-1,0.888,0.729,0.112,0.000,0.000,1.000,0.336
adv-DRO-fair_reg-delta,-0.156,0.012,0.194,0.092,0.211,-0.039,0.211
