method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.062,0.018,0.190,0.110,0.114,-0.038,0.114
adv-konstantinov-fair_resample-all,0.640,0.680,0.461,0.321,0.457,0.796,0.000
adv-konstantinov-fair_resample-group-0,0.626,0.677,0.500,0.319,0.445,0.806,0.794
adv-konstantinov-fair_resample-group-1,0.694,0.711,0.310,0.325,0.532,0.767,0.206
adv-konstantinov-fair_resample-delta,-0.069,-0.034,0.190,-0.006,-0.087,0.039,0.087
adv-selected-all,0.659,0.728,0.461,0.347,0.506,0.790,0.000
adv-selected-group-0,0.646,0.716,0.500,0.393,0.539,0.753,0.794
adv-selected-group-1,0.710,0.714,0.310,0.169,0.304,0.892,0.206
adv-selected-delta,-0.064,0.002,0.190,0.224,0.235,-0.139,0.235
adv-selected-fair_reg-all,0.661,0.709,0.461,0.447,0.617,0.698,0.000
adv-selected-fair_reg-group-0,0.656,0.716,0.500,0.452,0.608,0.704,0.794
adv-selected-fair_reg-group-1,0.678,0.712,0.310,0.427,0.671,0.682,0.206
adv-selected-fair_reg-delta,-0.022,0.004,0.190,0.025,-0.063,0.022,0.063
adv-selected-fair_pp-all,0.644,0.709,0.461,0.325,0.466,0.796,0.333
adv-selected-fair_pp-group-0,0.634,0.716,0.500,0.328,0.461,0.806,0.794
adv-selected-fair_pp-group-1,0.682,0.714,0.310,0.314,0.494,0.767,0.206
adv-selected-fair_pp-delta,-0.049,0.002,0.190,0.014,-0.032,0.039,0.039
adv-selected-fair_adv-all,0.657,0.722,0.461,0.338,0.496,0.796,0.667
adv-selected-fair_adv-group-0,0.648,0.716,0.500,0.370,0.518,0.778,0.794
adv-selected-fair_adv-group-1,0.694,0.713,0.310,0.216,0.354,0.847,0.206
adv-selected-fair_adv-delta,-0.046,0.003,0.190,0.155,0.164,-0.069,0.164
adv-selected-fair_resample-all,0.655,0.711,0.461,0.352,0.508,0.781,0.000
adv-selected-fair_resample-group-0,0.648,0.715,0.500,0.362,0.510,0.786,0.794
adv-selected-fair_resample-group-1,0.682,0.712,0.310,0.314,0.494,0.767,0.206
adv-selected-fair_resample-delta,-0.034,0.003,0.190,0.049,0.017,0.019,0.019
adv-voting-all,0.666,0.723,0.461,0.377,0.547,0.769,0.059
adv-voting-group-0,0.656,0.712,0.500,0.423,0.580,0.733,0.794
adv-voting-group-1,0.706,0.701,0.310,0.196,0.342,0.869,0.206
adv-voting-delta,-0.050,0.011,0.190,0.227,0.238,-0.137,0.238
adv-voting-fair_reg-all,0.657,0.707,0.461,0.426,0.591,0.715,0.046
adv-voting-fair_reg-group-0,0.655,0.713,0.500,0.437,0.592,0.718,0.794
adv-voting-fair_reg-group-1,0.667,0.705,0.310,0.384,0.582,0.705,0.206
adv-voting-fair_reg-delta,-0.012,0.008,0.190,0.052,0.010,0.014,0.014
adv-voting-fair_pp-all,0.659,0.705,0.461,0.486,0.657,0.661,0.138
adv-voting-fair_pp-group-0,0.660,0.709,0.500,0.501,0.661,0.659,0.794
adv-voting-fair_pp-group-1,0.655,0.698,0.310,0.427,0.633,0.665,0.206
adv-voting-fair_pp-delta,0.005,0.011,0.190,0.074,0.028,-0.006,0.028
adv-voting-fair_adv-all,0.645,0.715,0.461,0.343,0.487,0.779,0.045
adv-voting-fair_adv-group-0,0.634,0.711,0.500,0.372,0.506,0.761,0.794
adv-voting-fair_adv-group-1,0.686,0.698,0.310,0.231,0.367,0.830,0.206
adv-voting-fair_adv-delta,-0.053,0.013,0.190,0.141,0.139,-0.068,0.139
adv-voting-fair_resample-all,0.639,0.698,0.461,0.341,0.478,0.776,0.110
adv-voting-fair_resample-group-0,0.632,0.702,0.500,0.348,0.480,0.784,0.794
adv-voting-fair_resample-group-1,0.667,0.696,0.310,0.314,0.468,0.756,0.206
adv-voting-fair_resample-delta,-0.035,0.006,0.190,0.034,0.011,0.028,0.028
adv-TERM-all,0.539,0.356,0.461,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.500,0.365,0.500,0.000,0.000,1.000,0.794
