method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.115,0.039,0.198,0.075,0.076,-0.009,0.076
adv-konstantinov-fair_resample-all,0.800,0.817,0.238,0.126,0.344,0.942,0.000
adv-konstantinov-fair_resample-group-0,0.763,0.821,0.304,0.150,0.356,0.940,0.666
adv-konstantinov-fair_resample-group-1,0.874,0.780,0.106,0.079,0.277,0.944,0.334
adv-konstantinov-fair_resample-delta,-0.111,0.042,0.198,0.071,0.079,-0.004,0.079
adv-selected-all,0.813,0.836,0.238,0.140,0.400,0.941,0.000
adv-selected-group-0,0.771,0.822,0.304,0.200,0.453,0.910,0.666
adv-selected-group-1,0.895,0.784,0.106,0.020,0.098,0.990,0.334
adv-selected-delta,-0.124,0.037,0.198,0.181,0.355,-0.079,0.355
adv-selected-fair_reg-all,0.704,0.796,0.238,0.410,0.741,0.693,0.667
adv-selected-fair_reg-group-0,0.741,0.822,0.304,0.401,0.734,0.745,0.666
adv-selected-fair_reg-group-1,0.630,0.785,0.106,0.429,0.780,0.613,0.334
adv-selected-fair_reg-delta,0.111,0.037,0.198,-0.028,-0.046,0.132,0.132
adv-selected-fair_pp-all,0.789,0.795,0.238,0.135,0.340,0.929,0.000
adv-selected-fair_pp-group-0,0.761,0.822,0.304,0.134,0.327,0.950,0.666
adv-selected-fair_pp-group-1,0.845,0.784,0.106,0.137,0.413,0.896,0.334
adv-selected-fair_pp-delta,-0.084,0.037,0.198,-0.003,-0.086,0.054,0.086
adv-selected-fair_adv-all,0.806,0.829,0.238,0.139,0.383,0.938,0.000
adv-selected-fair_adv-group-0,0.769,0.822,0.304,0.177,0.412,0.925,0.666
adv-selected-fair_adv-group-1,0.878,0.786,0.106,0.062,0.217,0.957,0.334
adv-selected-fair_adv-delta,-0.109,0.036,0.198,0.116,0.195,-0.032,0.195
adv-selected-fair_resample-all,0.797,0.810,0.238,0.132,0.351,0.936,0.000
adv-selected-fair_resample-group-0,0.763,0.818,0.304,0.148,0.354,0.941,0.666
adv-selected-fair_resample-group-1,0.865,0.792,0.106,0.100,0.335,0.928,0.334
adv-selected-fair_resample-delta,-0.103,0.026,0.198,0.049,0.018,0.013,0.018
adv-voting-all,0.809,0.833,0.238,0.129,0.372,0.946,0.015
adv-voting-group-0,0.770,0.820,0.304,0.177,0.413,0.925,0.666
adv-voting-group-1,0.889,0.786,0.106,0.034,0.136,0.978,0.334
adv-voting-delta,-0.119,0.034,0.198,0.143,0.277,-0.053,0.277
adv-voting-fair_reg-all,0.711,0.808,0.238,0.414,0.762,0.695,0.128
adv-voting-fair_reg-group-0,0.729,0.821,0.304,0.436,0.770,0.711,0.666
