method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.071,0.061,0.198,-0.001,-0.039,0.059,0.059
adv-konstantinov-fair_resample-all,0.794,0.809,0.241,0.138,0.360,0.932,0.000
adv-konstantinov-fair_resample-group-0,0.763,0.819,0.307,0.159,0.371,0.936,0.667
adv-konstantinov-fair_resample-group-1,0.858,0.758,0.109,0.097,0.294,0.927,0.333
adv-konstantinov-fair_resample-delta,-0.095,0.062,0.198,0.061,0.078,0.009,0.078
adv-selected-all,0.807,0.829,0.241,0.148,0.406,0.934,0.000
adv-selected-group-0,0.769,0.817,0.307,0.209,0.464,0.904,0.667
adv-selected-group-1,0.883,0.765,0.109,0.026,0.079,0.981,0.333
adv-selected-delta,-0.113,0.052,0.198,0.183,0.385,-0.077,0.385
adv-selected-fair_reg-all,0.703,0.790,0.241,0.408,0.730,0.695,0.000
adv-selected-fair_reg-group-0,0.738,0.817,0.307,0.401,0.727,0.743,0.667
adv-selected-fair_reg-group-1,0.634,0.765,0.109,0.421,0.751,0.619,0.333
adv-selected-fair_reg-delta,0.104,0.052,0.198,-0.020,-0.025,0.124,0.124
adv-selected-fair_pp-all,0.784,0.790,0.241,0.135,0.332,0.928,0.000
adv-selected-fair_pp-group-0,0.756,0.817,0.307,0.136,0.324,0.948,0.667
adv-selected-fair_pp-group-1,0.840,0.765,0.109,0.133,0.376,0.897,0.333
adv-selected-fair_pp-delta,-0.083,0.052,0.198,0.003,-0.051,0.051,0.051
adv-selected-fair_adv-all,0.803,0.823,0.241,0.145,0.391,0.933,0.000
adv-selected-fair_adv-group-0,0.767,0.817,0.307,0.187,0.425,0.918,0.667
adv-selected-fair_adv-group-1,0.875,0.766,0.109,0.060,0.201,0.958,0.333
adv-selected-fair_adv-delta,-0.109,0.051,0.198,0.128,0.224,-0.040,0.224
adv-selected-fair_resample-all,0.791,0.807,0.241,0.136,0.349,0.931,0.000
adv-selected-fair_resample-group-0,0.760,0.816,0.307,0.155,0.361,0.936,0.667
adv-selected-fair_resample-group-1,0.853,0.771,0.109,0.100,0.282,0.923,0.333
adv-selected-fair_resample-delta,-0.093,0.045,0.198,0.055,0.079,0.014,0.079
adv-voting-all,0.806,0.828,0.241,0.144,0.395,0.936,0.005
adv-voting-group-0,0.768,0.816,0.307,0.198,0.445,0.911,0.667
adv-voting-group-1,0.881,0.766,0.109,0.034,0.113,0.975,0.333
adv-voting-delta,-0.113,0.050,0.198,0.164,0.332,-0.064,0.332
adv-voting-fair_reg-all,0.698,0.779,0.241,0.409,0.722,0.691,0.000
adv-voting-fair_reg-group-0,0.745,0.817,0.307,0.383,0.709,0.760,0.667
adv-voting-fair_reg-group-1,0.605,0.766,0.109,0.459,0.797,0.582,0.333
adv-voting-fair_reg-delta,0.139,0.050,0.198,-0.076,-0.088,0.178,0.178
adv-voting-fair_pp-all,0.785,0.789,0.241,0.129,0.321,0.932,0.036
adv-voting-fair_pp-group-0,0.756,0.817,0.307,0.131,0.317,0.951,0.667
adv-voting-fair_pp-group-1,0.843,0.764,0.109,0.123,0.345,0.904,0.333
adv-voting-fair_pp-delta,-0.087,0.053,0.198,0.008,-0.028,0.046,0.046
adv-voting-fair_adv-all,0.801,0.816,0.241,0.137,0.372,0.937,0.016
adv-voting-fair_adv-group-0,0.765,0.816,0.307,0.170,0.394,0.929,0.667
adv-voting-fair_adv-group-1,0.874,0.767,0.109,0.070,0.243,0.951,0.333
adv-voting-fair_adv-delta,-0.109,0.049,0.198,0.100,0.151,-0.022,0.151
adv-voting-fair_resample-all,0.783,0.789,0.241,0.125,0.310,0.933,0.005
adv-voting-fair_resample-group-0,0.753,0.813,0.307,0.126,0.303,0.952,0.667
adv-voting-fair_resample-group-1,0.843,0.768,0.109,0.124,0.347,0.904,0.333
adv-voting-fair_resample-delta,-0.090,0.045,0.198,0.002,-0.044,0.049,0.049
adv-TERM-all,0.768,0.699,0.241,0.057,0.138,0.968,0.000
adv-TERM-group-0,0.722,0.777,0.307,0.044,0.119,0.990,0.667
adv-TERM-group-1,0.860,0.718,0.109,0.085,0.249,0.935,0.333
adv-TERM-delta,-0.138,0.059,0.198,-0.042,-0.130,0.055,0.130
adv-TERM-fair_pp-all,0.794,0.787,0.241,0.105,0.290,0.954,0.000
adv-TERM-fair_pp-group-0,0.752,0.777,0.307,0.139,0.322,0.942,0.667
adv-TERM-fair_pp-group-1,0.879,0.718,0.109,0.036,0.110,0.973,0.333
adv-TERM-fair_pp-delta,-0.127,0.059,0.198,0.103,0.212,-0.031,0.212
adv-TERM-fair_resample-all,0.765,0.676,0.241,0.045,0.106,0.974,0.000
adv-TERM-fair_resample-group-0,0.715,0.744,0.307,0.030,0.085,0.994,0.667
adv-TERM-fair_resample-group-1,0.865,0.698,0.109,0.076,0.229,0.943,0.333
adv-TERM-fair_resample-delta,-0.150,0.046,0.198,-0.045,-0.144,0.051,0.144
adv-DRO-fair_reg-all,0.767,0.742,0.241,0.033,0.084,0.983,0.000
adv-DRO-fair_reg-group-0,0.710,0.744,0.307,0.035,0.085,0.987,0.667
adv-DRO-fair_reg-group-1,0.880,0.695,0.109,0.028,0.079,0.978,0.333
adv-DRO-fair_reg-delta,-0.170,0.050,0.198,0.007,0.006,0.008,0.008
