method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.684,0.739,0.459,0.414,0.607,0.750,0.000
original-group-0,0.665,0.697,0.524,0.576,0.730,0.593,0.507
original-group-1,0.704,0.754,0.392,0.247,0.438,0.876,0.493
original-delta,-0.039,-0.057,0.131,0.329,0.292,-0.283,0.292
original-fair_reg-all,0.666,0.724,0.459,0.459,0.636,0.691,0.000
original-fair_reg-group-0,0.639,0.698,0.524,0.466,0.600,0.681,0.507
original-fair_reg-group-1,0.694,0.757,0.392,0.452,0.685,0.699,0.493
original-fair_reg-delta,-0.055,-0.059,0.131,0.014,-0.085,-0.018,0.085
original-fair_pp-all,0.668,0.722,0.459,0.302,0.468,0.838,0.000
original-fair_pp-group-0,0.602,0.697,0.524,0.293,0.400,0.824,0.507
original-fair_pp-group-1,0.737,0.754,0.392,0.312,0.562,0.850,0.493
original-fair_pp-delta,-0.134,-0.057,0.131,-0.019,-0.162,-0.025,0.162
original-fair_adv-all,0.692,0.734,0.459,0.379,0.578,0.789,0.000
original-fair_adv-group-0,0.639,0.697,0.524,0.435,0.570,0.714,0.507
original-fair_adv-group-1,0.747,0.754,0.392,0.323,0.589,0.850,0.493
original-fair_adv-delta,-0.109,-0.057,0.131,0.112,-0.019,-0.135,0.135
original-fair_resample-all,0.682,0.724,0.459,0.401,0.590,0.760,0.000
original-fair_resample-group-0,0.628,0.688,0.524,0.445,0.570,0.692,0.507
original-fair_resample-group-1,0.737,0.749,0.392,0.355,0.616,0.814,0.493
original-fair_resample-delta,-0.108,-0.061,0.131,0.090,-0.046,-0.122,0.122
adv-clean-all,0.687,0.734,0.459,0.395,0.590,0.770,0.000
adv-clean-group-0,0.634,0.675,0.524,0.534,0.660,0.604,0.507
adv-clean-group-1,0.742,0.761,0.392,0.253,0.493,0.903,0.493
adv-clean-delta,-0.108,-0.087,0.131,0.281,0.167,-0.298,0.298
adv-clean-fair_reg-all,0.663,0.720,0.459,0.467,0.642,0.681,0.000
adv-clean-fair_reg-group-0,0.607,0.673,0.524,0.508,0.610,0.604,0.507
adv-clean-fair_reg-group-1,0.720,0.764,0.392,0.425,0.685,0.743,0.493
adv-clean-fair_reg-delta,-0.113,-0.091,0.131,0.083,-0.075,-0.139,0.139
adv-clean-fair_pp-all,0.655,0.717,0.459,0.347,0.503,0.784,0.000
adv-clean-fair_pp-group-0,0.592,0.675,0.524,0.366,0.460,0.736,0.507
adv-clean-fair_pp-group-1,0.720,0.761,0.392,0.328,0.562,0.823,0.493
adv-clean-fair_pp-delta,-0.129,-0.087,0.131,0.039,-0.102,-0.087,0.102
adv-clean-fair_adv-all,0.653,0.729,0.459,0.377,0.532,0.755,0.000
adv-clean-fair_adv-group-0,0.592,0.674,0.524,0.429,0.520,0.670,0.507
adv-clean-fair_adv-group-1,0.715,0.762,0.392,0.323,0.548,0.823,0.493
adv-clean-fair_adv-delta,-0.123,-0.088,0.131,0.107,-0.028,-0.153,0.153
adv-clean-fair_resample-all,0.668,0.723,0.459,0.355,0.526,0.789,0.000
adv-clean-fair_resample-group-0,0.602,0.671,0.524,0.419,0.520,0.692,0.507
adv-clean-fair_resample-group-1,0.737,0.758,0.392,0.290,0.534,0.867,0.493
adv-clean-fair_resample-delta,-0.134,-0.087,0.131,0.129,-0.014,-0.175,0.175
adv-all-all,0.597,0.631,0.459,0.363,0.457,0.716,0.000
adv-all-group-0,0.560,0.693,0.524,0.126,0.200,0.956,0.507
adv-all-group-1,0.634,0.761,0.392,0.608,0.808,0.522,0.493
adv-all-delta,-0.074,-0.068,0.131,-0.482,-0.608,0.434,0.608
adv-all-fair_reg-all,0.682,0.741,0.459,0.480,0.676,0.686,0.000
adv-all-fair_reg-group-0,0.644,0.694,0.524,0.586,0.720,0.560,0.507
adv-all-fair_reg-group-1,0.720,0.762,0.392,0.371,0.616,0.788,0.493
adv-all-fair_reg-delta,-0.076,-0.068,0.131,0.215,0.104,-0.227,0.227
adv-all-fair_pp-all,0.684,0.740,0.459,0.398,0.590,0.765,0.000
adv-all-fair_pp-group-0,0.644,0.693,0.524,0.471,0.610,0.681,0.507
adv-all-fair_pp-group-1,0.726,0.761,0.392,0.323,0.562,0.832,0.493
adv-all-fair_pp-delta,-0.082,-0.068,0.131,0.149,0.048,-0.151,0.151
adv-all-fair_adv-all,0.668,0.724,0.459,0.382,0.555,0.765,0.000
adv-all-fair_adv-group-0,0.607,0.696,0.524,0.382,0.490,0.736,0.507
adv-all-fair_adv-group-1,0.731,0.760,0.392,0.382,0.644,0.788,0.493
adv-all-fair_adv-delta,-0.124,-0.064,0.131,0.000,-0.154,-0.051,0.154
adv-all-fair_resample-all,0.668,0.726,0.459,0.408,0.584,0.740,0.000
adv-all-fair_resample-group-0,0.623,0.681,0.524,0.461,0.580,0.670,0.507
adv-all-fair_resample-group-1,0.715,0.753,0.392,0.355,0.589,0.796,0.493
adv-all-fair_resample-delta,-0.092,-0.072,0.131,0.106,-0.009,-0.126,0.126
adv-konstantinov-all,0.597,0.631,0.459,0.363,0.457,0.716,0.400
adv-konstantinov-group-0,0.560,0.693,0.524,0.126,0.200,0.956,0.507
adv-konstantinov-group-1,0.634,0.761,0.392,0.608,0.808,0.522,0.493
adv-konstantinov-delta,-0.074,-0.068,0.131,-0.482,-0.608,0.434,0.608
adv-konstantinov-fair_reg-all,0.682,0.741,0.459,0.480,0.676,0.686,0.000
adv-konstantinov-fair_reg-group-0,0.644,0.694,0.524,0.586,0.720,0.560,0.507
adv-konstantinov-fair_reg-group-1,0.720,0.762,0.392,0.371,0.616,0.788,0.493
adv-konstantinov-fair_reg-delta,-0.076,-0.068,0.131,0.215,0.104,-0.227,0.227
adv-konstantinov-fair_pp-all,0.684,0.740,0.459,0.398,0.590,0.765,0.000
adv-konstantinov-fair_pp-group-0,0.644,0.693,0.524,0.471,0.610,0.681,0.507
adv-konstantinov-fair_pp-group-1,0.726,0.761,0.392,0.323,0.562,0.832,0.493
adv-konstantinov-fair_pp-delta,-0.082,-0.068,0.131,0.149,0.048,-0.151,0.151
adv-konstantinov-fair_adv-all,0.668,0.724,0.459,0.382,0.555,0.765,0.000
adv-konstantinov-fair_adv-group-0,0.607,0.696,0.524,0.382,0.490,0.736,0.507
adv-konstantinov-fair_adv-group-1,0.731,0.760,0.392,0.382,0.644,0.788,0.493
adv-konstantinov-fair_adv-delta,-0.124,-0.064,0.131,0.000,-0.154,-0.051,0.154
adv-konstantinov-fair_resample-all,0.666,0.722,0.459,0.411,0.584,0.735,0.000
adv-konstantinov-fair_resample-group-0,0.623,0.694,0.524,0.450,0.570,0.681,0.507
adv-konstantinov-fair_resample-group-1,0.710,0.745,0.392,0.371,0.603,0.779,0.493
adv-konstantinov-fair_resample-delta,-0.087,-0.051,0.131,0.079,-0.033,-0.097,0.097
adv-selected-all,0.687,0.734,0.459,0.395,0.590,0.770,0.000
