method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,0.026,-0.020,0.074,0.030,0.053,0.026,0.053
adv-konstantinov-fair_resample-all,0.645,0.689,0.446,0.408,0.560,0.713,0.000
adv-konstantinov-fair_resample-group-0,0.647,0.679,0.484,0.457,0.607,0.684,0.488
adv-konstantinov-fair_resample-group-1,0.642,0.698,0.409,0.363,0.506,0.737,0.512
adv-konstantinov-fair_resample-delta,0.004,-0.019,0.074,0.094,0.100,-0.053,0.100
adv-selected-all,0.658,0.684,0.446,0.406,0.571,0.727,0.000
adv-selected-group-0,0.668,0.687,0.484,0.554,0.730,0.611,0.488
adv-selected-group-1,0.648,0.695,0.409,0.264,0.392,0.825,0.512
adv-selected-delta,0.021,-0.008,0.074,0.290,0.338,-0.214,0.338
adv-selected-fair_reg-all,0.637,0.688,0.446,0.469,0.619,0.651,0.000
adv-selected-fair_reg-group-0,0.652,0.686,0.484,0.473,0.629,0.674,0.488
adv-selected-fair_reg-group-1,0.622,0.696,0.409,0.466,0.608,0.632,0.512
adv-selected-fair_reg-delta,0.030,-0.010,0.074,0.007,0.022,0.042,0.042
adv-selected-fair_pp-all,0.629,0.687,0.446,0.393,0.524,0.713,0.000
adv-selected-fair_pp-group-0,0.658,0.687,0.484,0.380,0.539,0.768,0.488
adv-selected-fair_pp-group-1,0.601,0.695,0.409,0.404,0.506,0.667,0.512
adv-selected-fair_pp-delta,0.057,-0.008,0.074,-0.024,0.033,0.102,0.102
adv-selected-fair_adv-all,0.642,0.690,0.446,0.395,0.542,0.722,0.333
adv-selected-fair_adv-group-0,0.652,0.686,0.484,0.451,0.607,0.695,0.488
adv-selected-fair_adv-group-1,0.632,0.694,0.409,0.342,0.468,0.746,0.512
adv-selected-fair_adv-delta,0.020,-0.009,0.074,0.109,0.138,-0.051,0.138
adv-selected-fair_resample-all,0.650,0.675,0.446,0.371,0.524,0.751,0.000
adv-selected-fair_resample-group-0,0.663,0.670,0.484,0.397,0.562,0.758,0.488
adv-selected-fair_resample-group-1,0.637,0.688,0.409,0.347,0.481,0.746,0.512
adv-selected-fair_resample-delta,0.026,-0.018,0.074,0.050,0.081,0.012,0.081
adv-voting-all,0.645,0.677,0.446,0.398,0.548,0.722,0.000
adv-voting-group-0,0.658,0.682,0.484,0.402,0.562,0.747,0.488
adv-voting-group-1,0.632,0.676,0.409,0.394,0.532,0.702,0.512
adv-voting-delta,0.025,0.006,0.074,0.008,0.030,0.046,0.046
adv-voting-fair_reg-all,0.629,0.653,0.446,0.493,0.637,0.622,0.000
adv-voting-fair_reg-group-0,0.663,0.685,0.484,0.353,0.517,0.800,0.488
adv-voting-fair_reg-group-1,0.596,0.682,0.409,0.627,0.772,0.474,0.512
adv-voting-fair_reg-delta,0.067,0.003,0.074,-0.274,-0.255,0.326,0.326
adv-voting-fair_pp-all,0.637,0.679,0.446,0.268,0.393,0.833,0.045
adv-voting-fair_pp-group-0,0.647,0.682,0.484,0.250,0.393,0.884,0.488
adv-voting-fair_pp-group-1,0.627,0.683,0.409,0.285,0.392,0.789,0.512
adv-voting-fair_pp-delta,0.020,-0.001,0.074,-0.035,0.001,0.095,0.095
adv-voting-fair_adv-all,0.623,0.666,0.446,0.419,0.548,0.684,0.011
adv-voting-fair_adv-group-0,0.652,0.686,0.484,0.321,0.472,0.821,0.488
adv-voting-fair_adv-group-1,0.596,0.681,0.409,0.513,0.633,0.570,0.512
adv-voting-fair_adv-delta,0.056,0.006,0.074,-0.192,-0.161,0.251,0.251
adv-voting-fair_resample-all,0.560,0.615,0.446,0.430,0.488,0.617,0.003
adv-voting-fair_resample-group-0,0.582,0.688,0.484,0.196,0.270,0.874,0.488
adv-voting-fair_resample-group-1,0.539,0.642,0.409,0.653,0.734,0.404,0.512
adv-voting-fair_resample-delta,0.043,0.046,0.074,-0.457,-0.465,0.470,0.470
adv-TERM-all,0.602,0.568,0.446,0.223,0.304,0.842,0.000
adv-TERM-group-0,0.549,0.535,0.484,0.087,0.124,0.947,0.488
adv-TERM-group-1,0.653,0.623,0.409,0.352,0.506,0.754,0.512
adv-TERM-delta,-0.104,-0.088,0.074,-0.265,-0.383,0.193,0.383
adv-TERM-fair_pp-all,0.599,0.571,0.446,0.215,0.292,0.847,0.000
adv-TERM-fair_pp-group-0,0.549,0.531,0.484,0.087,0.124,0.947,0.488
adv-TERM-fair_pp-group-1,0.648,0.628,0.409,0.337,0.481,0.763,0.512
adv-TERM-fair_pp-delta,-0.099,-0.097,0.074,-0.250,-0.357,0.184,0.357
adv-TERM-fair_resample-all,0.610,0.577,0.446,0.141,0.220,0.923,0.000
adv-TERM-fair_resample-group-0,0.560,0.564,0.484,0.098,0.146,0.947,0.488
adv-TERM-fair_resample-group-1,0.658,0.598,0.409,0.181,0.304,0.904,0.512
adv-TERM-fair_resample-delta,-0.098,-0.033,0.074,-0.084,-0.158,0.044,0.158
adv-DRO-fair_reg-all,0.626,0.703,0.446,0.231,0.339,0.856,0.000
adv-DRO-fair_reg-group-0,0.636,0.700,0.484,0.283,0.416,0.842,0.488
adv-DRO-fair_reg-group-1,0.617,0.708,0.409,0.181,0.253,0.868,0.512
adv-DRO-fair_reg-delta,0.019,-0.008,0.074,0.101,0.163,-0.026,0.163
