method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.057,0.013,0.193,-0.009,-0.128,0.066,0.128
adv-konstantinov-fair_resample-all,0.793,0.815,0.244,0.172,0.429,0.910,0.000
adv-konstantinov-fair_resample-group-0,0.767,0.820,0.306,0.188,0.427,0.917,0.676
adv-konstantinov-fair_resample-group-1,0.847,0.804,0.113,0.140,0.443,0.899,0.324
adv-konstantinov-fair_resample-delta,-0.080,0.016,0.193,0.048,-0.016,0.018,0.018
adv-selected-all,0.807,0.837,0.244,0.158,0.429,0.929,0.000
adv-selected-group-0,0.769,0.822,0.306,0.228,0.496,0.890,0.676
adv-selected-group-1,0.885,0.798,0.113,0.013,0.050,0.992,0.324
adv-selected-delta,-0.116,0.024,0.193,0.216,0.446,-0.102,0.446
adv-selected-fair_reg-all,0.695,0.801,0.244,0.437,0.770,0.671,0.000
adv-selected-fair_reg-group-0,0.730,0.822,0.306,0.430,0.761,0.716,0.676
adv-selected-fair_reg-group-1,0.623,0.799,0.113,0.451,0.825,0.597,0.324
adv-selected-fair_reg-delta,0.107,0.023,0.193,-0.021,-0.064,0.119,0.119
adv-selected-fair_pp-all,0.785,0.799,0.244,0.125,0.316,0.937,0.000
adv-selected-fair_pp-group-0,0.756,0.822,0.306,0.121,0.300,0.957,0.676
adv-selected-fair_pp-group-1,0.847,0.798,0.113,0.131,0.404,0.903,0.324
adv-selected-fair_pp-delta,-0.091,0.024,0.193,-0.010,-0.104,0.054,0.104
adv-selected-fair_adv-all,0.803,0.832,0.244,0.146,0.397,0.934,0.333
adv-selected-fair_adv-group-0,0.767,0.822,0.306,0.193,0.435,0.914,0.676
adv-selected-fair_adv-group-1,0.879,0.799,0.113,0.050,0.184,0.968,0.324
adv-selected-fair_adv-delta,-0.111,0.023,0.193,0.143,0.251,-0.053,0.251
adv-selected-fair_resample-all,0.796,0.816,0.244,0.139,0.366,0.935,0.000
adv-selected-fair_resample-group-0,0.764,0.820,0.306,0.158,0.372,0.937,0.676
adv-selected-fair_resample-group-1,0.864,0.801,0.113,0.099,0.334,0.931,0.324
adv-selected-fair_resample-delta,-0.100,0.019,0.193,0.059,0.037,0.006,0.037
adv-voting-all,0.806,0.837,0.244,0.139,0.388,0.941,0.001
adv-voting-group-0,0.768,0.822,0.306,0.193,0.437,0.914,0.676
adv-voting-group-1,0.884,0.802,0.113,0.027,0.109,0.984,0.324
adv-voting-delta,-0.116,0.020,0.193,0.167,0.329,-0.069,0.329
adv-voting-fair_reg-all,0.701,0.786,0.244,0.409,0.727,0.693,0.000
adv-voting-fair_reg-group-0,0.750,0.822,0.306,0.374,0.702,0.771,0.676
adv-voting-fair_reg-group-1,0.600,0.802,0.113,0.483,0.866,0.566,0.324
adv-voting-fair_reg-delta,0.150,0.020,0.193,-0.109,-0.164,0.205,0.205
adv-voting-fair_pp-all,0.785,0.797,0.244,0.105,0.273,0.950,0.058
adv-voting-fair_pp-group-0,0.750,0.821,0.306,0.103,0.259,0.966,0.676
adv-voting-fair_pp-group-1,0.858,0.796,0.113,0.109,0.351,0.922,0.324
adv-voting-fair_pp-delta,-0.108,0.025,0.193,-0.006,-0.092,0.044,0.092
adv-voting-fair_adv-all,0.803,0.827,0.244,0.135,0.372,0.942,0.029
adv-voting-fair_adv-group-0,0.767,0.821,0.306,0.164,0.388,0.934,0.676
adv-voting-fair_adv-group-1,0.877,0.803,0.113,0.073,0.281,0.954,0.324
adv-voting-fair_adv-delta,-0.111,0.019,0.193,0.091,0.106,-0.020,0.106
adv-voting-fair_resample-all,0.784,0.796,0.244,0.124,0.311,0.936,0.005
adv-voting-fair_resample-group-0,0.754,0.819,0.306,0.119,0.294,0.957,0.676
adv-voting-fair_resample-group-1,0.845,0.801,0.113,0.134,0.407,0.901,0.324
adv-voting-fair_resample-delta,-0.091,0.018,0.193,-0.014,-0.113,0.056,0.113
adv-TERM-all,0.754,0.672,0.244,0.066,0.129,0.955,0.000
adv-TERM-group-0,0.710,0.736,0.306,0.026,0.070,0.993,0.676
adv-TERM-group-1,0.845,0.765,0.113,0.148,0.465,0.893,0.324
adv-TERM-delta,-0.134,-0.030,0.193,-0.121,-0.395,0.100,0.395
adv-TERM-fair_pp-all,0.793,0.767,0.244,0.163,0.408,0.916,0.000
adv-TERM-fair_pp-group-0,0.756,0.749,0.306,0.204,0.435,0.898,0.676
adv-TERM-fair_pp-group-1,0.868,0.765,0.113,0.076,0.253,0.947,0.324
adv-TERM-fair_pp-delta,-0.112,-0.017,0.193,0.128,0.182,-0.048,0.182
adv-TERM-fair_resample-all,0.761,0.674,0.244,0.053,0.119,0.969,0.000
adv-TERM-fair_resample-group-0,0.713,0.738,0.306,0.028,0.078,0.994,0.676
adv-TERM-fair_resample-group-1,0.862,0.753,0.113,0.105,0.351,0.927,0.324
adv-TERM-fair_resample-delta,-0.148,-0.015,0.193,-0.077,-0.273,0.067,0.273
adv-DRO-fair_reg-all,0.772,0.728,0.244,0.067,0.171,0.966,0.000
adv-DRO-fair_reg-group-0,0.724,0.742,0.306,0.065,0.155,0.975,0.676
adv-DRO-fair_reg-group-1,0.874,0.747,0.113,0.071,0.259,0.953,0.324
adv-DRO-fair_reg-delta,-0.151,-0.005,0.193,-0.006,-0.104,0.022,0.104
