method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.100,-0.053,0.179,-0.002,-0.134,-0.038,0.134
adv-konstantinov-fair_resample-all,0.552,0.572,0.467,0.491,0.545,0.557,0.000
adv-konstantinov-fair_resample-group-0,0.515,0.546,0.549,0.495,0.509,0.522,0.541
adv-konstantinov-fair_resample-group-1,0.595,0.593,0.370,0.486,0.609,0.587,0.459
adv-konstantinov-fair_resample-delta,-0.081,-0.047,0.179,0.010,-0.100,-0.065,0.100
adv-selected-all,0.663,0.726,0.467,0.443,0.614,0.706,0.000
adv-selected-group-0,0.667,0.719,0.549,0.618,0.759,0.554,0.541
adv-selected-group-1,0.659,0.681,0.370,0.237,0.359,0.835,0.459
adv-selected-delta,0.008,0.038,0.179,0.381,0.400,-0.281,0.400
adv-selected-fair_reg-all,0.650,0.704,0.467,0.472,0.631,0.667,0.000
adv-selected-fair_reg-group-0,0.642,0.718,0.549,0.515,0.643,0.641,0.541
adv-selected-fair_reg-group-1,0.659,0.680,0.370,0.422,0.609,0.688,0.459
adv-selected-fair_reg-delta,-0.017,0.038,0.179,0.093,0.033,-0.047,0.047
adv-selected-fair_pp-all,0.647,0.704,0.467,0.347,0.494,0.781,0.333
adv-selected-fair_pp-group-0,0.623,0.719,0.549,0.368,0.491,0.783,0.541
adv-selected-fair_pp-group-1,0.676,0.681,0.370,0.324,0.500,0.780,0.459
adv-selected-fair_pp-delta,-0.054,0.038,0.179,0.044,-0.009,0.003,0.009
adv-selected-fair_adv-all,0.674,0.713,0.467,0.390,0.568,0.766,0.667
adv-selected-fair_adv-group-0,0.667,0.719,0.549,0.451,0.607,0.739,0.541
adv-selected-fair_adv-group-1,0.682,0.681,0.370,0.318,0.500,0.789,0.459
adv-selected-fair_adv-delta,-0.015,0.039,0.179,0.133,0.107,-0.050,0.107
adv-selected-fair_resample-all,0.642,0.701,0.467,0.369,0.511,0.756,0.000
adv-selected-fair_resample-group-0,0.627,0.703,0.549,0.412,0.536,0.739,0.541
adv-selected-fair_resample-group-1,0.659,0.671,0.370,0.318,0.469,0.771,0.459
adv-selected-fair_resample-delta,-0.032,0.032,0.179,0.094,0.067,-0.032,0.067
adv-voting-all,0.653,0.711,0.467,0.427,0.585,0.711,0.119
adv-voting-group-0,0.647,0.689,0.549,0.588,0.714,0.565,0.541
adv-voting-group-1,0.659,0.687,0.370,0.237,0.359,0.835,0.459
adv-voting-delta,-0.012,0.003,0.179,0.351,0.355,-0.270,0.355
adv-voting-fair_reg-all,0.647,0.689,0.467,0.491,0.648,0.647,0.119
adv-voting-fair_reg-group-0,0.652,0.706,0.549,0.525,0.661,0.641,0.541
adv-voting-fair_reg-group-1,0.642,0.670,0.370,0.451,0.625,0.651,0.459
adv-voting-fair_reg-delta,0.010,0.036,0.179,0.074,0.036,-0.010,0.036
adv-voting-fair_pp-all,0.618,0.699,0.467,0.308,0.420,0.791,0.146
adv-voting-fair_pp-group-0,0.583,0.711,0.549,0.309,0.402,0.804,0.541
adv-voting-fair_pp-group-1,0.659,0.688,0.370,0.306,0.453,0.780,0.459
adv-voting-fair_pp-delta,-0.076,0.024,0.179,0.002,-0.051,0.025,0.051
adv-voting-fair_adv-all,0.645,0.702,0.467,0.414,0.562,0.716,0.133
adv-voting-fair_adv-group-0,0.608,0.689,0.549,0.471,0.571,0.652,0.541
adv-voting-fair_adv-group-1,0.688,0.690,0.370,0.347,0.547,0.771,0.459
adv-voting-fair_adv-delta,-0.080,-0.002,0.179,0.124,0.025,-0.118,0.118
adv-voting-fair_resample-all,0.647,0.707,0.467,0.395,0.545,0.736,0.151
adv-voting-fair_resample-group-0,0.618,0.703,0.549,0.422,0.536,0.717,0.541
adv-voting-fair_resample-group-1,0.682,0.711,0.370,0.364,0.562,0.752,0.459
adv-voting-fair_resample-delta,-0.064,-0.009,0.179,0.057,-0.027,-0.035,0.035
adv-TERM-all,0.592,0.568,0.467,0.095,0.165,0.965,0.000
adv-TERM-group-0,0.515,0.557,0.549,0.113,0.161,0.946,0.541
adv-TERM-group-1,0.682,0.577,0.370,0.075,0.172,0.982,0.459
adv-TERM-delta,-0.167,-0.019,0.179,0.038,-0.011,-0.036,0.036
adv-TERM-fair_pp-all,0.592,0.565,0.467,0.095,0.165,0.965,0.000
adv-TERM-fair_pp-group-0,0.515,0.554,0.549,0.113,0.161,0.946,0.541
adv-TERM-fair_pp-group-1,0.682,0.577,0.370,0.075,0.172,0.982,0.459
adv-TERM-fair_pp-delta,-0.167,-0.023,0.179,0.038,-0.011,-0.036,0.036
adv-TERM-fair_resample-all,0.610,0.584,0.467,0.093,0.182,0.985,0.000
adv-TERM-fair_resample-group-0,0.539,0.578,0.549,0.118,0.188,0.967,0.541
adv-TERM-fair_resample-group-1,0.694,0.586,0.370,0.064,0.172,1.000,0.459
adv-TERM-fair_resample-delta,-0.154,-0.008,0.179,0.054,0.016,-0.033,0.033
adv-DRO-fair_reg-all,0.592,0.629,0.467,0.286,0.369,0.786,0.000
adv-DRO-fair_reg-group-0,0.520,0.602,0.549,0.284,0.321,0.761,0.541
adv-DRO-fair_reg-group-1,0.676,0.669,0.370,0.289,0.453,0.807,0.459
adv-DRO-fair_reg-delta,-0.157,-0.067,0.179,-0.005,-0.132,-0.046,0.132
