method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.048,-0.003,0.161,0.137,0.073,-0.052,0.073
adv-konstantinov-fair_resample-all,0.777,0.849,0.351,0.302,0.613,0.866,0.000
adv-konstantinov-fair_resample-group-0,0.754,0.847,0.428,0.337,0.607,0.865,0.523
adv-konstantinov-fair_resample-group-1,0.803,0.852,0.267,0.263,0.624,0.868,0.477
adv-konstantinov-fair_resample-delta,-0.048,-0.005,0.161,0.074,-0.017,-0.003,0.017
adv-selected-all,0.784,0.857,0.351,0.302,0.623,0.872,0.385
adv-selected-group-0,0.762,0.848,0.428,0.404,0.693,0.813,0.523
adv-selected-group-1,0.809,0.851,0.267,0.190,0.498,0.922,0.477
adv-selected-delta,-0.048,-0.003,0.161,0.214,0.195,-0.110,0.195
adv-selected-fair_reg-all,0.753,0.840,0.351,0.430,0.762,0.749,0.385
adv-selected-fair_reg-group-0,0.763,0.848,0.428,0.432,0.728,0.790,0.523
adv-selected-fair_reg-group-1,0.743,0.851,0.267,0.429,0.822,0.714,0.477
adv-selected-fair_reg-delta,0.020,-0.003,0.161,0.003,-0.094,0.076,0.094
adv-selected-fair_pp-all,0.771,0.840,0.351,0.299,0.600,0.864,0.500
adv-selected-fair_pp-group-0,0.748,0.848,0.428,0.302,0.558,0.889,0.523
adv-selected-fair_pp-group-1,0.797,0.851,0.267,0.296,0.674,0.842,0.477
adv-selected-fair_pp-delta,-0.049,-0.003,0.161,0.007,-0.115,0.047,0.115
adv-selected-fair_adv-all,0.782,0.854,0.351,0.299,0.615,0.873,0.346
adv-selected-fair_adv-group-0,0.758,0.848,0.428,0.366,0.645,0.843,0.523
adv-selected-fair_adv-group-1,0.809,0.850,0.267,0.225,0.564,0.898,0.477
adv-selected-fair_adv-delta,-0.051,-0.002,0.161,0.140,0.081,-0.055,0.081
adv-selected-fair_resample-all,0.778,0.849,0.351,0.298,0.607,0.870,0.000
adv-selected-fair_resample-group-0,0.753,0.848,0.428,0.336,0.603,0.865,0.523
