method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.792,0.862,0.352,0.311,0.646,0.871,0.000
original-group-0,0.771,0.854,0.427,0.410,0.712,0.815,0.523
original-group-1,0.815,0.855,0.270,0.203,0.533,0.919,0.477
original-delta,-0.044,-0.001,0.157,0.207,0.178,-0.104,0.178
original-fair_reg-all,0.753,0.844,0.352,0.444,0.780,0.739,0.000
original-fair_reg-group-0,0.770,0.854,0.427,0.442,0.748,0.787,0.523
original-fair_reg-group-1,0.735,0.855,0.270,0.446,0.836,0.698,0.477
original-fair_reg-delta,0.035,-0.001,0.157,-0.005,-0.089,0.089,0.089
original-fair_pp-all,0.774,0.845,0.352,0.300,0.605,0.866,0.000
original-fair_pp-group-0,0.752,0.854,0.427,0.297,0.557,0.897,0.523
original-fair_pp-group-1,0.798,0.855,0.270,0.303,0.688,0.839,0.477
original-fair_pp-delta,-0.047,-0.001,0.157,-0.006,-0.131,0.058,0.131
original-fair_adv-all,0.789,0.859,0.352,0.308,0.638,0.871,0.000
original-fair_adv-group-0,0.767,0.855,0.427,0.371,0.661,0.845,0.523
original-fair_adv-group-1,0.814,0.855,0.270,0.240,0.599,0.893,0.477
original-fair_adv-delta,-0.047,-0.000,0.157,0.131,0.062,-0.048,0.062
original-fair_resample-all,0.783,0.854,0.352,0.306,0.626,0.869,0.000
original-fair_resample-group-0,0.761,0.854,0.427,0.341,0.619,0.867,0.523
original-fair_resample-group-1,0.808,0.855,0.270,0.267,0.639,0.870,0.477
original-fair_resample-delta,-0.047,-0.001,0.157,0.073,-0.021,-0.003,0.021
adv-clean-all,0.791,0.862,0.352,0.307,0.639,0.874,0.000
adv-clean-group-0,0.770,0.854,0.427,0.406,0.706,0.818,0.523
adv-clean-group-1,0.815,0.855,0.270,0.198,0.523,0.922,0.477
adv-clean-delta,-0.045,-0.001,0.157,0.208,0.182,-0.104,0.182
adv-clean-fair_reg-all,0.753,0.845,0.352,0.446,0.782,0.737,0.000
adv-clean-fair_reg-group-0,0.770,0.854,0.427,0.444,0.751,0.784,0.523
adv-clean-fair_reg-group-1,0.734,0.855,0.270,0.447,0.835,0.696,0.477
adv-clean-fair_reg-delta,0.036,-0.001,0.157,-0.003,-0.084,0.088,0.088
adv-clean-fair_pp-all,0.775,0.845,0.352,0.304,0.613,0.863,0.000
adv-clean-fair_pp-group-0,0.754,0.854,0.427,0.302,0.566,0.894,0.523
adv-clean-fair_pp-group-1,0.798,0.855,0.270,0.307,0.694,0.836,0.477
adv-clean-fair_pp-delta,-0.044,-0.001,0.157,-0.005,-0.128,0.058,0.128
adv-clean-fair_adv-all,0.789,0.859,0.352,0.302,0.630,0.875,0.000
adv-clean-fair_adv-group-0,0.766,0.855,0.427,0.365,0.653,0.850,0.523
adv-clean-fair_adv-group-1,0.814,0.855,0.270,0.234,0.589,0.897,0.477
adv-clean-fair_adv-delta,-0.048,0.000,0.157,0.131,0.064,-0.047,0.064
adv-clean-fair_resample-all,0.783,0.854,0.352,0.303,0.622,0.871,0.000
adv-clean-fair_resample-group-0,0.761,0.854,0.427,0.337,0.614,0.870,0.523
adv-clean-fair_resample-group-1,0.808,0.855,0.270,0.265,0.636,0.871,0.477
adv-clean-fair_resample-delta,-0.047,-0.001,0.157,0.071,-0.022,-0.001,0.022
adv-all-all,0.766,0.830,0.352,0.296,0.587,0.863,0.000
adv-all-group-0,0.744,0.851,0.427,0.271,0.518,0.913,0.523
adv-all-group-1,0.789,0.850,0.270,0.323,0.709,0.819,0.477
adv-all-delta,-0.045,0.001,0.157,-0.053,-0.191,0.094,0.191
adv-all-fair_reg-all,0.757,0.852,0.352,0.462,0.810,0.728,0.000
adv-all-fair_reg-group-0,0.760,0.850,0.427,0.513,0.820,0.716,0.523
adv-all-fair_reg-group-1,0.753,0.850,0.270,0.405,0.793,0.738,0.477
adv-all-fair_reg-delta,0.007,0.000,0.157,0.108,0.027,-0.022,0.027
adv-all-fair_pp-all,0.783,0.852,0.352,0.301,0.619,0.872,0.000
adv-all-fair_pp-group-0,0.761,0.851,0.427,0.344,0.622,0.864,0.523
adv-all-fair_pp-group-1,0.807,0.850,0.270,0.254,0.613,0.879,0.477
adv-all-fair_pp-delta,-0.046,0.001,0.157,0.090,0.010,-0.015,0.015
adv-all-fair_adv-all,0.780,0.848,0.352,0.294,0.604,0.875,0.000
adv-all-fair_adv-group-0,0.757,0.851,0.427,0.319,0.589,0.882,0.523
adv-all-fair_adv-group-1,0.805,0.850,0.270,0.266,0.631,0.869,0.477
adv-all-fair_adv-delta,-0.048,0.001,0.157,0.053,-0.042,0.013,0.042
adv-all-fair_resample-all,0.781,0.849,0.352,0.294,0.605,0.876,0.000
adv-all-fair_resample-group-0,0.758,0.850,0.427,0.326,0.597,0.877,0.523
adv-all-fair_resample-group-1,0.806,0.849,0.270,0.259,0.619,0.875,0.477
adv-all-fair_resample-delta,-0.048,0.001,0.157,0.067,-0.022,0.002,0.022
adv-konstantinov-all,0.766,0.830,0.352,0.296,0.587,0.863,0.392
adv-konstantinov-group-0,0.744,0.851,0.427,0.271,0.518,0.913,0.523
adv-konstantinov-group-1,0.789,0.850,0.270,0.323,0.709,0.819,0.477
adv-konstantinov-delta,-0.045,0.001,0.157,-0.053,-0.191,0.094,0.191
adv-konstantinov-fair_reg-all,0.757,0.852,0.352,0.462,0.810,0.728,0.000
adv-konstantinov-fair_reg-group-0,0.760,0.850,0.427,0.513,0.820,0.716,0.523
adv-konstantinov-fair_reg-group-1,0.753,0.850,0.270,0.405,0.793,0.738,0.477
adv-konstantinov-fair_reg-delta,0.007,0.000,0.157,0.108,0.027,-0.022,0.027
adv-konstantinov-fair_pp-all,0.783,0.852,0.352,0.301,0.619,0.872,0.000
adv-konstantinov-fair_pp-group-0,0.761,0.851,0.427,0.344,0.622,0.864,0.523
adv-konstantinov-fair_pp-group-1,0.807,0.850,0.270,0.254,0.613,0.879,0.477
adv-konstantinov-fair_pp-delta,-0.046,0.001,0.157,0.090,0.010,-0.015,0.015
adv-konstantinov-fair_adv-all,0.780,0.848,0.352,0.294,0.604,0.875,0.000
adv-konstantinov-fair_adv-group-0,0.757,0.851,0.427,0.319,0.589,0.882,0.523
adv-konstantinov-fair_adv-group-1,0.805,0.850,0.270,0.266,0.631,0.869,0.477
adv-konstantinov-fair_adv-delta,-0.048,0.001,0.157,0.053,-0.042,0.013,0.042
adv-konstantinov-fair_resample-all,0.780,0.849,0.352,0.295,0.606,0.875,0.000
adv-konstantinov-fair_resample-group-0,0.757,0.851,0.427,0.328,0.600,0.875,0.523
adv-konstantinov-fair_resample-group-1,0.805,0.850,0.270,0.258,0.618,0.875,0.477
adv-konstantinov-fair_resample-delta,-0.048,0.001,0.157,0.070,-0.018,-0.000,0.018
adv-selected-all,0.791,0.861,0.352,0.310,0.643,0.871,0.038
adv-selected-group-0,0.770,0.854,0.427,0.406,0.707,0.818,0.523
adv-selected-group-1,0.814,0.855,0.270,0.204,0.534,0.918,0.477
adv-selected-delta,-0.044,-0.000,0.157,0.202,0.173,-0.100,0.173
adv-selected-fair_reg-all,0.754,0.844,0.352,0.442,0.778,0.741,0.115
adv-selected-fair_reg-group-0,0.770,0.854,0.427,0.440,0.746,0.788,0.523
adv-selected-fair_reg-group-1,0.736,0.855,0.270,0.444,0.834,0.700,0.477
adv-selected-fair_reg-delta,0.034,-0.001,0.157,-0.004,-0.088,0.088,0.088
adv-selected-fair_pp-all,0.774,0.845,0.352,0.301,0.607,0.865,0.192
adv-selected-fair_pp-group-0,0.752,0.854,0.427,0.298,0.559,0.896,0.523
adv-selected-fair_pp-group-1,0.799,0.855,0.270,0.303,0.689,0.839,0.477
adv-selected-fair_pp-delta,-0.047,-0.000,0.157,-0.005,-0.130,0.057,0.130
adv-selected-fair_adv-all,0.789,0.858,0.352,0.308,0.637,0.871,0.154
adv-selected-fair_adv-group-0,0.766,0.854,0.427,0.370,0.659,0.845,0.523
adv-selected-fair_adv-group-1,0.814,0.854,0.270,0.239,0.598,0.893,0.477
adv-selected-fair_adv-delta,-0.048,0.000,0.157,0.131,0.061,-0.048,0.061
adv-selected-fair_resample-all,0.783,0.853,0.352,0.308,0.629,0.866,0.000
adv-selected-fair_resample-group-0,0.759,0.853,0.427,0.342,0.619,0.864,0.523
adv-selected-fair_resample-group-1,0.808,0.855,0.270,0.271,0.647,0.868,0.477
adv-selected-fair_resample-delta,-0.049,-0.001,0.157,0.071,-0.028,-0.003,0.028
adv-voting-all,0.784,0.855,0.352,0.309,0.632,0.867,0.189
adv-voting-group-0,0.763,0.853,0.427,0.355,0.638,0.857,0.523
adv-voting-group-1,0.807,0.852,0.270,0.258,0.621,0.876,0.477
adv-voting-delta,-0.044,0.001,0.157,0.096,0.017,-0.019,0.019
adv-voting-fair_reg-all,0.745,0.838,0.352,0.446,0.771,0.730,0.135
adv-voting-fair_reg-group-0,0.770,0.854,0.427,0.421,0.723,0.805,0.523
adv-voting-fair_reg-group-1,0.717,0.854,0.270,0.474,0.854,0.666,0.477
adv-voting-fair_reg-delta,0.053,0.000,0.157,-0.053,-0.130,0.139,0.139
adv-voting-fair_pp-all,0.775,0.846,0.352,0.261,0.550,0.896,0.208
adv-voting-fair_pp-group-0,0.743,0.854,0.427,0.269,0.515,0.914,0.523
adv-voting-fair_pp-group-1,0.809,0.853,0.270,0.252,0.612,0.881,0.477
adv-voting-fair_pp-delta,-0.066,0.001,0.157,0.018,-0.098,0.032,0.098
adv-voting-fair_adv-all,0.779,0.850,0.352,0.308,0.624,0.863,0.214
adv-voting-fair_adv-group-0,0.759,0.854,0.427,0.325,0.598,0.879,0.523
adv-voting-fair_adv-group-1,0.801,0.853,0.270,0.291,0.670,0.850,0.477
adv-voting-fair_adv-delta,-0.043,0.002,0.157,0.034,-0.073,0.029,0.073
adv-voting-fair_resample-all,0.772,0.842,0.352,0.303,0.607,0.862,0.207
adv-voting-fair_resample-group-0,0.751,0.852,0.427,0.293,0.552,0.900,0.523
adv-voting-fair_resample-group-1,0.794,0.854,0.270,0.314,0.701,0.829,0.477
adv-voting-fair_resample-delta,-0.043,-0.002,0.157,-0.021,-0.149,0.071,0.149
adv-TERM-all,0.747,0.818,0.352,0.164,0.374,0.950,0.000
adv-TERM-group-0,0.689,0.835,0.427,0.148,0.309,0.973,0.523
adv-TERM-group-1,0.810,0.837,0.270,0.182,0.486,0.930,0.477
adv-TERM-delta,-0.121,-0.001,0.157,-0.035,-0.177,0.043,0.177
adv-TERM-fair_pp-all,0.779,0.838,0.352,0.272,0.572,0.891,0.000
adv-TERM-fair_pp-group-0,0.752,0.836,0.427,0.309,0.571,0.886,0.523
adv-TERM-fair_pp-group-1,0.809,0.837,0.270,0.231,0.574,0.895,0.477
adv-TERM-fair_pp-delta,-0.057,-0.001,0.157,0.078,-0.003,-0.009,0.009
adv-TERM-fair_resample-all,0.747,0.814,0.352,0.166,0.377,0.949,0.000
