method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.046,-0.003,0.161,0.028,-0.085,0.032,0.085
adv-konstantinov-fair_resample-all,0.773,0.842,0.351,0.310,0.618,0.857,0.000
adv-konstantinov-fair_resample-group-0,0.751,0.845,0.428,0.330,0.595,0.868,0.523
adv-konstantinov-fair_resample-group-1,0.797,0.848,0.267,0.288,0.659,0.847,0.477
adv-konstantinov-fair_resample-delta,-0.046,-0.003,0.161,0.043,-0.064,0.020,0.064
adv-selected-all,0.784,0.857,0.351,0.314,0.640,0.863,0.000
adv-selected-group-0,0.762,0.848,0.428,0.418,0.710,0.800,0.523
adv-selected-group-1,0.809,0.851,0.267,0.199,0.515,0.916,0.477
adv-selected-delta,-0.047,-0.003,0.161,0.219,0.195,-0.116,0.195
adv-selected-fair_reg-all,0.750,0.839,0.351,0.436,0.765,0.742,0.077
adv-selected-fair_reg-group-0,0.762,0.848,0.428,0.434,0.730,0.787,0.523
adv-selected-fair_reg-group-1,0.736,0.851,0.267,0.438,0.828,0.703,0.477
adv-selected-fair_reg-delta,0.026,-0.003,0.161,-0.004,-0.098,0.084,0.098
adv-selected-fair_pp-all,0.770,0.840,0.351,0.308,0.611,0.856,0.154
adv-selected-fair_pp-group-0,0.749,0.848,0.428,0.309,0.568,0.884,0.523
adv-selected-fair_pp-group-1,0.793,0.851,0.267,0.306,0.687,0.832,0.477
adv-selected-fair_pp-delta,-0.045,-0.003,0.161,0.003,-0.119,0.052,0.119
adv-selected-fair_adv-all,0.783,0.854,0.351,0.311,0.633,0.864,0.192
adv-selected-fair_adv-group-0,0.761,0.848,0.428,0.378,0.662,0.834,0.523
adv-selected-fair_adv-group-1,0.807,0.851,0.267,0.236,0.581,0.889,0.477
adv-selected-fair_adv-delta,-0.046,-0.003,0.161,0.142,0.082,-0.055,0.082
adv-selected-fair_resample-all,0.778,0.849,0.351,0.308,0.621,0.862,0.000
adv-selected-fair_resample-group-0,0.755,0.847,0.428,0.344,0.616,0.859,0.523
adv-selected-fair_resample-group-1,0.803,0.852,0.267,0.268,0.632,0.865,0.477
adv-selected-fair_resample-delta,-0.048,-0.005,0.161,0.077,-0.016,-0.006,0.016
adv-voting-all,0.784,0.854,0.351,0.305,0.628,0.869,0.104
adv-voting-group-0,0.762,0.848,0.428,0.379,0.666,0.835,0.523
adv-voting-group-1,0.809,0.850,0.267,0.224,0.561,0.899,0.477
adv-voting-delta,-0.047,-0.003,0.161,0.156,0.104,-0.064,0.104
