method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.659,0.704,0.451,0.371,0.533,0.763,0.000
adv-konstantinov-fair_resample-group-0,0.659,0.710,0.488,0.383,0.544,0.769,0.815
adv-konstantinov-fair_resample-group-1,0.658,0.656,0.289,0.316,0.455,0.741,0.185
adv-konstantinov-fair_resample-delta,0.001,0.054,0.198,0.068,0.089,0.029,0.089
adv-selected-all,0.668,0.706,0.451,0.362,0.533,0.779,0.000
adv-selected-group-0,0.656,0.702,0.488,0.408,0.566,0.742,0.815
adv-selected-group-1,0.719,0.649,0.289,0.158,0.288,0.895,0.185
adv-selected-delta,-0.063,0.052,0.198,0.250,0.278,-0.153,0.278
adv-selected-fair_reg-all,0.656,0.690,0.451,0.453,0.621,0.684,0.000
adv-selected-fair_reg-group-0,0.666,0.702,0.488,0.458,0.627,0.703,0.815
adv-selected-fair_reg-group-1,0.610,0.649,0.289,0.434,0.576,0.623,0.185
adv-selected-fair_reg-delta,0.057,0.053,0.198,0.024,0.052,0.080,0.080
adv-selected-fair_pp-all,0.641,0.686,0.451,0.394,0.539,0.726,0.000
adv-selected-fair_pp-group-0,0.648,0.702,0.488,0.388,0.538,0.754,0.815
adv-selected-fair_pp-group-1,0.610,0.649,0.289,0.417,0.545,0.636,0.185
adv-selected-fair_pp-delta,0.039,0.052,0.198,-0.028,-0.008,0.118,0.118
adv-selected-fair_adv-all,0.652,0.699,0.451,0.364,0.517,0.763,0.000
adv-selected-fair_adv-group-0,0.646,0.701,0.488,0.386,0.534,0.754,0.815
adv-selected-fair_adv-group-1,0.675,0.648,0.289,0.263,0.394,0.790,0.185
adv-selected-fair_adv-delta,-0.029,0.053,0.198,0.123,0.140,-0.036,0.140
adv-selected-fair_resample-all,0.645,0.689,0.451,0.385,0.533,0.736,0.000
adv-selected-fair_resample-group-0,0.648,0.700,0.488,0.388,0.538,0.754,0.815
adv-selected-fair_resample-group-1,0.627,0.657,0.289,0.373,0.500,0.679,0.185
adv-selected-fair_resample-delta,0.021,0.043,0.198,0.015,0.038,0.075,0.075
adv-voting-all,0.640,0.693,0.451,0.328,0.465,0.785,0.000
adv-voting-group-0,0.634,0.700,0.488,0.338,0.470,0.789,0.815
adv-voting-group-1,0.671,0.651,0.289,0.285,0.424,0.772,0.185
adv-voting-delta,-0.037,0.049,0.198,0.053,0.046,0.017,0.046
adv-voting-fair_reg-all,0.641,0.673,0.451,0.423,0.571,0.699,0.000
adv-voting-fair_reg-group-0,0.658,0.702,0.488,0.400,0.560,0.752,0.815
adv-voting-fair_reg-group-1,0.566,0.653,0.289,0.522,0.652,0.531,0.185
adv-voting-fair_reg-delta,0.093,0.049,0.198,-0.122,-0.091,0.221,0.221
adv-voting-fair_pp-all,0.645,0.688,0.451,0.371,0.517,0.749,0.007
adv-voting-fair_pp-group-0,0.650,0.702,0.488,0.372,0.523,0.771,0.815
adv-voting-fair_pp-group-1,0.618,0.646,0.289,0.364,0.470,0.679,0.185
adv-voting-fair_pp-delta,0.032,0.056,0.198,0.008,0.054,0.092,0.092
adv-voting-fair_adv-all,0.626,0.682,0.451,0.330,0.451,0.770,0.001
adv-voting-fair_adv-group-0,0.628,0.698,0.488,0.320,0.446,0.800,0.815
