method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.066,-0.011,0.156,0.084,0.011,-0.019,0.019
adv-konstantinov-fair_resample-all,0.771,0.838,0.351,0.246,0.525,0.904,0.000
adv-konstantinov-fair_resample-group-0,0.737,0.834,0.426,0.278,0.517,0.901,0.517
adv-konstantinov-fair_resample-group-1,0.808,0.845,0.270,0.213,0.538,0.908,0.483
adv-konstantinov-fair_resample-delta,-0.071,-0.011,0.156,0.065,-0.021,-0.007,0.021
adv-selected-all,0.791,0.862,0.351,0.301,0.630,0.877,0.000
adv-selected-group-0,0.767,0.852,0.426,0.398,0.694,0.822,0.517
adv-selected-group-1,0.816,0.859,0.270,0.196,0.523,0.924,0.483
adv-selected-delta,-0.048,-0.007,0.156,0.202,0.172,-0.103,0.172
adv-selected-fair_reg-all,0.759,0.846,0.351,0.431,0.770,0.753,0.000
adv-selected-fair_reg-group-0,0.769,0.852,0.426,0.432,0.735,0.794,0.517
adv-selected-fair_reg-group-1,0.748,0.859,0.270,0.430,0.829,0.718,0.483
adv-selected-fair_reg-delta,0.021,-0.007,0.156,0.002,-0.094,0.076,0.094
adv-selected-fair_pp-all,0.776,0.846,0.351,0.286,0.588,0.878,0.000
adv-selected-fair_pp-group-0,0.747,0.852,0.426,0.285,0.538,0.903,0.517
adv-selected-fair_pp-group-1,0.807,0.859,0.270,0.287,0.674,0.857,0.483
adv-selected-fair_pp-delta,-0.060,-0.007,0.156,-0.002,-0.136,0.046,0.136
adv-selected-fair_adv-all,0.789,0.859,0.351,0.298,0.623,0.878,0.000
adv-selected-fair_adv-group-0,0.763,0.852,0.426,0.361,0.645,0.851,0.517
adv-selected-fair_adv-group-1,0.816,0.858,0.270,0.231,0.587,0.901,0.483
adv-selected-fair_adv-delta,-0.053,-0.006,0.156,0.130,0.058,-0.050,0.058
adv-selected-fair_resample-all,0.784,0.855,0.351,0.296,0.614,0.877,0.000
adv-selected-fair_resample-group-0,0.758,0.851,0.426,0.331,0.605,0.873,0.517
adv-selected-fair_resample-group-1,0.812,0.860,0.270,0.258,0.629,0.880,0.483
adv-selected-fair_resample-delta,-0.054,-0.008,0.156,0.073,-0.024,-0.007,0.024
adv-voting-all,0.786,0.860,0.351,0.299,0.621,0.876,0.055
adv-voting-group-0,0.768,0.851,0.426,0.440,0.744,0.786,0.517
adv-voting-group-1,0.806,0.858,0.270,0.148,0.414,0.951,0.483
adv-voting-delta,-0.038,-0.006,0.156,0.293,0.330,-0.166,0.330
adv-voting-fair_reg-all,0.750,0.842,0.351,0.428,0.754,0.748,0.048
adv-voting-fair_reg-group-0,0.767,0.852,0.426,0.401,0.697,0.819,0.517
adv-voting-fair_reg-group-1,0.732,0.858,0.270,0.458,0.850,0.688,0.483
adv-voting-fair_reg-delta,0.035,-0.006,0.156,-0.057,-0.153,0.131,0.153
adv-voting-fair_pp-all,0.768,0.843,0.351,0.275,0.561,0.880,0.061
adv-voting-fair_pp-group-0,0.736,0.852,0.426,0.252,0.486,0.922,0.517
adv-voting-fair_pp-group-1,0.803,0.859,0.270,0.299,0.689,0.845,0.483
adv-voting-fair_pp-delta,-0.067,-0.007,0.156,-0.047,-0.203,0.076,0.203
adv-voting-fair_adv-all,0.788,0.859,0.351,0.283,0.600,0.889,0.056
adv-voting-fair_adv-group-0,0.764,0.852,0.426,0.372,0.659,0.842,0.517
adv-voting-fair_adv-group-1,0.813,0.857,0.270,0.188,0.501,0.929,0.483
adv-voting-fair_adv-delta,-0.049,-0.005,0.156,0.184,0.158,-0.087,0.158
adv-voting-fair_resample-all,0.784,0.855,0.351,0.282,0.594,0.887,0.068
adv-voting-fair_resample-group-0,0.756,0.850,0.426,0.328,0.599,0.873,0.517
adv-voting-fair_resample-group-1,0.813,0.858,0.270,0.233,0.585,0.898,0.483
adv-voting-fair_resample-delta,-0.057,-0.008,0.156,0.095,0.014,-0.024,0.024
adv-TERM-all,0.720,0.738,0.351,0.130,0.286,0.955,0.000
adv-TERM-group-0,0.711,0.804,0.426,0.251,0.455,0.901,0.517
adv-TERM-group-1,0.730,0.702,0.270,0.000,0.000,1.000,0.483
adv-TERM-delta,-0.018,0.102,0.156,0.251,0.455,-0.099,0.455
adv-TERM-fair_pp-all,0.707,0.751,0.351,0.241,0.426,0.859,0.000
adv-TERM-fair_pp-group-0,0.709,0.804,0.426,0.242,0.442,0.907,0.517
adv-TERM-fair_pp-group-1,0.705,0.702,0.270,0.240,0.400,0.819,0.483
adv-TERM-fair_pp-delta,0.004,0.102,0.156,0.001,0.042,0.089,0.089
adv-TERM-fair_resample-all,0.717,0.821,0.351,0.090,0.225,0.983,0.000
adv-TERM-fair_resample-group-0,0.667,0.826,0.426,0.117,0.247,0.979,0.517
adv-TERM-fair_resample-group-1,0.771,0.824,0.270,0.061,0.189,0.987,0.483
adv-TERM-fair_resample-delta,-0.104,0.002,0.156,0.056,0.058,-0.007,0.058
adv-DRO-fair_reg-all,0.677,0.808,0.351,0.036,0.091,0.994,0.000
adv-DRO-fair_reg-group-0,0.627,0.804,0.426,0.069,0.144,0.986,0.517
adv-DRO-fair_reg-group-1,0.730,0.788,0.270,0.000,0.000,1.000,0.483
adv-DRO-fair_reg-delta,-0.102,0.016,0.156,0.069,0.144,-0.014,0.144
