method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.626,0.696,0.451,0.179,0.284,0.907,0.000
adv-konstantinov-fair_resample-group-0,0.602,0.707,0.488,0.193,0.289,0.899,0.815
adv-konstantinov-fair_resample-group-1,0.732,0.653,0.289,0.118,0.242,0.932,0.185
adv-konstantinov-fair_resample-delta,-0.131,0.054,0.198,0.074,0.047,-0.033,0.047
adv-selected-all,0.668,0.706,0.451,0.362,0.533,0.779,0.000
adv-selected-group-0,0.656,0.702,0.488,0.408,0.566,0.742,0.815
adv-selected-group-1,0.719,0.649,0.289,0.158,0.288,0.895,0.185
adv-selected-delta,-0.063,0.052,0.198,0.250,0.278,-0.153,0.278
adv-selected-fair_reg-all,0.656,0.690,0.451,0.453,0.621,0.684,0.000
adv-selected-fair_reg-group-0,0.666,0.702,0.488,0.458,0.627,0.703,0.815
adv-selected-fair_reg-group-1,0.610,0.649,0.289,0.434,0.576,0.623,0.185
adv-selected-fair_reg-delta,0.057,0.053,0.198,0.024,0.052,0.080,0.080
adv-selected-fair_pp-all,0.641,0.686,0.451,0.394,0.539,0.726,0.000
adv-selected-fair_pp-group-0,0.648,0.702,0.488,0.388,0.538,0.754,0.815
adv-selected-fair_pp-group-1,0.610,0.649,0.289,0.417,0.545,0.636,0.185
adv-selected-fair_pp-delta,0.039,0.052,0.198,-0.028,-0.008,0.118,0.118
adv-selected-fair_adv-all,0.652,0.699,0.451,0.364,0.517,0.763,0.333
adv-selected-fair_adv-group-0,0.646,0.701,0.488,0.386,0.534,0.754,0.815
adv-selected-fair_adv-group-1,0.675,0.648,0.289,0.263,0.394,0.790,0.185
adv-selected-fair_adv-delta,-0.029,0.053,0.198,0.123,0.140,-0.036,0.140
adv-selected-fair_resample-all,0.641,0.687,0.451,0.374,0.517,0.743,0.000
adv-selected-fair_resample-group-0,0.643,0.696,0.488,0.380,0.523,0.756,0.815
adv-selected-fair_resample-group-1,0.636,0.662,0.289,0.346,0.470,0.704,0.185
adv-selected-fair_resample-delta,0.007,0.034,0.198,0.034,0.054,0.052,0.054
adv-voting-all,0.640,0.693,0.451,0.328,0.465,0.785,0.000
adv-voting-group-0,0.634,0.700,0.488,0.338,0.470,0.789,0.815
adv-voting-group-1,0.671,0.651,0.289,0.285,0.424,0.772,0.185
adv-voting-delta,-0.037,0.049,0.198,0.053,0.046,0.017,0.046
adv-voting-fair_reg-all,0.641,0.673,0.451,0.423,0.571,0.699,0.000
adv-voting-fair_reg-group-0,0.658,0.702,0.488,0.400,0.560,0.752,0.815
adv-voting-fair_reg-group-1,0.566,0.653,0.289,0.522,0.652,0.531,0.185
adv-voting-fair_reg-delta,0.093,0.049,0.198,-0.122,-0.091,0.221,0.221
adv-voting-fair_pp-all,0.645,0.686,0.451,0.371,0.517,0.749,0.049
adv-voting-fair_pp-group-0,0.650,0.699,0.488,0.372,0.523,0.771,0.815
adv-voting-fair_pp-group-1,0.618,0.642,0.289,0.364,0.470,0.679,0.185
adv-voting-fair_pp-delta,0.032,0.057,0.198,0.008,0.054,0.092,0.092
adv-voting-fair_adv-all,0.626,0.682,0.451,0.330,0.451,0.770,0.000
adv-voting-fair_adv-group-0,0.628,0.698,0.488,0.320,0.446,0.800,0.815
adv-voting-fair_adv-group-1,0.618,0.649,0.289,0.373,0.485,0.673,0.185
adv-voting-fair_adv-delta,0.009,0.049,0.198,-0.053,-0.039,0.128,0.128
adv-voting-fair_resample-all,0.619,0.656,0.451,0.311,0.422,0.780,0.000
adv-voting-fair_resample-group-0,0.621,0.688,0.488,0.287,0.405,0.826,0.815
adv-voting-fair_resample-group-1,0.610,0.641,0.289,0.417,0.545,0.636,0.185
adv-voting-fair_resample-delta,0.011,0.047,0.198,-0.130,-0.140,0.190,0.190
adv-TERM-all,0.549,0.339,0.451,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.512,0.351,0.488,0.000,0.000,1.000,0.815
adv-TERM-group-1,0.711,0.341,0.289,0.000,0.000,1.000,0.185
adv-TERM-delta,-0.198,0.009,0.198,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.528,0.340,0.451,0.032,0.013,0.951,0.000
adv-TERM-fair_pp-group-0,0.493,0.347,0.488,0.032,0.012,0.950,0.815
adv-TERM-fair_pp-group-1,0.684,0.340,0.289,0.035,0.015,0.957,0.185
adv-TERM-fair_pp-delta,-0.192,0.007,0.198,-0.003,-0.003,-0.007,0.007
adv-TERM-fair_resample-all,0.549,0.343,0.451,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.512,0.352,0.488,0.000,0.000,1.000,0.815
adv-TERM-fair_resample-group-1,0.711,0.343,0.289,0.000,0.000,1.000,0.185
adv-TERM-fair_resample-delta,-0.198,0.009,0.198,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.591,0.657,0.451,0.105,0.163,0.942,0.000
adv-DRO-fair_reg-group-0,0.565,0.679,0.488,0.094,0.151,0.959,0.815
adv-DRO-fair_reg-group-1,0.706,0.605,0.289,0.154,0.258,0.889,0.185
adv-DRO-fair_reg-delta,-0.141,0.074,0.198,-0.059,-0.107,0.070,0.107
