method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.090,-0.102,0.151,-0.230,-0.275,0.265,0.275
adv-konstantinov-fair_resample-all,0.625,0.664,0.755,0.580,0.636,0.592,0.000
adv-konstantinov-fair_resample-group-0,0.638,0.648,0.808,0.585,0.638,0.640,0.650
adv-konstantinov-fair_resample-group-1,0.600,0.688,0.657,0.571,0.630,0.542,0.350
adv-konstantinov-fair_resample-delta,0.038,-0.041,0.151,0.013,0.008,0.098,0.098
adv-selected-all,0.800,0.794,0.755,0.825,0.914,0.449,0.000
adv-selected-group-0,0.800,0.745,0.808,0.885,0.924,0.280,0.650
adv-selected-group-1,0.800,0.850,0.657,0.714,0.891,0.625,0.350
adv-selected-delta,0.000,-0.104,0.151,0.170,0.033,-0.345,0.345
adv-selected-fair_reg-all,0.715,0.788,0.755,0.630,0.728,0.673,0.000
adv-selected-fair_reg-group-0,0.723,0.744,0.808,0.685,0.752,0.600,0.650
adv-selected-fair_reg-group-1,0.700,0.841,0.657,0.529,0.674,0.750,0.350
adv-selected-fair_reg-delta,0.023,-0.098,0.151,0.156,0.078,-0.150,0.150
adv-selected-fair_pp-all,0.800,0.792,0.755,0.835,0.921,0.429,0.333
adv-selected-fair_pp-group-0,0.808,0.745,0.808,0.877,0.924,0.320,0.650
adv-selected-fair_pp-group-1,0.786,0.850,0.657,0.757,0.913,0.542,0.350
adv-selected-fair_pp-delta,0.022,-0.104,0.151,0.120,0.011,-0.222,0.222
adv-selected-fair_adv-all,0.800,0.791,0.755,0.845,0.927,0.408,0.000
adv-selected-fair_adv-group-0,0.808,0.747,0.808,0.877,0.924,0.320,0.650
adv-selected-fair_adv-group-1,0.786,0.849,0.657,0.786,0.935,0.500,0.350
adv-selected-fair_adv-delta,0.022,-0.102,0.151,0.091,-0.011,-0.180,0.180
adv-selected-fair_resample-all,0.775,0.796,0.755,0.820,0.894,0.408,0.000
adv-selected-fair_resample-group-0,0.769,0.789,0.808,0.854,0.886,0.280,0.650
adv-selected-fair_resample-group-1,0.786,0.803,0.657,0.757,0.913,0.542,0.350
adv-selected-fair_resample-delta,-0.016,-0.015,0.151,0.097,-0.027,-0.262,0.262
adv-voting-all,0.740,0.717,0.755,0.785,0.848,0.408,0.000
adv-voting-group-0,0.731,0.705,0.808,0.738,0.790,0.480,0.650
adv-voting-group-1,0.757,0.827,0.657,0.871,0.978,0.333,0.350
