method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,0.008,0.087,0.112,-0.272,-0.242,0.444,0.444
adv-konstantinov-fair_resample-all,0.695,0.732,0.705,0.640,0.738,0.593,0.000
adv-konstantinov-fair_resample-group-0,0.707,0.772,0.735,0.592,0.704,0.718,0.735
adv-konstantinov-fair_resample-group-1,0.660,0.706,0.623,0.774,0.848,0.350,0.265
adv-konstantinov-fair_resample-delta,0.047,0.066,0.112,-0.182,-0.145,0.368,0.368
adv-selected-all,0.755,0.758,0.705,0.800,0.894,0.424,0.000
adv-selected-group-0,0.782,0.781,0.735,0.803,0.898,0.462,0.735
adv-selected-group-1,0.679,0.695,0.623,0.792,0.879,0.350,0.265
adv-selected-delta,0.103,0.085,0.112,0.010,0.019,0.112,0.112
adv-selected-fair_reg-all,0.655,0.745,0.705,0.510,0.617,0.746,0.000
adv-selected-fair_reg-group-0,0.667,0.778,0.735,0.497,0.611,0.821,0.735
adv-selected-fair_reg-group-1,0.623,0.711,0.623,0.547,0.636,0.600,0.265
adv-selected-fair_reg-delta,0.044,0.067,0.112,-0.051,-0.025,0.221,0.221
adv-selected-fair_pp-all,0.770,0.752,0.705,0.875,0.957,0.322,0.000
adv-selected-fair_pp-group-0,0.803,0.781,0.735,0.850,0.944,0.410,0.735
adv-selected-fair_pp-group-1,0.679,0.695,0.623,0.943,1.000,0.150,0.265
adv-selected-fair_pp-delta,0.123,0.085,0.112,-0.093,-0.056,0.260,0.260
adv-selected-fair_adv-all,0.735,0.745,0.705,0.800,0.879,0.390,0.333
adv-selected-fair_adv-group-0,0.762,0.779,0.735,0.782,0.870,0.462,0.735
adv-selected-fair_adv-group-1,0.660,0.695,0.623,0.849,0.909,0.250,0.265
adv-selected-fair_adv-delta,0.102,0.084,0.112,-0.067,-0.039,0.212,0.212
adv-selected-fair_resample-all,0.730,0.741,0.705,0.805,0.879,0.373,0.000
adv-selected-fair_resample-group-0,0.755,0.783,0.735,0.776,0.861,0.462,0.735
adv-selected-fair_resample-group-1,0.660,0.682,0.623,0.887,0.939,0.200,0.265
adv-selected-fair_resample-delta,0.095,0.101,0.112,-0.111,-0.078,0.262,0.262
adv-voting-all,0.685,0.703,0.705,0.690,0.766,0.492,0.015
adv-voting-group-0,0.687,0.784,0.735,0.612,0.704,0.641,0.735
adv-voting-group-1,0.679,0.629,0.623,0.906,0.970,0.200,0.265
adv-voting-delta,0.008,0.155,0.112,-0.293,-0.266,0.441,0.441
adv-voting-fair_reg-all,0.615,0.686,0.705,0.490,0.574,0.712,0.030
adv-voting-fair_reg-group-0,0.599,0.773,0.735,0.401,0.500,0.872,0.735
adv-voting-fair_reg-group-1,0.660,0.641,0.623,0.736,0.818,0.400,0.265
adv-voting-fair_reg-delta,-0.062,0.132,0.112,-0.334,-0.318,0.472,0.472
adv-voting-fair_pp-all,0.660,0.698,0.705,0.665,0.730,0.492,0.045
adv-voting-fair_pp-group-0,0.660,0.762,0.735,0.585,0.667,0.641,0.735
adv-voting-fair_pp-group-1,0.660,0.667,0.623,0.887,0.939,0.200,0.265
adv-voting-fair_pp-delta,-0.001,0.096,0.112,-0.302,-0.273,0.441,0.441
adv-voting-fair_adv-all,0.680,0.705,0.705,0.675,0.752,0.508,0.110
adv-voting-fair_adv-group-0,0.680,0.778,0.735,0.578,0.676,0.692,0.735
adv-voting-fair_adv-group-1,0.679,0.673,0.623,0.943,1.000,0.150,0.265
adv-voting-fair_adv-delta,0.001,0.106,0.112,-0.365,-0.324,0.542,0.542
adv-voting-fair_resample-all,0.675,0.676,0.705,0.690,0.759,0.475,0.055
adv-voting-fair_resample-group-0,0.673,0.720,0.735,0.639,0.713,0.564,0.735
adv-voting-fair_resample-group-1,0.679,0.670,0.623,0.830,0.909,0.300,0.265
adv-voting-fair_resample-delta,-0.006,0.050,0.112,-0.191,-0.196,0.264,0.264
adv-TERM-all,0.620,0.593,0.705,0.605,0.660,0.525,0.000
adv-TERM-group-0,0.605,0.643,0.735,0.490,0.565,0.718,0.735
adv-TERM-group-1,0.660,0.560,0.623,0.925,0.970,0.150,0.265
adv-TERM-delta,-0.055,0.083,0.112,-0.435,-0.405,0.568,0.568
adv-TERM-fair_pp-all,0.625,0.604,0.705,0.620,0.674,0.508,0.000
adv-TERM-fair_pp-group-0,0.612,0.662,0.735,0.510,0.583,0.692,0.735
adv-TERM-fair_pp-group-1,0.660,0.560,0.623,0.925,0.970,0.150,0.265
adv-TERM-fair_pp-delta,-0.048,0.102,0.112,-0.414,-0.386,0.542,0.542
adv-TERM-fair_resample-all,0.645,0.635,0.705,0.580,0.660,0.610,0.000
adv-TERM-fair_resample-group-0,0.639,0.681,0.735,0.497,0.593,0.769,0.735
adv-TERM-fair_resample-group-1,0.660,0.589,0.623,0.811,0.879,0.300,0.265
adv-TERM-fair_resample-delta,-0.021,0.092,0.112,-0.315,-0.286,0.469,0.469
adv-DRO-fair_reg-all,0.710,0.429,0.705,0.995,1.000,0.017,0.000
adv-DRO-fair_reg-group-0,0.741,0.431,0.735,0.993,1.000,0.026,0.735
adv-DRO-fair_reg-group-1,0.623,0.500,0.623,1.000,1.000,0.000,0.265
adv-DRO-fair_reg-delta,0.119,-0.069,0.112,-0.007,0.000,0.026,0.026
