method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.750,0.783,0.745,0.855,0.906,0.294,0.000
adv-konstantinov-fair_resample-group-0,0.803,0.820,0.776,0.850,0.921,0.394,0.735
adv-konstantinov-fair_resample-group-1,0.604,0.679,0.660,0.868,0.857,0.111,0.265
adv-konstantinov-fair_resample-delta,0.199,0.141,0.115,-0.018,0.064,0.283,0.283
adv-selected-all,0.755,0.806,0.745,0.830,0.893,0.353,0.333
adv-selected-group-0,0.803,0.831,0.776,0.864,0.930,0.364,0.735
adv-selected-group-1,0.623,0.702,0.660,0.736,0.771,0.333,0.265
adv-selected-delta,0.180,0.130,0.115,0.128,0.158,0.030,0.158
adv-selected-fair_reg-all,0.705,0.783,0.745,0.560,0.678,0.784,0.333
adv-selected-fair_reg-group-0,0.728,0.820,0.776,0.571,0.693,0.848,0.735
adv-selected-fair_reg-group-1,0.642,0.700,0.660,0.528,0.629,0.667,0.265
adv-selected-fair_reg-delta,0.086,0.120,0.115,0.043,0.064,0.182,0.182
adv-selected-fair_pp-all,0.775,0.787,0.745,0.920,0.966,0.216,0.333
adv-selected-fair_pp-group-0,0.816,0.831,0.776,0.905,0.965,0.303,0.735
adv-selected-fair_pp-group-1,0.660,0.702,0.660,0.962,0.971,0.056,0.265
adv-selected-fair_pp-delta,0.156,0.130,0.115,-0.058,-0.007,0.247,0.247
adv-selected-fair_adv-all,0.770,0.793,0.745,0.835,0.906,0.373,0.333
adv-selected-fair_adv-group-0,0.816,0.831,0.776,0.837,0.921,0.455,0.735
adv-selected-fair_adv-group-1,0.642,0.703,0.660,0.830,0.857,0.222,0.265
adv-selected-fair_adv-delta,0.175,0.128,0.115,0.007,0.064,0.232,0.232
adv-selected-fair_resample-all,0.745,0.788,0.745,0.800,0.866,0.392,0.000
adv-selected-fair_resample-group-0,0.789,0.840,0.776,0.782,0.868,0.515,0.735
adv-selected-fair_resample-group-1,0.623,0.676,0.660,0.849,0.857,0.167,0.265
adv-selected-fair_resample-delta,0.166,0.164,0.115,-0.067,0.011,0.348,0.348
adv-voting-all,0.755,0.832,0.745,0.820,0.886,0.373,0.400
adv-voting-group-0,0.782,0.854,0.776,0.816,0.886,0.424,0.735
adv-voting-group-1,0.679,0.754,0.660,0.830,0.886,0.278,0.265
adv-voting-delta,0.103,0.100,0.115,-0.014,0.000,0.146,0.146
adv-voting-fair_reg-all,0.735,0.807,0.745,0.610,0.732,0.745,0.370
adv-voting-fair_reg-group-0,0.755,0.845,0.776,0.599,0.728,0.848,0.735
adv-voting-fair_reg-group-1,0.679,0.751,0.660,0.642,0.743,0.556,0.265
adv-voting-fair_reg-delta,0.076,0.094,0.115,-0.043,-0.015,0.293,0.293
adv-voting-fair_pp-all,0.755,0.813,0.745,0.850,0.906,0.314,0.385
adv-voting-fair_pp-group-0,0.789,0.855,0.776,0.823,0.895,0.424,0.735
adv-voting-fair_pp-group-1,0.660,0.756,0.660,0.925,0.943,0.111,0.265
adv-voting-fair_pp-delta,0.129,0.099,0.115,-0.101,-0.048,0.313,0.313
adv-voting-fair_adv-all,0.750,0.815,0.745,0.845,0.899,0.314,0.400
adv-voting-fair_adv-group-0,0.782,0.849,0.776,0.816,0.886,0.424,0.735
adv-voting-fair_adv-group-1,0.660,0.740,0.660,0.925,0.943,0.111,0.265
adv-voting-fair_adv-delta,0.122,0.109,0.115,-0.108,-0.057,0.313,0.313
adv-voting-fair_resample-all,0.770,0.786,0.745,0.815,0.893,0.412,0.440
adv-voting-fair_resample-group-0,0.810,0.822,0.776,0.789,0.886,0.545,0.735
adv-voting-fair_resample-group-1,0.660,0.768,0.660,0.887,0.914,0.167,0.265
adv-voting-fair_resample-delta,0.149,0.054,0.115,-0.098,-0.028,0.379,0.379
adv-TERM-all,0.750,0.712,0.745,0.685,0.792,0.627,0.000
adv-TERM-group-0,0.776,0.729,0.776,0.714,0.816,0.636,0.735
adv-TERM-group-1,0.679,0.663,0.660,0.604,0.714,0.611,0.265
adv-TERM-delta,0.096,0.066,0.115,0.111,0.102,0.025,0.102
adv-TERM-fair_pp-all,0.755,0.714,0.745,0.690,0.799,0.627,0.000
adv-TERM-fair_pp-group-0,0.782,0.732,0.776,0.721,0.825,0.636,0.735
adv-TERM-fair_pp-group-1,0.679,0.663,0.660,0.604,0.714,0.611,0.265
adv-TERM-fair_pp-delta,0.103,0.069,0.115,0.117,0.110,0.025,0.110
adv-TERM-fair_resample-all,0.755,0.774,0.745,0.600,0.738,0.804,0.000
adv-TERM-fair_resample-group-0,0.789,0.810,0.776,0.646,0.781,0.818,0.735
adv-TERM-fair_resample-group-1,0.660,0.667,0.660,0.472,0.600,0.778,0.265
adv-TERM-fair_resample-delta,0.129,0.144,0.115,0.175,0.181,0.040,0.181
adv-DRO-fair_reg-all,0.755,0.527,0.745,0.990,1.000,0.039,0.000
adv-DRO-fair_reg-group-0,0.782,0.531,0.776,0.993,1.000,0.030,0.735
adv-DRO-fair_reg-group-1,0.679,0.563,0.660,0.981,1.000,0.056,0.265
adv-DRO-fair_reg-delta,0.103,-0.033,0.115,0.012,0.000,-0.025,0.025
