method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.657,0.706,0.448,0.388,0.550,0.743,0.000
adv-konstantinov-fair_resample-group-0,0.668,0.722,0.468,0.400,0.573,0.751,0.797
adv-konstantinov-fair_resample-group-1,0.614,0.630,0.367,0.339,0.435,0.717,0.203
adv-konstantinov-fair_resample-delta,0.054,0.092,0.102,0.062,0.138,0.034,0.138
adv-selected-all,0.668,0.708,0.448,0.362,0.533,0.777,0.000
adv-selected-group-0,0.673,0.723,0.468,0.430,0.610,0.728,0.797
adv-selected-group-1,0.649,0.628,0.367,0.096,0.152,0.937,0.203
adv-selected-delta,0.023,0.094,0.102,0.334,0.457,-0.209,0.457
adv-selected-fair_reg-all,0.662,0.704,0.448,0.474,0.653,0.670,0.000
adv-selected-fair_reg-group-0,0.675,0.723,0.468,0.485,0.670,0.679,0.797
adv-selected-fair_reg-group-1,0.614,0.629,0.367,0.434,0.565,0.642,0.203
adv-selected-fair_reg-delta,0.061,0.094,0.102,0.050,0.105,0.037,0.105
adv-selected-fair_pp-all,0.661,0.703,0.448,0.460,0.635,0.682,0.000
adv-selected-fair_pp-group-0,0.674,0.723,0.468,0.465,0.649,0.696,0.797
adv-selected-fair_pp-group-1,0.610,0.628,0.367,0.438,0.565,0.635,0.203
adv-selected-fair_pp-delta,0.064,0.094,0.102,0.027,0.083,0.061,0.083
adv-selected-fair_adv-all,0.656,0.709,0.448,0.366,0.524,0.762,0.667
adv-selected-fair_adv-group-0,0.666,0.722,0.468,0.396,0.566,0.753,0.797
adv-selected-fair_adv-group-1,0.618,0.628,0.367,0.247,0.315,0.792,0.203
adv-selected-fair_adv-delta,0.048,0.095,0.102,0.149,0.251,-0.039,0.251
adv-selected-fair_resample-all,0.657,0.704,0.448,0.393,0.555,0.739,0.000
adv-selected-fair_resample-group-0,0.666,0.719,0.468,0.404,0.575,0.746,0.797
adv-selected-fair_resample-group-1,0.622,0.638,0.367,0.347,0.457,0.717,0.203
adv-selected-fair_resample-delta,0.044,0.081,0.102,0.058,0.118,0.029,0.118
adv-voting-all,0.658,0.706,0.448,0.377,0.539,0.755,0.270
adv-voting-group-0,0.667,0.722,0.468,0.426,0.599,0.727,0.797
adv-voting-group-1,0.625,0.620,0.367,0.183,0.239,0.849,0.203
adv-voting-delta,0.041,0.102,0.102,0.243,0.360,-0.122,0.360
adv-voting-fair_reg-all,0.657,0.704,0.448,0.468,0.640,0.672,0.209
adv-voting-fair_reg-group-0,0.674,0.721,0.468,0.482,0.666,0.681,0.797
adv-voting-fair_reg-group-1,0.594,0.624,0.367,0.414,0.511,0.642,0.203
adv-voting-fair_reg-delta,0.080,0.097,0.102,0.067,0.155,0.039,0.155
adv-voting-fair_pp-all,0.660,0.705,0.448,0.411,0.579,0.726,0.337
adv-voting-fair_pp-group-0,0.672,0.721,0.468,0.429,0.607,0.728,0.797
adv-voting-fair_pp-group-1,0.614,0.627,0.367,0.339,0.435,0.717,0.203
adv-voting-fair_pp-delta,0.058,0.094,0.102,0.090,0.173,0.012,0.173
adv-voting-fair_adv-all,0.657,0.705,0.448,0.377,0.539,0.754,0.228
adv-voting-fair_adv-group-0,0.670,0.722,0.468,0.396,0.570,0.757,0.797
adv-voting-fair_adv-group-1,0.610,0.618,0.367,0.303,0.380,0.742,0.203
adv-voting-fair_adv-delta,0.060,0.104,0.102,0.094,0.190,0.015,0.190
adv-voting-fair_resample-all,0.651,0.701,0.448,0.400,0.557,0.727,0.270
