method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-TERM-all,0.757,0.597,0.243,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.690,0.550,0.310,0.000,0.000,1.000,0.666
adv-TERM-group-1,0.891,0.550,0.109,0.000,0.000,1.000,0.334
adv-TERM-delta,-0.201,-0.001,0.201,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.754,0.536,0.243,0.011,0.017,0.990,0.000
adv-TERM-fair_pp-group-0,0.690,0.550,0.310,0.010,0.016,0.992,0.666
adv-TERM-fair_pp-group-1,0.882,0.550,0.109,0.014,0.023,0.987,0.334
adv-TERM-fair_pp-delta,-0.192,-0.001,0.201,-0.003,-0.006,0.005,0.006
adv-TERM-fair_resample-all,0.757,0.511,0.243,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.690,0.545,0.310,0.000,0.000,1.000,0.666
adv-TERM-fair_resample-group-1,0.891,0.543,0.109,0.000,0.000,1.000,0.334
adv-TERM-fair_resample-delta,-0.201,0.002,0.201,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.788,0.757,0.243,0.101,0.270,0.954,0.000
adv-DRO-fair_reg-group-0,0.738,0.739,0.310,0.132,0.290,0.939,0.666
adv-DRO-fair_reg-group-1,0.887,0.740,0.109,0.038,0.155,0.976,0.334
adv-DRO-fair_reg-delta,-0.149,-0.001,0.201,0.094,0.135,-0.037,0.135
