method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.121,0.009,0.189,-0.002,-0.110,0.033,0.110
adv-konstantinov-fair_resample-all,0.792,0.796,0.236,0.095,0.261,0.956,0.000
adv-konstantinov-fair_resample-group-0,0.753,0.818,0.299,0.094,0.243,0.970,0.664
adv-konstantinov-fair_resample-group-1,0.870,0.809,0.111,0.099,0.358,0.934,0.336
adv-konstantinov-fair_resample-delta,-0.117,0.009,0.189,-0.005,-0.115,0.037,0.115
adv-selected-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-selected-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-selected-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-selected-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-selected-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-selected-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-selected-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-selected-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
adv-selected-fair_pp-all,0.793,0.804,0.236,0.147,0.372,0.923,0.333
adv-selected-fair_pp-group-0,0.768,0.823,0.299,0.144,0.353,0.946,0.664
adv-selected-fair_pp-group-1,0.841,0.806,0.111,0.153,0.474,0.886,0.336
adv-selected-fair_pp-delta,-0.072,0.017,0.189,-0.010,-0.121,0.059,0.121
adv-selected-fair_adv-all,0.812,0.834,0.236,0.143,0.405,0.938,0.667
adv-selected-fair_adv-group-0,0.776,0.823,0.299,0.187,0.439,0.921,0.664
adv-selected-fair_adv-group-1,0.882,0.807,0.111,0.056,0.220,0.964,0.336
adv-selected-fair_adv-delta,-0.105,0.015,0.189,0.131,0.219,-0.044,0.219
adv-selected-fair_resample-all,0.800,0.817,0.236,0.139,0.371,0.932,0.000
adv-selected-fair_resample-group-0,0.769,0.820,0.299,0.153,0.370,0.940,0.664
adv-selected-fair_resample-group-1,0.861,0.810,0.111,0.113,0.380,0.920,0.336
adv-selected-fair_resample-delta,-0.092,0.010,0.189,0.040,-0.011,0.019,0.019
adv-voting-all,0.814,0.839,0.236,0.142,0.407,0.940,0.012
adv-voting-group-0,0.777,0.823,0.299,0.202,0.465,0.910,0.664
adv-voting-group-1,0.887,0.805,0.111,0.023,0.094,0.986,0.336
adv-voting-delta,-0.110,0.017,0.189,0.180,0.372,-0.076,0.372
adv-voting-fair_reg-all,0.703,0.796,0.236,0.406,0.731,0.694,0.017
adv-voting-fair_reg-group-0,0.744,0.823,0.299,0.381,0.709,0.759,0.664
adv-voting-fair_reg-group-1,0.622,0.806,0.111,0.455,0.846,0.594,0.336
adv-voting-fair_reg-delta,0.122,0.017,0.189,-0.074,-0.137,0.165,0.165
adv-voting-fair_pp-all,0.794,0.802,0.236,0.124,0.326,0.938,0.017
adv-voting-fair_pp-group-0,0.763,0.823,0.299,0.120,0.306,0.959,0.664
adv-voting-fair_pp-group-1,0.854,0.806,0.111,0.131,0.435,0.907,0.336
adv-voting-fair_pp-delta,-0.091,0.017,0.189,-0.011,-0.130,0.052,0.130
adv-voting-fair_adv-all,0.809,0.831,0.236,0.134,0.378,0.942,0.008
adv-voting-fair_adv-group-0,0.773,0.822,0.299,0.170,0.405,0.930,0.664
adv-voting-fair_adv-group-1,0.880,0.807,0.111,0.061,0.234,0.961,0.336
adv-voting-fair_adv-delta,-0.107,0.015,0.189,0.109,0.171,-0.030,0.171
adv-voting-fair_resample-all,0.794,0.807,0.236,0.129,0.336,0.935,0.026
adv-voting-fair_resample-group-0,0.766,0.820,0.299,0.127,0.321,0.956,0.664
