method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.580,0.668,0.695,0.555,0.597,0.541,0.000
adv-konstantinov-fair_resample-group-0,0.608,0.718,0.738,0.515,0.583,0.676,0.650
adv-konstantinov-fair_resample-group-1,0.529,0.623,0.614,0.629,0.628,0.370,0.350
adv-konstantinov-fair_resample-delta,0.079,0.096,0.124,-0.113,-0.045,0.306,0.306
adv-selected-all,0.680,0.692,0.695,0.755,0.813,0.377,0.000
adv-selected-group-0,0.738,0.723,0.738,0.800,0.865,0.382,0.650
adv-selected-group-1,0.571,0.612,0.614,0.671,0.698,0.370,0.350
adv-selected-delta,0.167,0.112,0.124,0.129,0.167,0.012,0.167
adv-selected-fair_reg-all,0.625,0.685,0.695,0.540,0.619,0.639,0.000
adv-selected-fair_reg-group-0,0.654,0.732,0.738,0.546,0.635,0.706,0.650
adv-selected-fair_reg-group-1,0.571,0.615,0.614,0.529,0.581,0.556,0.350
adv-selected-fair_reg-delta,0.082,0.117,0.124,0.018,0.054,0.150,0.150
adv-selected-fair_pp-all,0.675,0.674,0.695,0.770,0.820,0.344,0.333
adv-selected-fair_pp-group-0,0.723,0.723,0.738,0.754,0.823,0.441,0.650
adv-selected-fair_pp-group-1,0.586,0.612,0.614,0.800,0.814,0.222,0.350
adv-selected-fair_pp-delta,0.137,0.112,0.124,-0.046,0.009,0.219,0.219
adv-selected-fair_adv-all,0.685,0.680,0.695,0.790,0.842,0.328,0.333
adv-selected-fair_adv-group-0,0.738,0.722,0.738,0.785,0.854,0.412,0.650
adv-selected-fair_adv-group-1,0.586,0.612,0.614,0.800,0.814,0.222,0.350
adv-selected-fair_adv-delta,0.153,0.110,0.124,-0.015,0.040,0.190,0.190
adv-selected-fair_resample-all,0.670,0.662,0.695,0.805,0.842,0.279,0.000
adv-selected-fair_resample-group-0,0.692,0.708,0.738,0.831,0.854,0.235,0.650
adv-selected-fair_resample-group-1,0.629,0.592,0.614,0.757,0.814,0.333,0.350
adv-selected-fair_resample-delta,0.064,0.116,0.124,0.074,0.040,-0.098,0.098
adv-voting-all,0.680,0.640,0.695,0.685,0.763,0.492,0.000
adv-voting-group-0,0.715,0.752,0.738,0.608,0.719,0.706,0.650
adv-voting-group-1,0.614,0.564,0.614,0.829,0.860,0.222,0.350
adv-voting-delta,0.101,0.188,0.124,-0.221,-0.142,0.484,0.484
adv-voting-fair_reg-all,0.580,0.630,0.695,0.505,0.561,0.623,0.020
adv-voting-fair_reg-group-0,0.592,0.749,0.738,0.408,0.500,0.853,0.650
adv-voting-fair_reg-group-1,0.557,0.581,0.614,0.686,0.698,0.333,0.350
adv-voting-fair_reg-delta,0.035,0.168,0.124,-0.278,-0.198,0.520,0.520
adv-voting-fair_pp-all,0.665,0.621,0.695,0.740,0.791,0.377,0.015
adv-voting-fair_pp-group-0,0.700,0.760,0.738,0.608,0.708,0.676,0.650
adv-voting-fair_pp-group-1,0.600,0.595,0.614,0.986,0.977,0.000,0.350
adv-voting-fair_pp-delta,0.100,0.165,0.124,-0.378,-0.268,0.676,0.676
adv-voting-fair_adv-all,0.685,0.651,0.695,0.700,0.777,0.475,0.080
adv-voting-fair_adv-group-0,0.715,0.758,0.738,0.577,0.698,0.765,0.650
adv-voting-fair_adv-group-1,0.629,0.604,0.614,0.929,0.953,0.111,0.350
adv-voting-fair_adv-delta,0.087,0.154,0.124,-0.352,-0.256,0.654,0.654
adv-voting-fair_resample-all,0.625,0.592,0.695,0.620,0.676,0.508,0.020
adv-voting-fair_resample-group-0,0.646,0.718,0.738,0.554,0.635,0.676,0.650
adv-voting-fair_resample-group-1,0.586,0.510,0.614,0.743,0.767,0.296,0.350
adv-voting-fair_resample-delta,0.060,0.207,0.124,-0.189,-0.132,0.380,0.380
adv-TERM-all,0.535,0.576,0.695,0.400,0.453,0.721,0.000
adv-TERM-group-0,0.500,0.642,0.738,0.269,0.344,0.941,0.650
adv-TERM-group-1,0.600,0.553,0.614,0.643,0.698,0.444,0.350
adv-TERM-delta,-0.100,0.089,0.124,-0.374,-0.354,0.497,0.497
adv-TERM-fair_pp-all,0.525,0.576,0.695,0.410,0.453,0.689,0.000
adv-TERM-fair_pp-group-0,0.500,0.642,0.738,0.269,0.344,0.941,0.650
adv-TERM-fair_pp-group-1,0.571,0.559,0.614,0.671,0.698,0.370,0.350
adv-TERM-fair_pp-delta,-0.071,0.083,0.124,-0.402,-0.354,0.571,0.571
adv-TERM-fair_resample-all,0.535,0.622,0.695,0.350,0.417,0.803,0.000
adv-TERM-fair_resample-group-0,0.508,0.653,0.738,0.308,0.375,0.882,0.650
adv-TERM-fair_resample-group-1,0.586,0.606,0.614,0.429,0.512,0.704,0.350
adv-TERM-fair_resample-delta,-0.078,0.047,0.124,-0.121,-0.137,0.179,0.179
adv-DRO-fair_reg-all,0.705,0.587,0.695,0.990,1.000,0.033,0.000
adv-DRO-fair_reg-group-0,0.754,0.677,0.738,0.985,1.000,0.059,0.650
adv-DRO-fair_reg-group-1,0.614,0.596,0.614,1.000,1.000,0.000,0.350
adv-DRO-fair_reg-delta,0.140,0.081,0.124,-0.015,0.000,0.059,0.059
