method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.111,-0.125,0.203,-0.014,-0.197,-0.039,0.197
adv-konstantinov-fair_resample-all,0.610,0.661,0.451,0.475,0.594,0.623,0.000
adv-konstantinov-fair_resample-group-0,0.581,0.612,0.554,0.500,0.573,0.590,0.493
adv-konstantinov-fair_resample-group-1,0.639,0.710,0.351,0.450,0.627,0.645,0.507
adv-konstantinov-fair_resample-delta,-0.058,-0.098,0.203,0.050,-0.054,-0.055,0.055
adv-selected-all,0.647,0.706,0.451,0.406,0.559,0.720,0.000
adv-selected-group-0,0.602,0.631,0.554,0.565,0.650,0.542,0.493
adv-selected-group-1,0.691,0.725,0.351,0.251,0.418,0.839,0.507
adv-selected-delta,-0.089,-0.094,0.203,0.313,0.233,-0.297,0.297
adv-selected-fair_reg-all,0.626,0.674,0.451,0.485,0.624,0.628,0.000
adv-selected-fair_reg-group-0,0.591,0.630,0.554,0.511,0.592,0.590,0.493
adv-selected-fair_reg-group-1,0.660,0.724,0.351,0.461,0.672,0.653,0.507
adv-selected-fair_reg-delta,-0.068,-0.094,0.203,0.050,-0.079,-0.063,0.079
adv-selected-fair_pp-all,0.629,0.669,0.451,0.424,0.559,0.686,0.333
adv-selected-fair_pp-group-0,0.581,0.631,0.554,0.414,0.495,0.687,0.493
adv-selected-fair_pp-group-1,0.675,0.725,0.351,0.435,0.657,0.685,0.507
adv-selected-fair_pp-delta,-0.095,-0.094,0.203,-0.021,-0.162,0.001,0.162
adv-selected-fair_adv-all,0.626,0.687,0.451,0.406,0.535,0.700,0.333
adv-selected-fair_adv-group-0,0.581,0.631,0.554,0.457,0.534,0.639,0.493
adv-selected-fair_adv-group-1,0.670,0.724,0.351,0.356,0.537,0.742,0.507
adv-selected-fair_adv-delta,-0.090,-0.094,0.203,0.101,-0.003,-0.103,0.103
adv-selected-fair_resample-all,0.631,0.655,0.451,0.422,0.559,0.691,0.000
adv-selected-fair_resample-group-0,0.602,0.643,0.554,0.468,0.563,0.651,0.493
adv-selected-fair_resample-group-1,0.660,0.666,0.351,0.377,0.552,0.718,0.507
adv-selected-fair_resample-delta,-0.058,-0.023,0.203,0.091,0.011,-0.067,0.067
adv-voting-all,0.647,0.691,0.451,0.422,0.576,0.705,0.064
adv-voting-group-0,0.602,0.631,0.554,0.489,0.583,0.627,0.493
adv-voting-group-1,0.691,0.715,0.351,0.356,0.567,0.758,0.507
adv-voting-delta,-0.089,-0.084,0.203,0.133,0.015,-0.132,0.132
adv-voting-fair_reg-all,0.618,0.648,0.451,0.488,0.618,0.618,0.077
adv-voting-fair_reg-group-0,0.591,0.627,0.554,0.425,0.515,0.687,0.493
adv-voting-fair_reg-group-1,0.644,0.717,0.351,0.550,0.776,0.573,0.507
adv-voting-fair_reg-delta,-0.053,-0.090,0.203,-0.125,-0.262,0.114,0.262
adv-voting-fair_pp-all,0.615,0.681,0.451,0.554,0.688,0.556,0.074
adv-voting-fair_pp-group-0,0.602,0.647,0.554,0.565,0.650,0.542,0.493
adv-voting-fair_pp-group-1,0.628,0.722,0.351,0.545,0.746,0.565,0.507
adv-voting-fair_pp-delta,-0.026,-0.075,0.203,0.020,-0.096,-0.022,0.096
adv-voting-fair_adv-all,0.618,0.662,0.451,0.435,0.559,0.667,0.058
adv-voting-fair_adv-group-0,0.591,0.628,0.554,0.414,0.505,0.699,0.493
adv-voting-fair_adv-group-1,0.644,0.718,0.351,0.455,0.642,0.645,0.507
adv-voting-fair_adv-delta,-0.053,-0.090,0.203,-0.042,-0.137,0.054,0.137
adv-voting-fair_resample-all,0.570,0.618,0.451,0.488,0.565,0.575,0.103
adv-voting-fair_resample-group-0,0.548,0.615,0.554,0.425,0.476,0.639,0.493
adv-voting-fair_resample-group-1,0.592,0.689,0.351,0.550,0.701,0.532,0.507
adv-voting-fair_resample-delta,-0.043,-0.074,0.203,-0.125,-0.226,0.106,0.226
adv-TERM-all,0.592,0.558,0.451,0.149,0.212,0.903,0.000
adv-TERM-group-0,0.473,0.522,0.554,0.048,0.068,0.976,0.493
adv-TERM-group-1,0.707,0.644,0.351,0.246,0.433,0.855,0.507
adv-TERM-delta,-0.234,-0.122,0.203,-0.198,-0.365,0.121,0.365
adv-TERM-fair_pp-all,0.592,0.558,0.451,0.149,0.212,0.903,0.000
adv-TERM-fair_pp-group-0,0.473,0.522,0.554,0.048,0.068,0.976,0.493
adv-TERM-fair_pp-group-1,0.707,0.644,0.351,0.246,0.433,0.855,0.507
adv-TERM-fair_pp-delta,-0.234,-0.122,0.203,-0.198,-0.365,0.121,0.365
adv-TERM-fair_resample-all,0.589,0.561,0.451,0.183,0.247,0.870,0.000
adv-TERM-fair_resample-group-0,0.495,0.542,0.554,0.102,0.136,0.940,0.493
adv-TERM-fair_resample-group-1,0.681,0.623,0.351,0.262,0.418,0.823,0.507
adv-TERM-fair_resample-delta,-0.186,-0.080,0.203,-0.160,-0.282,0.117,0.282
adv-DRO-fair_reg-all,0.578,0.647,0.451,0.533,0.624,0.541,0.000
adv-DRO-fair_reg-group-0,0.554,0.613,0.554,0.559,0.602,0.494,0.493
adv-DRO-fair_reg-group-1,0.602,0.686,0.351,0.508,0.657,0.573,0.507
adv-DRO-fair_reg-delta,-0.048,-0.074,0.203,0.051,-0.055,-0.079,0.079
