method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,0.099,0.022,0.160,0.014,0.018,0.039,0.039
adv-konstantinov-fair_resample-all,0.533,0.626,0.351,0.664,0.780,0.399,0.000
adv-konstantinov-fair_resample-group-0,0.575,0.636,0.429,0.667,0.783,0.420,0.518
adv-konstantinov-fair_resample-group-1,0.487,0.619,0.268,0.661,0.776,0.382,0.482
adv-konstantinov-fair_resample-delta,0.088,0.018,0.160,0.007,0.007,0.038,0.038
adv-selected-all,0.323,0.283,0.351,0.615,0.412,0.275,0.538
adv-selected-group-0,0.352,0.303,0.429,0.515,0.345,0.357,0.518
adv-selected-group-1,0.293,0.291,0.268,0.723,0.528,0.206,0.482
adv-selected-delta,0.059,0.013,0.160,-0.207,-0.184,0.150,0.184
adv-selected-fair_reg-all,0.360,0.304,0.351,0.514,0.321,0.382,0.000
adv-selected-fair_reg-group-0,0.352,0.304,0.429,0.514,0.344,0.358,0.518
adv-selected-fair_reg-group-1,0.369,0.291,0.268,0.513,0.281,0.401,0.482
adv-selected-fair_reg-delta,-0.017,0.013,0.160,0.001,0.063,-0.044,0.063
adv-selected-fair_pp-all,0.331,0.306,0.351,0.673,0.506,0.236,0.538
adv-selected-fair_pp-group-0,0.355,0.303,0.429,0.677,0.537,0.219,0.518
adv-selected-fair_pp-group-1,0.306,0.291,0.268,0.669,0.453,0.251,0.482
adv-selected-fair_pp-delta,0.050,0.013,0.160,0.007,0.084,-0.033,0.084
adv-selected-fair_adv-all,0.342,0.313,0.351,0.616,0.440,0.288,0.423
adv-selected-fair_adv-group-0,0.348,0.302,0.429,0.645,0.492,0.240,0.518
adv-selected-fair_adv-group-1,0.334,0.290,0.268,0.585,0.351,0.328,0.482
adv-selected-fair_adv-delta,0.014,0.012,0.160,0.060,0.142,-0.088,0.142
adv-selected-fair_resample-all,0.340,0.312,0.351,0.608,0.426,0.294,0.000
adv-selected-fair_resample-group-0,0.352,0.310,0.429,0.605,0.449,0.279,0.518
adv-selected-fair_resample-group-1,0.328,0.300,0.268,0.611,0.387,0.307,0.482
adv-selected-fair_resample-delta,0.023,0.011,0.160,-0.006,0.062,-0.028,0.062
adv-voting-all,0.674,0.753,0.351,0.382,0.580,0.725,0.255
adv-voting-group-0,0.648,0.735,0.429,0.424,0.583,0.696,0.518
adv-voting-group-1,0.702,0.762,0.268,0.337,0.573,0.749,0.482
adv-voting-delta,-0.054,-0.027,0.160,0.086,0.010,-0.053,0.053
adv-voting-fair_reg-all,0.654,0.775,0.351,0.510,0.733,0.611,0.232
adv-voting-fair_reg-group-0,0.692,0.795,0.429,0.507,0.732,0.662,0.518
adv-voting-fair_reg-group-1,0.613,0.763,0.268,0.513,0.735,0.568,0.482
adv-voting-fair_reg-delta,0.079,0.033,0.160,-0.006,-0.003,0.094,0.094
adv-voting-fair_pp-all,0.646,0.724,0.351,0.406,0.575,0.685,0.275
adv-voting-fair_pp-group-0,0.661,0.753,0.429,0.385,0.553,0.742,0.518
adv-voting-fair_pp-group-1,0.630,0.709,0.268,0.430,0.612,0.637,0.482
adv-voting-fair_pp-delta,0.031,0.044,0.160,-0.045,-0.059,0.105,0.105
adv-voting-fair_adv-all,0.672,0.754,0.351,0.377,0.571,0.727,0.251
adv-voting-fair_adv-group-0,0.665,0.759,0.429,0.394,0.569,0.737,0.518
adv-voting-fair_adv-group-1,0.680,0.745,0.268,0.359,0.573,0.720,0.482
adv-voting-fair_adv-delta,-0.015,0.014,0.160,0.035,-0.003,0.017,0.017
adv-voting-fair_resample-all,0.653,0.734,0.351,0.422,0.606,0.678,0.288
adv-voting-fair_resample-group-0,0.654,0.743,0.429,0.431,0.598,0.695,0.518
adv-voting-fair_resample-group-1,0.652,0.725,0.268,0.412,0.619,0.663,0.482
adv-voting-fair_resample-delta,0.002,0.018,0.160,0.018,-0.021,0.032,0.032
adv-TERM-all,0.649,0.559,0.351,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.571,0.509,0.429,0.000,0.000,1.000,0.518
adv-TERM-group-1,0.732,0.448,0.268,0.000,0.000,1.000,0.482
adv-TERM-delta,-0.160,0.061,0.160,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.425,0.479,0.351,0.802,0.824,0.209,0.000
adv-TERM-fair_pp-group-0,0.486,0.509,0.429,0.799,0.833,0.226,0.518
adv-TERM-fair_pp-group-1,0.359,0.448,0.268,0.806,0.807,0.195,0.482
adv-TERM-fair_pp-delta,0.127,0.061,0.160,-0.007,0.026,0.031,0.031
adv-TERM-fair_resample-all,0.649,0.557,0.351,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.571,0.509,0.429,0.000,0.000,1.000,0.518
adv-TERM-fair_resample-group-1,0.732,0.442,0.268,0.000,0.000,1.000,0.482
adv-TERM-fair_resample-delta,-0.160,0.067,0.160,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.643,0.731,0.351,0.539,0.759,0.581,0.000
adv-DRO-fair_reg-group-0,0.671,0.743,0.429,0.565,0.775,0.592,0.518
adv-DRO-fair_reg-group-1,0.614,0.708,0.268,0.510,0.731,0.571,0.482
adv-DRO-fair_reg-delta,0.057,0.035,0.160,0.055,0.044,0.021,0.044
