method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_resample-delta,-0.100,0.001,0.201,0.007,-0.080,0.042,0.080
adv-TERM-all,0.765,0.697,0.243,0.050,0.119,0.972,0.000
adv-TERM-group-0,0.713,0.770,0.310,0.032,0.088,0.993,0.666
adv-TERM-group-1,0.869,0.748,0.109,0.087,0.296,0.938,0.334
adv-TERM-delta,-0.156,0.022,0.201,-0.055,-0.208,0.055,0.208
adv-TERM-fair_pp-all,0.798,0.786,0.243,0.101,0.292,0.960,0.000
adv-TERM-fair_pp-group-0,0.753,0.770,0.310,0.131,0.313,0.951,0.666
adv-TERM-fair_pp-group-1,0.888,0.748,0.109,0.040,0.172,0.976,0.334
adv-TERM-fair_pp-delta,-0.135,0.022,0.201,0.091,0.141,-0.025,0.141
adv-TERM-fair_resample-all,0.768,0.697,0.243,0.043,0.112,0.979,0.000
adv-TERM-fair_resample-group-0,0.713,0.748,0.310,0.031,0.086,0.994,0.666
adv-TERM-fair_resample-group-1,0.879,0.741,0.109,0.069,0.259,0.955,0.334
adv-TERM-fair_resample-delta,-0.166,0.007,0.201,-0.038,-0.173,0.039,0.173
adv-DRO-fair_reg-all,0.765,0.742,0.243,0.026,0.069,0.988,0.000
adv-DRO-fair_reg-group-0,0.703,0.735,0.310,0.030,0.070,0.987,0.666
adv-DRO-fair_reg-group-1,0.889,0.737,0.109,0.016,0.062,0.990,0.334
adv-DRO-fair_reg-delta,-0.186,-0.001,0.201,0.015,0.008,-0.002,0.008
