method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.788,0.860,0.355,0.313,0.642,0.869,0.000
original-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
original-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
original-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
original-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
original-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
original-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
original-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
original-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
original-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
original-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
original-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
original-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
original-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
original-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
original-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
original-fair_resample-all,0.780,0.853,0.355,0.307,0.623,0.867,0.000
original-fair_resample-group-0,0.756,0.850,0.430,0.343,0.615,0.862,0.523
original-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
original-fair_resample-delta,-0.051,-0.009,0.158,0.076,-0.022,-0.009,0.022
adv-clean-all,0.787,0.860,0.355,0.313,0.641,0.867,0.000
adv-clean-group-0,0.764,0.850,0.430,0.417,0.710,0.805,0.523
adv-clean-group-1,0.812,0.858,0.272,0.200,0.521,0.921,0.477
adv-clean-delta,-0.048,-0.008,0.158,0.217,0.189,-0.116,0.189
adv-clean-fair_reg-all,0.751,0.843,0.355,0.447,0.779,0.736,0.000
adv-clean-fair_reg-group-0,0.764,0.850,0.430,0.446,0.743,0.779,0.523
adv-clean-fair_reg-group-1,0.737,0.858,0.272,0.447,0.839,0.699,0.477
adv-clean-fair_reg-delta,0.026,-0.008,0.158,-0.001,-0.096,0.079,0.096
adv-clean-fair_pp-all,0.772,0.844,0.355,0.294,0.594,0.870,0.000
adv-clean-fair_pp-group-0,0.745,0.850,0.430,0.293,0.544,0.896,0.523
adv-clean-fair_pp-group-1,0.802,0.858,0.272,0.296,0.680,0.848,0.477
adv-clean-fair_pp-delta,-0.058,-0.008,0.158,-0.002,-0.136,0.048,0.136
adv-clean-fair_adv-all,0.784,0.858,0.355,0.310,0.633,0.867,0.000
adv-clean-fair_adv-group-0,0.761,0.850,0.430,0.373,0.656,0.840,0.523
adv-clean-fair_adv-group-1,0.810,0.857,0.272,0.241,0.593,0.891,0.477
adv-clean-fair_adv-delta,-0.049,-0.007,0.158,0.133,0.063,-0.050,0.063
adv-clean-fair_resample-all,0.780,0.853,0.355,0.306,0.622,0.867,0.000
adv-clean-fair_resample-group-0,0.755,0.849,0.430,0.342,0.613,0.863,0.523
adv-clean-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
adv-clean-fair_resample-delta,-0.052,-0.009,0.158,0.074,-0.025,-0.008,0.025
adv-all-all,0.782,0.854,0.355,0.300,0.615,0.874,0.000
adv-all-group-0,0.758,0.843,0.430,0.404,0.688,0.811,0.523
adv-all-group-1,0.809,0.852,0.272,0.186,0.489,0.928,0.477
adv-all-delta,-0.050,-0.009,0.158,0.218,0.199,-0.117,0.199
adv-all-fair_reg-all,0.739,0.837,0.355,0.473,0.799,0.706,0.000
adv-all-fair_reg-group-0,0.755,0.842,0.430,0.474,0.767,0.747,0.523
adv-all-fair_reg-group-1,0.721,0.852,0.272,0.472,0.854,0.671,0.477
adv-all-fair_reg-delta,0.035,-0.009,0.158,0.002,-0.087,0.076,0.087
adv-all-fair_pp-all,0.770,0.836,0.355,0.282,0.573,0.878,0.000
adv-all-fair_pp-group-0,0.740,0.843,0.430,0.282,0.526,0.901,0.523
adv-all-fair_pp-group-1,0.803,0.852,0.272,0.282,0.656,0.858,0.477
adv-all-fair_pp-delta,-0.063,-0.009,0.158,0.000,-0.130,0.044,0.130
adv-all-fair_adv-all,0.775,0.845,0.355,0.292,0.594,0.874,0.000
adv-all-fair_adv-group-0,0.748,0.843,0.430,0.320,0.579,0.875,0.523
adv-all-fair_adv-group-1,0.805,0.852,0.272,0.261,0.620,0.874,0.477
adv-all-fair_adv-delta,-0.057,-0.009,0.158,0.060,-0.041,0.001,0.041
adv-all-fair_resample-all,0.773,0.841,0.355,0.293,0.593,0.872,0.000
adv-all-fair_resample-group-0,0.746,0.841,0.430,0.312,0.568,0.880,0.523
adv-all-fair_resample-group-1,0.803,0.852,0.272,0.271,0.637,0.865,0.477
adv-all-fair_resample-delta,-0.057,-0.010,0.158,0.041,-0.069,0.015,0.069
adv-konstantinov-all,0.782,0.854,0.355,0.300,0.615,0.874,0.196
adv-konstantinov-group-0,0.758,0.843,0.430,0.404,0.688,0.811,0.523
adv-konstantinov-group-1,0.809,0.852,0.272,0.186,0.489,0.928,0.477
adv-konstantinov-delta,-0.050,-0.009,0.158,0.218,0.199,-0.117,0.199
adv-konstantinov-fair_reg-all,0.739,0.837,0.355,0.473,0.799,0.706,0.000
adv-konstantinov-fair_reg-group-0,0.755,0.842,0.430,0.474,0.767,0.747,0.523
adv-konstantinov-fair_reg-group-1,0.721,0.852,0.272,0.472,0.854,0.671,0.477
adv-konstantinov-fair_reg-delta,0.035,-0.009,0.158,0.002,-0.087,0.076,0.087
adv-konstantinov-fair_pp-all,0.770,0.836,0.355,0.282,0.573,0.878,0.000
adv-konstantinov-fair_pp-group-0,0.740,0.843,0.430,0.282,0.526,0.901,0.523
adv-konstantinov-fair_pp-group-1,0.803,0.852,0.272,0.282,0.656,0.858,0.477
adv-konstantinov-fair_pp-delta,-0.063,-0.009,0.158,0.000,-0.130,0.044,0.130
adv-konstantinov-fair_adv-all,0.775,0.845,0.355,0.292,0.594,0.874,0.000
adv-konstantinov-fair_adv-group-0,0.748,0.843,0.430,0.320,0.579,0.875,0.523
adv-konstantinov-fair_adv-group-1,0.805,0.852,0.272,0.261,0.620,0.874,0.477
adv-konstantinov-fair_adv-delta,-0.057,-0.009,0.158,0.060,-0.041,0.001,0.041
adv-konstantinov-fair_resample-all,0.772,0.840,0.355,0.292,0.590,0.873,0.000
adv-konstantinov-fair_resample-group-0,0.745,0.841,0.430,0.308,0.561,0.883,0.523
adv-konstantinov-fair_resample-group-1,0.803,0.852,0.272,0.273,0.640,0.864,0.477
adv-konstantinov-fair_resample-delta,-0.058,-0.011,0.158,0.035,-0.079,0.019,0.079
adv-selected-all,0.786,0.860,0.355,0.298,0.618,0.878,0.000
adv-selected-group-0,0.765,0.850,0.430,0.403,0.694,0.818,0.523
adv-selected-group-1,0.809,0.856,0.272,0.183,0.486,0.930,0.477
adv-selected-delta,-0.045,-0.006,0.158,0.219,0.208,-0.112,0.208
adv-selected-fair_reg-all,0.753,0.843,0.355,0.439,0.771,0.743,0.000
adv-selected-fair_reg-group-0,0.766,0.850,0.430,0.438,0.737,0.788,0.523
adv-selected-fair_reg-group-1,0.739,0.856,0.272,0.441,0.831,0.705,0.477
adv-selected-fair_reg-delta,0.026,-0.006,0.158,-0.003,-0.095,0.083,0.095
adv-selected-fair_pp-all,0.773,0.844,0.355,0.295,0.596,0.870,0.154
adv-selected-fair_pp-group-0,0.746,0.850,0.430,0.295,0.548,0.896,0.523
adv-selected-fair_pp-group-1,0.802,0.856,0.272,0.296,0.679,0.848,0.477
adv-selected-fair_pp-delta,-0.056,-0.006,0.158,-0.001,-0.131,0.049,0.131
adv-selected-fair_adv-all,0.785,0.858,0.355,0.294,0.612,0.880,0.192
adv-selected-fair_adv-group-0,0.761,0.851,0.430,0.362,0.642,0.850,0.523
adv-selected-fair_adv-group-1,0.811,0.855,0.272,0.220,0.558,0.906,0.477
adv-selected-fair_adv-delta,-0.051,-0.004,0.158,0.141,0.084,-0.056,0.084
adv-selected-fair_resample-all,0.779,0.852,0.355,0.292,0.600,0.878,0.000
adv-selected-fair_resample-group-0,0.752,0.849,0.430,0.328,0.593,0.873,0.523
adv-selected-fair_resample-group-1,0.809,0.856,0.272,0.252,0.611,0.882,0.477
adv-selected-fair_resample-delta,-0.056,-0.006,0.158,0.075,-0.019,-0.010,0.019
adv-voting-all,0.786,0.860,0.355,0.309,0.633,0.869,0.032
adv-voting-group-0,0.765,0.850,0.430,0.422,0.718,0.801,0.523
adv-voting-group-1,0.808,0.856,0.272,0.185,0.486,0.928,0.477
adv-voting-delta,-0.042,-0.005,0.158,0.238,0.232,-0.127,0.232
adv-voting-fair_reg-all,0.750,0.843,0.355,0.450,0.783,0.733,0.030
adv-voting-fair_reg-group-0,0.767,0.851,0.430,0.447,0.749,0.781,0.523
adv-voting-fair_reg-group-1,0.732,0.855,0.272,0.453,0.841,0.692,0.477
adv-voting-fair_reg-delta,0.034,-0.005,0.158,-0.006,-0.093,0.089,0.093
adv-voting-fair_pp-all,0.772,0.842,0.355,0.303,0.606,0.863,0.033
adv-voting-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.892,0.523
adv-voting-fair_pp-group-1,0.798,0.855,0.272,0.305,0.690,0.838,0.477
adv-voting-fair_pp-delta,-0.050,-0.005,0.158,-0.004,-0.132,0.053,0.132
adv-voting-fair_adv-all,0.785,0.858,0.355,0.307,0.630,0.871,0.032
adv-voting-fair_adv-group-0,0.763,0.851,0.430,0.378,0.664,0.838,0.523
adv-voting-fair_adv-group-1,0.809,0.855,0.272,0.229,0.570,0.899,0.477
adv-voting-fair_adv-delta,-0.046,-0.005,0.158,0.149,0.095,-0.061,0.095
adv-voting-fair_resample-all,0.780,0.853,0.355,0.305,0.620,0.868,0.043
adv-voting-fair_resample-group-0,0.756,0.850,0.430,0.343,0.615,0.863,0.523
adv-voting-fair_resample-group-1,0.806,0.856,0.272,0.264,0.629,0.872,0.477
adv-voting-fair_resample-delta,-0.050,-0.006,0.158,0.078,-0.015,-0.009,0.015
adv-TERM-all,0.759,0.843,0.355,0.176,0.408,0.952,0.000
adv-TERM-group-0,0.729,0.835,0.430,0.237,0.460,0.932,0.523
adv-TERM-group-1,0.792,0.838,0.272,0.109,0.319,0.969,0.477
adv-TERM-delta,-0.063,-0.003,0.158,0.128,0.141,-0.037,0.141
adv-TERM-fair_pp-all,0.766,0.826,0.355,0.263,0.541,0.890,0.000
adv-TERM-fair_pp-group-0,0.737,0.835,0.430,0.263,0.500,0.916,0.523
adv-TERM-fair_pp-group-1,0.798,0.839,0.272,0.262,0.611,0.869,0.477
adv-TERM-fair_pp-delta,-0.061,-0.003,0.158,0.001,-0.111,0.047,0.111
adv-TERM-fair_resample-all,0.753,0.827,0.355,0.177,0.402,0.946,0.000
adv-TERM-fair_resample-group-0,0.706,0.826,0.430,0.190,0.379,0.952,0.523
adv-TERM-fair_resample-group-1,0.805,0.840,0.272,0.163,0.442,0.941,0.477
adv-TERM-fair_resample-delta,-0.099,-0.013,0.158,0.027,-0.062,0.012,0.062
adv-DRO-fair_reg-all,0.662,0.779,0.355,0.024,0.057,0.994,0.000
adv-DRO-fair_reg-group-0,0.582,0.801,0.430,0.014,0.031,0.998,0.523
adv-DRO-fair_reg-group-1,0.749,0.779,0.272,0.034,0.101,0.991,0.477
adv-DRO-fair_reg-delta,-0.167,0.022,0.158,-0.020,-0.071,0.007,0.071
