method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.100,-0.137,0.108,0.123,0.009,-0.173,0.173
adv-konstantinov-fair_resample-all,0.623,0.682,0.483,0.398,0.522,0.718,0.000
adv-konstantinov-fair_resample-group-0,0.591,0.622,0.538,0.430,0.520,0.674,0.493
adv-konstantinov-fair_resample-group-1,0.654,0.731,0.429,0.366,0.524,0.752,0.507
adv-konstantinov-fair_resample-delta,-0.063,-0.109,0.108,0.064,-0.004,-0.078,0.078
adv-selected-all,0.642,0.689,0.483,0.385,0.527,0.749,0.333
adv-selected-group-0,0.608,0.626,0.538,0.575,0.670,0.535,0.493
adv-selected-group-1,0.675,0.732,0.429,0.199,0.354,0.917,0.507
adv-selected-delta,-0.068,-0.106,0.108,0.376,0.316,-0.383,0.383
adv-selected-fair_reg-all,0.626,0.684,0.483,0.496,0.626,0.626,0.333
adv-selected-fair_reg-group-0,0.597,0.627,0.538,0.532,0.620,0.570,0.493
adv-selected-fair_reg-group-1,0.654,0.733,0.429,0.461,0.634,0.670,0.507
adv-selected-fair_reg-delta,-0.058,-0.106,0.108,0.072,-0.014,-0.100,0.100
adv-selected-fair_pp-all,0.631,0.683,0.483,0.363,0.495,0.759,0.333
adv-selected-fair_pp-group-0,0.581,0.626,0.538,0.387,0.470,0.709,0.493
adv-selected-fair_pp-group-1,0.681,0.732,0.429,0.340,0.524,0.798,0.507
adv-selected-fair_pp-delta,-0.100,-0.106,0.108,0.047,-0.054,-0.089,0.089
adv-selected-fair_adv-all,0.637,0.691,0.483,0.363,0.500,0.764,0.333
adv-selected-fair_adv-group-0,0.591,0.626,0.538,0.430,0.520,0.674,0.493
adv-selected-fair_adv-group-1,0.681,0.732,0.429,0.298,0.476,0.835,0.507
adv-selected-fair_adv-delta,-0.089,-0.106,0.108,0.132,0.044,-0.160,0.160
adv-selected-fair_resample-all,0.597,0.644,0.483,0.318,0.412,0.769,0.000
adv-selected-fair_resample-group-0,0.559,0.608,0.538,0.333,0.400,0.744,0.493
adv-selected-fair_resample-group-1,0.634,0.667,0.429,0.304,0.427,0.789,0.507
adv-selected-fair_resample-delta,-0.074,-0.059,0.108,0.030,-0.027,-0.045,0.045
