method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,0.085,-0.002,0.157,-0.019,-0.041,0.085,0.085
adv-konstantinov-fair_resample-all,0.611,0.724,0.349,0.596,0.796,0.512,0.000
adv-konstantinov-fair_resample-group-0,0.653,0.732,0.424,0.584,0.780,0.560,0.519
adv-konstantinov-fair_resample-group-1,0.565,0.730,0.267,0.608,0.823,0.470,0.481
adv-konstantinov-fair_resample-delta,0.089,0.002,0.157,-0.024,-0.044,0.090,0.090
adv-selected-all,0.789,0.859,0.349,0.317,0.652,0.862,0.000
adv-selected-group-0,0.765,0.849,0.424,0.420,0.718,0.800,0.519
adv-selected-group-1,0.815,0.856,0.267,0.206,0.538,0.915,0.481
adv-selected-delta,-0.049,-0.007,0.157,0.214,0.180,-0.115,0.180
adv-selected-fair_reg-all,0.750,0.843,0.349,0.444,0.777,0.735,0.000
adv-selected-fair_reg-group-0,0.763,0.849,0.424,0.440,0.739,0.781,0.519
adv-selected-fair_reg-group-1,0.735,0.856,0.267,0.448,0.841,0.696,0.481
adv-selected-fair_reg-delta,0.028,-0.007,0.157,-0.008,-0.102,0.085,0.102
adv-selected-fair_pp-all,0.773,0.843,0.349,0.305,0.612,0.860,0.577
adv-selected-fair_pp-group-0,0.751,0.849,0.424,0.303,0.563,0.889,0.519
adv-selected-fair_pp-group-1,0.798,0.856,0.267,0.306,0.695,0.836,0.481
adv-selected-fair_pp-delta,-0.047,-0.007,0.157,-0.004,-0.132,0.054,0.132
adv-selected-fair_adv-all,0.786,0.856,0.349,0.315,0.645,0.862,0.346
adv-selected-fair_adv-group-0,0.764,0.850,0.424,0.380,0.670,0.834,0.519
adv-selected-fair_adv-group-1,0.810,0.856,0.267,0.245,0.603,0.886,0.481
adv-selected-fair_adv-delta,-0.046,-0.006,0.157,0.135,0.067,-0.052,0.067
adv-selected-fair_resample-all,0.782,0.852,0.349,0.314,0.638,0.859,0.000
adv-selected-fair_resample-group-0,0.760,0.849,0.424,0.350,0.629,0.857,0.519
adv-selected-fair_resample-group-1,0.806,0.856,0.267,0.276,0.653,0.862,0.481
adv-selected-fair_resample-delta,-0.046,-0.007,0.157,0.074,-0.023,-0.005,0.023
adv-voting-all,0.735,0.818,0.349,0.381,0.667,0.772,0.203
adv-voting-group-0,0.697,0.821,0.424,0.658,0.918,0.533,0.519
adv-voting-group-1,0.777,0.808,0.267,0.082,0.236,0.974,0.481
adv-voting-delta,-0.080,0.013,0.157,0.576,0.683,-0.441,0.683
adv-voting-fair_reg-all,0.681,0.801,0.349,0.470,0.716,0.662,0.183
adv-voting-fair_reg-group-0,0.742,0.828,0.424,0.334,0.590,0.854,0.519
adv-voting-fair_reg-group-1,0.615,0.832,0.267,0.616,0.931,0.500,0.481
adv-voting-fair_reg-delta,0.127,-0.004,0.157,-0.281,-0.341,0.355,0.355
adv-voting-fair_pp-all,0.677,0.774,0.349,0.371,0.568,0.735,0.208
adv-voting-fair_pp-group-0,0.689,0.808,0.424,0.206,0.376,0.919,0.519
adv-voting-fair_pp-group-1,0.664,0.815,0.267,0.548,0.897,0.579,0.481
adv-voting-fair_pp-delta,0.025,-0.008,0.157,-0.343,-0.521,0.341,0.521
adv-voting-fair_adv-all,0.746,0.831,0.349,0.403,0.714,0.764,0.205
adv-voting-fair_adv-group-0,0.719,0.821,0.424,0.603,0.880,0.600,0.519
adv-voting-fair_adv-group-1,0.775,0.818,0.267,0.187,0.429,0.902,0.481
adv-voting-fair_adv-delta,-0.056,0.003,0.157,0.417,0.451,-0.301,0.451
