method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_resample-all,0.695,0.693,0.705,0.540,0.667,0.763,0.000
adv-konstantinov-fair_resample-group-0,0.721,0.729,0.713,0.566,0.701,0.769,0.680
adv-konstantinov-fair_resample-group-1,0.641,0.606,0.688,0.484,0.591,0.750,0.320
adv-konstantinov-fair_resample-delta,0.080,0.124,0.026,0.082,0.110,0.019,0.110
adv-selected-all,0.725,0.752,0.705,0.780,0.858,0.407,0.000
adv-selected-group-0,0.728,0.786,0.713,0.824,0.887,0.333,0.680
adv-selected-group-1,0.719,0.701,0.688,0.688,0.795,0.550,0.320
adv-selected-delta,0.009,0.085,0.026,0.136,0.091,-0.217,0.217
adv-selected-fair_reg-all,0.675,0.759,0.705,0.540,0.652,0.729,0.000
adv-selected-fair_reg-group-0,0.684,0.786,0.713,0.529,0.649,0.769,0.680
adv-selected-fair_reg-group-1,0.656,0.705,0.688,0.562,0.659,0.650,0.320
adv-selected-fair_reg-delta,0.028,0.082,0.026,-0.033,-0.010,0.119,0.119
adv-selected-fair_pp-all,0.730,0.759,0.705,0.755,0.844,0.458,0.333
adv-selected-fair_pp-group-0,0.728,0.786,0.713,0.735,0.825,0.487,0.680
adv-selected-fair_pp-group-1,0.734,0.701,0.688,0.797,0.886,0.400,0.320
adv-selected-fair_pp-delta,-0.006,0.085,0.026,-0.062,-0.062,0.087,0.087
adv-selected-fair_adv-all,0.745,0.759,0.705,0.760,0.858,0.475,0.000
adv-selected-fair_adv-group-0,0.750,0.785,0.713,0.772,0.866,0.462,0.680
adv-selected-fair_adv-group-1,0.734,0.697,0.688,0.734,0.841,0.500,0.320
adv-selected-fair_adv-delta,0.016,0.088,0.026,0.038,0.025,-0.038,0.038
adv-selected-fair_resample-all,0.740,0.749,0.705,0.775,0.865,0.441,0.000
adv-selected-fair_resample-group-0,0.750,0.780,0.713,0.772,0.866,0.462,0.680
adv-selected-fair_resample-group-1,0.719,0.680,0.688,0.781,0.864,0.400,0.320
adv-selected-fair_resample-delta,0.031,0.100,0.026,-0.009,0.002,0.062,0.062
adv-voting-all,0.730,0.729,0.705,0.635,0.759,0.661,0.115
adv-voting-group-0,0.743,0.750,0.713,0.618,0.753,0.718,0.680
adv-voting-group-1,0.703,0.683,0.688,0.672,0.773,0.550,0.320
adv-voting-delta,0.040,0.067,0.026,-0.054,-0.020,0.168,0.168
adv-voting-fair_reg-all,0.605,0.731,0.705,0.460,0.546,0.746,0.065
adv-voting-fair_reg-group-0,0.588,0.779,0.713,0.404,0.495,0.821,0.680
adv-voting-fair_reg-group-1,0.641,0.682,0.688,0.578,0.659,0.600,0.320
adv-voting-fair_reg-delta,-0.052,0.097,0.026,-0.174,-0.164,0.221,0.221
adv-voting-fair_pp-all,0.670,0.724,0.705,0.525,0.638,0.746,0.130
adv-voting-fair_pp-group-0,0.691,0.769,0.713,0.537,0.660,0.769,0.680
adv-voting-fair_pp-group-1,0.625,0.625,0.688,0.500,0.591,0.700,0.320
adv-voting-fair_pp-delta,0.066,0.144,0.026,0.037,0.069,0.069,0.069
adv-voting-fair_adv-all,0.690,0.728,0.705,0.625,0.723,0.610,0.140
adv-voting-fair_adv-group-0,0.662,0.754,0.713,0.551,0.649,0.692,0.680
adv-voting-fair_adv-group-1,0.750,0.698,0.688,0.781,0.886,0.450,0.320
adv-voting-fair_adv-delta,-0.088,0.056,0.026,-0.230,-0.237,0.242,0.242
adv-voting-fair_resample-all,0.675,0.719,0.705,0.620,0.709,0.593,0.120
adv-voting-fair_resample-group-0,0.647,0.719,0.713,0.566,0.649,0.641,0.680
adv-voting-fair_resample-group-1,0.734,0.715,0.688,0.734,0.841,0.500,0.320
adv-voting-fair_resample-delta,-0.087,0.004,0.026,-0.168,-0.191,0.141,0.191
adv-TERM-all,0.545,0.659,0.705,0.300,0.390,0.915,0.000
adv-TERM-group-0,0.507,0.644,0.713,0.250,0.330,0.949,0.680
adv-TERM-group-1,0.625,0.694,0.688,0.406,0.523,0.850,0.320
adv-TERM-delta,-0.118,-0.050,0.026,-0.156,-0.193,0.099,0.193
adv-TERM-fair_pp-all,0.555,0.667,0.705,0.310,0.404,0.915,0.000
adv-TERM-fair_pp-group-0,0.515,0.649,0.713,0.257,0.340,0.949,0.680
adv-TERM-fair_pp-group-1,0.641,0.713,0.688,0.422,0.545,0.850,0.320
adv-TERM-fair_pp-delta,-0.126,-0.064,0.026,-0.165,-0.205,0.099,0.205
adv-TERM-fair_resample-all,0.510,0.633,0.705,0.255,0.333,0.932,0.000
adv-TERM-fair_resample-group-0,0.463,0.616,0.713,0.191,0.258,0.974,0.680
adv-TERM-fair_resample-group-1,0.609,0.675,0.688,0.391,0.500,0.850,0.320
adv-TERM-fair_resample-delta,-0.146,-0.059,0.026,-0.199,-0.242,0.124,0.242
adv-DRO-fair_reg-all,0.660,0.460,0.705,0.885,0.887,0.119,0.000
adv-DRO-fair_reg-group-0,0.647,0.477,0.713,0.846,0.845,0.154,0.680
adv-DRO-fair_reg-group-1,0.688,0.423,0.688,0.969,0.977,0.050,0.320
adv-DRO-fair_reg-delta,-0.040,0.054,0.026,-0.123,-0.132,0.104,0.132
