method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.054,-0.005,0.160,-0.076,-0.238,0.106,0.238
adv-konstantinov-fair_resample-all,0.766,0.829,0.349,0.290,0.580,0.866,0.000
adv-konstantinov-fair_resample-group-0,0.740,0.848,0.425,0.270,0.511,0.910,0.521
adv-konstantinov-fair_resample-group-1,0.795,0.851,0.266,0.312,0.701,0.829,0.479
adv-konstantinov-fair_resample-delta,-0.054,-0.003,0.160,-0.042,-0.189,0.081,0.189
adv-selected-all,0.788,0.860,0.349,0.306,0.635,0.870,0.000
adv-selected-group-0,0.763,0.850,0.425,0.409,0.702,0.809,0.521
adv-selected-group-1,0.815,0.856,0.266,0.195,0.518,0.923,0.479
adv-selected-delta,-0.052,-0.006,0.160,0.214,0.184,-0.114,0.184
adv-selected-fair_reg-all,0.753,0.842,0.349,0.434,0.769,0.745,0.000
adv-selected-fair_reg-group-0,0.765,0.850,0.425,0.432,0.732,0.790,0.521
adv-selected-fair_reg-group-1,0.740,0.856,0.266,0.437,0.833,0.707,0.479
adv-selected-fair_reg-delta,0.025,-0.006,0.160,-0.004,-0.100,0.083,0.100
adv-selected-fair_pp-all,0.773,0.843,0.349,0.292,0.593,0.870,0.269
adv-selected-fair_pp-group-0,0.747,0.850,0.425,0.293,0.547,0.895,0.521
adv-selected-fair_pp-group-1,0.802,0.856,0.266,0.290,0.673,0.849,0.479
adv-selected-fair_pp-delta,-0.055,-0.006,0.160,0.003,-0.126,0.047,0.126
adv-selected-fair_adv-all,0.786,0.857,0.349,0.302,0.625,0.871,0.346
adv-selected-fair_adv-group-0,0.760,0.850,0.425,0.368,0.651,0.841,0.521
adv-selected-fair_adv-group-1,0.813,0.855,0.266,0.230,0.582,0.897,0.479
adv-selected-fair_adv-delta,-0.053,-0.005,0.160,0.138,0.069,-0.055,0.069
adv-selected-fair_resample-all,0.781,0.852,0.349,0.299,0.614,0.870,0.000
adv-selected-fair_resample-group-0,0.755,0.849,0.425,0.333,0.603,0.867,0.521
adv-selected-fair_resample-group-1,0.809,0.856,0.266,0.262,0.633,0.872,0.479
adv-selected-fair_resample-delta,-0.054,-0.007,0.160,0.072,-0.029,-0.006,0.029
adv-voting-all,0.784,0.853,0.349,0.299,0.620,0.873,0.004
adv-voting-group-0,0.760,0.848,0.425,0.356,0.637,0.852,0.521
adv-voting-group-1,0.811,0.855,0.266,0.237,0.590,0.890,0.479
adv-voting-delta,-0.050,-0.007,0.160,0.119,0.047,-0.039,0.047
adv-voting-fair_reg-all,0.735,0.824,0.349,0.440,0.750,0.726,0.028
adv-voting-fair_reg-group-0,0.764,0.849,0.425,0.388,0.679,0.828,0.521
adv-voting-fair_reg-group-1,0.702,0.854,0.266,0.496,0.874,0.640,0.479
adv-voting-fair_reg-delta,0.062,-0.005,0.160,-0.108,-0.195,0.187,0.195
adv-voting-fair_pp-all,0.769,0.838,0.349,0.233,0.504,0.912,0.084
adv-voting-fair_pp-group-0,0.730,0.849,0.425,0.238,0.463,0.928,0.521
adv-voting-fair_pp-group-1,0.812,0.850,0.266,0.228,0.575,0.897,0.479
adv-voting-fair_pp-delta,-0.081,-0.001,0.160,0.010,-0.112,0.031,0.112
adv-voting-fair_adv-all,0.775,0.845,0.349,0.301,0.609,0.864,0.024
adv-voting-fair_adv-group-0,0.752,0.851,0.425,0.313,0.576,0.882,0.521
adv-voting-fair_adv-group-1,0.801,0.854,0.266,0.288,0.667,0.850,0.479
adv-voting-fair_adv-delta,-0.049,-0.003,0.160,0.026,-0.091,0.032,0.091
adv-voting-fair_resample-all,0.766,0.830,0.349,0.304,0.600,0.854,0.011
adv-voting-fair_resample-group-0,0.744,0.847,0.425,0.279,0.527,0.904,0.521
adv-voting-fair_resample-group-1,0.789,0.854,0.266,0.331,0.727,0.812,0.479
adv-voting-fair_resample-delta,-0.046,-0.007,0.160,-0.052,-0.200,0.092,0.200
adv-TERM-all,0.717,0.769,0.349,0.128,0.277,0.952,0.000
adv-TERM-group-0,0.628,0.823,0.425,0.063,0.136,0.992,0.521
adv-TERM-group-1,0.813,0.840,0.266,0.199,0.523,0.918,0.479
adv-TERM-delta,-0.185,-0.017,0.160,-0.137,-0.386,0.074,0.386
adv-TERM-fair_pp-all,0.766,0.824,0.349,0.255,0.530,0.893,0.000
adv-TERM-fair_pp-group-0,0.729,0.824,0.425,0.255,0.482,0.913,0.521
adv-TERM-fair_pp-group-1,0.807,0.840,0.266,0.254,0.615,0.876,0.479
adv-TERM-fair_pp-delta,-0.078,-0.017,0.160,0.001,-0.133,0.036,0.133
adv-TERM-fair_resample-all,0.733,0.786,0.349,0.156,0.342,0.943,0.000
adv-TERM-fair_resample-group-0,0.660,0.819,0.425,0.107,0.226,0.981,0.521
adv-TERM-fair_resample-group-1,0.813,0.839,0.266,0.210,0.542,0.911,0.479
adv-TERM-fair_resample-delta,-0.153,-0.019,0.160,-0.103,-0.316,0.070,0.316
adv-DRO-fair_reg-all,0.696,0.794,0.349,0.069,0.163,0.981,0.000
adv-DRO-fair_reg-group-0,0.635,0.806,0.425,0.082,0.167,0.981,0.521
adv-DRO-fair_reg-group-1,0.762,0.787,0.266,0.055,0.157,0.982,0.479
adv-DRO-fair_reg-delta,-0.128,0.019,0.160,0.027,0.011,-0.001,0.011
