method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.013,0.074,0.087,-0.002,-0.062,-0.070,0.070
adv-konstantinov-fair_resample-all,0.740,0.716,0.720,0.830,0.896,0.339,0.000
adv-konstantinov-fair_resample-group-0,0.756,0.749,0.748,0.830,0.891,0.353,0.675
adv-konstantinov-fair_resample-group-1,0.708,0.654,0.662,0.831,0.907,0.318,0.325
adv-konstantinov-fair_resample-delta,0.048,0.095,0.087,-0.001,-0.016,0.035,0.035
adv-selected-all,0.740,0.710,0.720,0.840,0.903,0.321,0.000
adv-selected-group-0,0.741,0.725,0.748,0.859,0.901,0.265,0.675
adv-selected-group-1,0.738,0.668,0.662,0.800,0.907,0.409,0.325
adv-selected-delta,0.002,0.057,0.087,0.059,-0.006,-0.144,0.144
adv-selected-fair_reg-all,0.690,0.705,0.720,0.630,0.722,0.607,0.333
adv-selected-fair_reg-group-0,0.704,0.729,0.748,0.615,0.713,0.676,0.675
adv-selected-fair_reg-group-1,0.662,0.665,0.662,0.662,0.744,0.500,0.325
adv-selected-fair_reg-delta,0.042,0.064,0.087,-0.047,-0.031,0.176,0.176
adv-selected-fair_pp-all,0.730,0.704,0.720,0.900,0.938,0.196,0.667
adv-selected-fair_pp-group-0,0.733,0.725,0.748,0.881,0.911,0.206,0.675
adv-selected-fair_pp-group-1,0.723,0.668,0.662,0.938,1.000,0.182,0.325
adv-selected-fair_pp-delta,0.010,0.057,0.087,-0.057,-0.089,0.024,0.089
adv-selected-fair_adv-all,0.740,0.706,0.720,0.820,0.889,0.357,0.333
adv-selected-fair_adv-group-0,0.748,0.726,0.748,0.807,0.871,0.382,0.675
adv-selected-fair_adv-group-1,0.723,0.668,0.662,0.846,0.930,0.318,0.325
adv-selected-fair_adv-delta,0.025,0.058,0.087,-0.039,-0.059,0.064,0.064
adv-selected-fair_resample-all,0.740,0.716,0.720,0.810,0.882,0.375,0.000
adv-selected-fair_resample-group-0,0.756,0.732,0.748,0.800,0.871,0.412,0.675
adv-selected-fair_resample-group-1,0.708,0.692,0.662,0.831,0.907,0.318,0.325
adv-selected-fair_resample-delta,0.048,0.040,0.087,-0.031,-0.036,0.094,0.094
adv-voting-all,0.730,0.711,0.720,0.800,0.868,0.375,0.370
adv-voting-group-0,0.748,0.726,0.748,0.837,0.891,0.324,0.675
adv-voting-group-1,0.692,0.667,0.662,0.723,0.814,0.455,0.325
adv-voting-delta,0.056,0.059,0.087,0.114,0.077,-0.131,0.131
adv-voting-fair_reg-all,0.675,0.707,0.720,0.625,0.708,0.589,0.430
adv-voting-fair_reg-group-0,0.711,0.728,0.748,0.637,0.733,0.647,0.675
adv-voting-fair_reg-group-1,0.600,0.664,0.662,0.600,0.651,0.500,0.325
