method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-konstantinov-fair_adv-delta,-0.043,-0.009,0.156,0.057,-0.053,0.006,0.053
adv-konstantinov-fair_resample-all,0.778,0.851,0.351,0.327,0.650,0.848,0.000
adv-konstantinov-fair_resample-group-0,0.756,0.849,0.426,0.348,0.623,0.856,0.517
adv-konstantinov-fair_resample-group-1,0.801,0.859,0.270,0.304,0.695,0.840,0.483
adv-konstantinov-fair_resample-delta,-0.045,-0.010,0.156,0.044,-0.072,0.015,0.072
adv-selected-all,0.792,0.862,0.351,0.311,0.647,0.870,0.000
adv-selected-group-0,0.768,0.852,0.426,0.408,0.707,0.813,0.517
adv-selected-group-1,0.817,0.860,0.270,0.207,0.545,0.918,0.483
adv-selected-delta,-0.049,-0.008,0.156,0.201,0.162,-0.105,0.162
adv-selected-fair_reg-all,0.759,0.846,0.351,0.431,0.770,0.753,0.000
adv-selected-fair_reg-group-0,0.769,0.852,0.426,0.429,0.733,0.796,0.517
adv-selected-fair_reg-group-1,0.747,0.860,0.270,0.432,0.831,0.716,0.483
adv-selected-fair_reg-delta,0.022,-0.008,0.156,-0.003,-0.098,0.081,0.098
adv-selected-fair_pp-all,0.777,0.847,0.351,0.311,0.625,0.859,0.000
adv-selected-fair_pp-group-0,0.754,0.852,0.426,0.310,0.575,0.888,0.517
adv-selected-fair_pp-group-1,0.801,0.860,0.270,0.312,0.708,0.835,0.483
adv-selected-fair_pp-delta,-0.046,-0.008,0.156,-0.002,-0.133,0.053,0.133
adv-selected-fair_adv-all,0.790,0.859,0.351,0.308,0.639,0.871,0.000
adv-selected-fair_adv-group-0,0.766,0.852,0.426,0.371,0.660,0.845,0.517
adv-selected-fair_adv-group-1,0.816,0.859,0.270,0.241,0.604,0.894,0.483
adv-selected-fair_adv-delta,-0.050,-0.007,0.156,0.130,0.056,-0.050,0.056
adv-selected-fair_resample-all,0.784,0.855,0.351,0.309,0.632,0.866,0.000
adv-selected-fair_resample-group-0,0.759,0.851,0.426,0.342,0.620,0.864,0.517
adv-selected-fair_resample-group-1,0.810,0.860,0.270,0.273,0.654,0.869,0.483
adv-selected-fair_resample-delta,-0.051,-0.009,0.156,0.070,-0.034,-0.005,0.034
adv-voting-all,0.792,0.861,0.351,0.313,0.649,0.869,0.002
adv-voting-group-0,0.769,0.852,0.426,0.405,0.704,0.817,0.517
adv-voting-group-1,0.816,0.859,0.270,0.215,0.557,0.912,0.483
adv-voting-delta,-0.047,-0.007,0.156,0.190,0.147,-0.095,0.147
adv-voting-fair_reg-all,0.753,0.842,0.351,0.441,0.776,0.740,0.010
adv-voting-fair_reg-group-0,0.770,0.852,0.426,0.430,0.734,0.796,0.517
adv-voting-fair_reg-group-1,0.734,0.859,0.270,0.453,0.847,0.693,0.483
adv-voting-fair_reg-delta,0.035,-0.007,0.156,-0.023,-0.113,0.104,0.113
adv-voting-fair_pp-all,0.776,0.845,0.351,0.320,0.638,0.852,0.002
adv-voting-fair_pp-group-0,0.756,0.852,0.426,0.318,0.587,0.882,0.517
adv-voting-fair_pp-group-1,0.798,0.859,0.270,0.322,0.723,0.826,0.483
adv-voting-fair_pp-delta,-0.042,-0.007,0.156,-0.004,-0.136,0.055,0.136
adv-voting-fair_adv-all,0.787,0.858,0.351,0.312,0.641,0.866,0.011
adv-voting-fair_adv-group-0,0.764,0.852,0.426,0.365,0.651,0.848,0.517
adv-voting-fair_adv-group-1,0.812,0.858,0.270,0.255,0.623,0.882,0.483
adv-voting-fair_adv-delta,-0.048,-0.006,0.156,0.110,0.028,-0.034,0.034
adv-voting-fair_resample-all,0.780,0.849,0.351,0.315,0.635,0.859,0.022
adv-voting-fair_resample-group-0,0.759,0.849,0.426,0.331,0.605,0.873,0.517
adv-voting-fair_resample-group-1,0.803,0.858,0.270,0.297,0.685,0.846,0.483
adv-voting-fair_resample-delta,-0.044,-0.009,0.156,0.033,-0.080,0.027,0.080
adv-TERM-all,0.766,0.825,0.351,0.208,0.462,0.930,0.000
adv-TERM-group-0,0.722,0.822,0.426,0.222,0.434,0.936,0.517
adv-TERM-group-1,0.813,0.839,0.270,0.192,0.509,0.925,0.483
adv-TERM-delta,-0.091,-0.016,0.156,0.030,-0.075,0.010,0.075
adv-TERM-fair_pp-all,0.770,0.832,0.351,0.295,0.593,0.866,0.000
adv-TERM-fair_pp-group-0,0.741,0.824,0.426,0.312,0.562,0.874,0.517
adv-TERM-fair_pp-group-1,0.802,0.840,0.270,0.278,0.647,0.859,0.483
adv-TERM-fair_pp-delta,-0.061,-0.016,0.156,0.034,-0.085,0.015,0.085
adv-TERM-fair_resample-all,0.764,0.814,0.351,0.227,0.488,0.914,0.000
adv-TERM-fair_resample-group-0,0.718,0.823,0.426,0.211,0.417,0.943,0.517
adv-TERM-fair_resample-group-1,0.813,0.844,0.270,0.246,0.609,0.889,0.483
adv-TERM-fair_resample-delta,-0.095,-0.021,0.156,-0.035,-0.192,0.054,0.192
adv-DRO-fair_reg-all,0.732,0.797,0.351,0.193,0.393,0.915,0.000
adv-DRO-fair_reg-group-0,0.692,0.807,0.426,0.197,0.369,0.931,0.517
adv-DRO-fair_reg-group-1,0.775,0.796,0.270,0.188,0.432,0.902,0.483
adv-DRO-fair_reg-delta,-0.083,0.011,0.156,0.009,-0.062,0.029,0.062
