method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.807,0.836,0.244,0.152,0.416,0.933,0.000
original-group-0,0.769,0.820,0.306,0.222,0.485,0.894,0.676
original-group-1,0.887,0.807,0.113,0.006,0.028,0.996,0.324
original-delta,-0.118,0.014,0.193,0.216,0.458,-0.102,0.458
original-fair_resample-all,0.790,0.801,0.244,0.159,0.395,0.917,0.000
original-fair_resample-group-0,0.757,0.804,0.306,0.184,0.403,0.913,0.676
original-fair_resample-group-1,0.859,0.776,0.113,0.106,0.345,0.925,0.324
original-fair_resample-delta,-0.102,0.028,0.193,0.078,0.058,-0.012,0.058
adv-clean-all,0.807,0.836,0.244,0.153,0.417,0.933,0.000
adv-clean-group-0,0.769,0.820,0.306,0.221,0.484,0.895,0.676
adv-clean-group-1,0.886,0.807,0.113,0.009,0.039,0.994,0.324
adv-clean-delta,-0.117,0.013,0.193,0.212,0.445,-0.099,0.445
adv-clean-fair_resample-all,0.784,0.792,0.244,0.161,0.387,0.911,0.000
adv-clean-fair_resample-group-0,0.753,0.795,0.306,0.183,0.395,0.911,0.676
adv-clean-fair_resample-group-1,0.848,0.761,0.113,0.116,0.340,0.913,0.324
adv-clean-fair_resample-delta,-0.095,0.034,0.193,0.067,0.056,-0.002,0.056
adv-all-all,0.741,0.820,0.244,0.378,0.743,0.740,0.000
adv-all-group-0,0.671,0.817,0.306,0.556,0.870,0.583,0.676
adv-all-group-1,0.887,0.795,0.113,0.007,0.031,0.996,0.324
adv-all-delta,-0.216,0.022,0.193,0.549,0.839,-0.413,0.839
adv-all-fair_resample-all,0.709,0.781,0.244,0.390,0.703,0.711,0.000
adv-all-fair_resample-group-0,0.718,0.791,0.306,0.419,0.723,0.716,0.676
adv-all-fair_resample-group-1,0.690,0.726,0.113,0.330,0.591,0.703,0.324
adv-all-fair_resample-delta,0.028,0.065,0.193,0.088,0.132,0.013,0.132
adv-konstantinov-all,0.807,0.836,0.244,0.153,0.417,0.933,0.000
adv-konstantinov-group-0,0.769,0.820,0.306,0.221,0.484,0.895,0.676
adv-konstantinov-group-1,0.886,0.807,0.113,0.009,0.039,0.994,0.324
adv-konstantinov-delta,-0.117,0.013,0.193,0.212,0.445,-0.099,0.445
adv-konstantinov-fair_resample-all,0.775,0.781,0.244,0.154,0.354,0.910,0.000
adv-konstantinov-fair_resample-group-0,0.745,0.785,0.306,0.170,0.362,0.915,0.676
adv-konstantinov-fair_resample-group-1,0.836,0.741,0.113,0.121,0.309,0.903,0.324
adv-konstantinov-fair_resample-delta,-0.091,0.044,0.193,0.050,0.053,0.011,0.053
adv-selected-all,0.807,0.836,0.244,0.153,0.418,0.932,0.000
adv-selected-group-0,0.769,0.820,0.306,0.222,0.485,0.895,0.676
adv-selected-group-1,0.886,0.805,0.113,0.010,0.039,0.994,0.324
adv-selected-delta,-0.116,0.015,0.193,0.212,0.446,-0.099,0.446
adv-selected-fair_resample-all,0.773,0.780,0.244,0.163,0.368,0.904,0.000
adv-selected-fair_resample-group-0,0.746,0.786,0.306,0.176,0.373,0.911,0.676
adv-selected-fair_resample-group-1,0.829,0.734,0.113,0.136,0.343,0.891,0.324
adv-selected-fair_resample-delta,-0.082,0.053,0.193,0.040,0.030,0.020,0.030
adv-voting-all,0.802,0.825,0.244,0.204,0.513,0.896,0.001
adv-voting-group-0,0.762,0.814,0.306,0.300,0.600,0.833,0.676
adv-voting-group-1,0.887,0.790,0.113,0.005,0.022,0.998,0.324
adv-voting-delta,-0.125,0.024,0.193,0.295,0.578,-0.164,0.578
adv-voting-fair_resample-all,0.782,0.798,0.244,0.235,0.536,0.861,0.093
adv-voting-fair_resample-group-0,0.733,0.781,0.306,0.338,0.617,0.785,0.676
adv-voting-fair_resample-group-1,0.884,0.737,0.113,0.021,0.078,0.987,0.324
adv-voting-fair_resample-delta,-0.151,0.044,0.193,0.318,0.539,-0.202,0.539
